case_id,factor,epoch_utc,altitude_km,inclination_deg,duration_hours,status,two_body_maximum_position_difference_m,two_body_maximum_velocity_difference_mm_s,fixed_axis_maximum_position_difference_m,fixed_axis_maximum_velocity_difference_mm_s,pole_aware_maximum_position_difference_m,pole_aware_maximum_velocity_difference_mm_s,result_directory,report,error
B01_CONTROL_400KM_I51P6_JAN_24H,baseline_control,2026-01-01T00:00:00Z,400.0,51.6,24.0,passed_with_warnings,0.0036602795675409814,0.0041452279597750386,3110.258513093008,3597.719807674627,3.202700372067483,3.6150290638267655,results/EXP-GMAT-1B-B01-CONTROL-400KM-I51P6-JAN-24H/2026-07-19_122939_522478Z,results/EXP-GMAT-1B-B01-CONTROL-400KM-I51P6-JAN-24H/2026-07-19_122939_522478Z/GMAT_VALIDATION_REPORT.html,
B02_ALTITUDE_700KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,700.0,51.6,24.0,passed_with_warnings,0.003601302532750374,0.003821893078456884,2830.2298965173118,3023.5525980594534,2.874891553468263,3.039738075504552,results/EXP-GMAT-1B-B02-ALTITUDE-700KM-I51P6-JAN-24H/2026-07-19_123005_959086Z,results/EXP-GMAT-1B-B02-ALTITUDE-700KM-I51P6-JAN-24H/2026-07-19_123005_959086Z/GMAT_VALIDATION_REPORT.html,
B03_ALTITUDE_1000KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,1000.0,51.6,24.0,passed_with_warnings,0.0035174076461435984,0.0035075492049605676,2639.1148149875885,2539.6789573733904,2.6152454162917973,2.5944849543244106,results/EXP-GMAT-1B-B03-ALTITUDE-1000KM-I51P6-JAN-24H/2026-07-19_123031_946155Z,results/EXP-GMAT-1B-B03-ALTITUDE-1000KM-I51P6-JAN-24H/2026-07-19_123031_946155Z/GMAT_VALIDATION_REPORT.html,
B04_INCLINATION_5DEG_400KM_JAN_24H,inclination,2026-01-01T00:00:00Z,400.0,5.0,24.0,passed_with_warnings,0.0036682966431567,0.00415436251319131,2405.129160164318,2688.0366904584453,0.666180652163358,0.7395813845752993,results/EXP-GMAT-1B-B04-INCLINATION-5DEG-400KM-JAN-24H/2026-07-19_123056_635407Z,results/EXP-GMAT-1B-B04-INCLINATION-5DEG-400KM-JAN-24H/2026-07-19_123056_635407Z/GMAT_VALIDATION_REPORT.html,
B05_INCLINATION_98DEG_400KM_JAN_24H,inclination,2026-01-01T00:00:00Z,400.0,98.0,24.0,passed_with_warnings,0.003662603372355867,0.00414786121179035,6475.976866115969,7258.411033800435,4.181925201505197,4.710905153952956,results/EXP-GMAT-1B-B05-INCLINATION-98DEG-400KM-JAN-24H/2026-07-19_123121_564216Z,results/EXP-GMAT-1B-B05-INCLINATION-98DEG-400KM-JAN-24H/2026-07-19_123121_564216Z/GMAT_VALIDATION_REPORT.html,
B06_EPOCH_APR_400KM_I51P6_24H,epoch,2026-04-01T00:00:00Z,400.0,51.6,24.0,passed_with_warnings,0.0036603052740385405,0.004145293812289748,3156.531071617992,3651.191858555215,2.2751869125317814,2.554578270987245,results/EXP-GMAT-1B-B06-EPOCH-APR-400KM-I51P6-24H/2026-07-19_123146_730980Z,results/EXP-GMAT-1B-B06-EPOCH-APR-400KM-I51P6-24H/2026-07-19_123146_730980Z/GMAT_VALIDATION_REPORT.html,
B07_EPOCH_JUL_400KM_I51P6_24H,epoch,2026-07-01T00:00:00Z,400.0,51.6,24.0,passed_with_warnings,0.003665955832692883,0.00415174412068387,3174.3673569086204,3671.9867814068534,4.048156408419207,4.565567482185223,results/EXP-GMAT-1B-B07-EPOCH-JUL-400KM-I51P6-24H/2026-07-19_123220_518565Z,results/EXP-GMAT-1B-B07-EPOCH-JUL-400KM-I51P6-24H/2026-07-19_123220_518565Z/GMAT_VALIDATION_REPORT.html,
B08_EPOCH_OCT_400KM_I51P6_24H,epoch,2026-10-01T00:00:00Z,400.0,51.6,24.0,passed_with_warnings,0.0036603522930965474,0.004145354670039301,3204.8739193293127,3707.307950348248,3.1890491393943368,3.615345683402278,results/EXP-GMAT-1B-B08-EPOCH-OCT-400KM-I51P6-24H/2026-07-19_123254_940914Z,results/EXP-GMAT-1B-B08-EPOCH-OCT-400KM-I51P6-24H/2026-07-19_123254_940914Z/GMAT_VALIDATION_REPORT.html,
B09_DURATION_6H_400KM_I51P6_JAN,duration,2026-01-01T00:00:00Z,400.0,51.6,6.0,passed_with_warnings,0.0036602795675409814,0.0041452279597750386,810.308930327009,909.0695525111903,1.67615489225893,1.8965451040511585,results/EXP-GMAT-1B-B09-DURATION-6H-400KM-I51P6-JAN/2026-07-19_123322_658772Z,results/EXP-GMAT-1B-B09-DURATION-6H-400KM-I51P6-JAN/2026-07-19_123322_658772Z/GMAT_VALIDATION_REPORT.html,
B10_DURATION_72H_400KM_I51P6_JAN,duration,2026-01-01T00:00:00Z,400.0,51.6,72.0,passed_with_warnings,0.0037072110651300795,0.004198408582609,9460.57076332422,10599.737275457403,9.576983256086432,10.825427804204875,results/EXP-GMAT-1B-B10-DURATION-72H-400KM-I51P6-JAN/2026-07-19_123336_589145Z,results/EXP-GMAT-1B-B10-DURATION-72H-400KM-I51P6-JAN/2026-07-19_123336_589145Z/GMAT_VALIDATION_REPORT.html,
