elapsed_seconds,geodetic_height_km,python_density_kg_m3,gmat_inferred_density_kg_m3,relative_speed_km_s,gmat_drag_x_km_s2,gmat_drag_y_km_s2,gmat_drag_z_km_s2,python_drag_x_km_s2,python_drag_y_km_s2,python_drag_z_km_s2,vector_difference_km_s2,relative_difference,density_relative_difference,direction_cosine
0.0,396.54868587607507,3.974179363024804e-12,3.974179331054712e-12,7.376779547670767,6.099561064565329e-10,-2.861900109257798e-10,-6.71941309017543e-10,6.099561107323691e-10,-2.8619001261742e-10,-6.719413152557311e-10,7.749800833137432e-18,8.144356793676176e-09,8.04445122450004e-09,-1.0
50.0,397.2192487808097,3.924491888145395e-12,3.924491859772923e-12,7.37590781884737,6.392600468071996e-10,-2.5191772366067733e-10,-6.406430581341882e-10,6.392600513544641e-10,-2.519177255896329e-10,-6.406430627975914e-10,6.793070985625724e-18,7.231011958434161e-09,7.229591174099241e-09,-1.0000000000000002
100.0,397.9293707684974,3.872550265888648e-12,3.872550233419023e-12,7.374987472198903,6.651954464684251e-10,-2.1751137609798965e-10,-6.075424347634639e-10,6.651954518069759e-10,-2.17511378087996e-10,-6.075424400593942e-10,7.778632746877196e-18,8.393265354826032e-09,8.384558725738789e-09,-1.0
150.0,398.6709321202052,3.819042666733322e-12,3.8190426346020315e-12,7.374028491796938,6.878009377320193e-10,-1.8318985911536245e-10,-5.729482634858618e-10,6.878009437135732e-10,-1.8318986114255965e-10,-5.729482679171311e-10,7.71522277175748e-18,8.443677960117284e-09,8.413441085802289e-09,-1.0
200.0,399.43553134578633,3.764646782852635e-12,3.7646467496060155e-12,7.373041601790758,7.071552874521325e-10,-1.4914734551563225e-10,-5.371559620714894e-10,7.071552937766059e-10,-1.4914734723735027e-10,-5.371559665984115e-10,7.965946252865959e-18,8.846410574689986e-09,8.831271844141544e-09,-0.9999999999999999
250.0,400.21458472660106,3.7113647909316775e-12,3.711364757502891e-12,7.372037993471115,7.236334725879701e-10,-1.1559333351618406e-10,-5.006235530291558e-10,7.236334793156708e-10,-1.1559333500458483e-10,-5.006235571317724e-10,8.019274090218214e-18,9.03594560840178e-09,9.007141082195256e-09,-1.0000000000000002
300.0,400.9994172361612,3.6619184469387396e-12,3.661918411467369e-12,7.371028880266411,7.378236238121672e-10,-8.268070516431747e-11,-4.638364640291437e-10,7.378236313348613e-10,-8.268070707685452e-11,-4.6383646772629925e-10,8.597539484980761e-18,9.821020303028957e-09,9.686553969836913e-09,-0.9999999999999999
350.0,401.78135798581116,3.6133094365004812e-12,3.6133094097378405e-12,7.3700251013741545,7.491996229132269e-10,-5.038287148595444e-11,-4.2650733726029566e-10,7.491996291609069e-10,-5.038287282191649e-11,-4.265073390784198e-10,6.6425804377648895e-18,7.692031541137957e-09,7.4066838688602555e-09,-1.0
400.0,402.5518506249491,3.566043278265201e-12,3.5660432469681244e-12,7.36903696384671,7.579142140279327e-10,-1.8789358957604918e-11,-3.888286706499322e-10,7.579142210905518e-10,-1.8789360588854148e-11,-3.888286731907586e-10,7.680974015068226e-18,9.014788455320589e-09,8.776415193931959e-09,-1.0
450.0,403.30257866440843,3.5205843608893243e-12,3.520584331380673e-12,7.368074347923633,7.641280590046928e-10,1.2033121027377192e-11,-3.5096655356253725e-10,7.641280664793093e-10,1.2033119692585734e-11,-3.5096655422410214e-10,7.621628967355855e-18,9.063008179585182e-09,8.38174811788188e-09,-1.0
500.0,404.0255941838859,3.4773514137957113e-12,3.4773513860048584e-12,7.367146936629984,7.680039659785365e-10,4.2038822076206905e-11,-3.1306029643629607e-10,7.680039725189542e-10,4.203882137003192e-11,-3.130602980906359e-10,6.7832578859483735e-18,8.168426514455072e-09,7.991959847619946e-09,-1.0
550.0,404.7134334841212,3.4367147253079855e-12,3.4367146928826538e-12,7.3662643379645685,7.69701729869815e-10,7.12006668901477e-11,-2.752229867619693e-10,7.697017374956425e-10,7.120066567996086e-11,-2.75222988828397e-10,7.992991955034152e-18,9.741338094994207e-09,9.434979151216373e-09,-1.0
600.0,405.3592081518236,3.39899547655755e-12,3.3989954502316338e-12,7.365435970318893,7.693737819145646e-10,9.950765211819146e-11,-2.3754281267690525e-10,7.693737884999103e-10,9.950765120220674e-11,-2.375428131944862e-10,6.668860117289352e-18,8.219614091274872e-09,7.745204898256477e-09,-0.9999999999999999
650.0,405.9566709892142,3.364466874482709e-12,3.3644668458708637e-12,7.364670736010008,7.671616501780942e-10,1.2696210662660468e-10,-2.000850301414614e-10,7.671616573588398e-10,1.2696210577062306e-10,-2.00085030553346e-10,7.243304544048664e-18,9.021134176857023e-09,8.504124561919582e-09,-1.0000000000000002
700.0,406.50026544927096,3.3333562757073365e-12,3.3333562479551935e-12,7.363976663486439,7.631932174992709e-10,1.5357688558370608e-10,-1.6289438808242407e-10,7.631932247545359e-10,1.5357688534095214e-10,-1.6289438665049828e-10,7.399203465868003e-18,9.303058499250379e-09,8.3255855984389e-09,-0.9999999999999997
750.0,406.985168764636,3.3058474874221e-12,3.3058474594359674e-12,7.363360663938532,7.57580605588665e-10,1.7937259056549637e-10,-1.2599780507133174e-10,7.575806128551202e-10,1.7937258965019773e-10,-1.2599780447371833e-10,7.348216372466885e-18,9.317390537014263e-09,8.465645385500835e-09,-1.0
800.0,407.4073334987397,3.2820828135759512e-12,3.2820827865481862e-12,7.362828451907423,7.504186336996371e-10,2.0437484430507746e-10,-8.9407242893913e-11,7.504186409390257e-10,2.043748427907175e-10,-8.9407242044389e-11,7.444711136613584e-18,9.509469198333385e-09,8.234943041580726e-09,-0.9999999999999999
850.0,407.76352575124656,3.2621648172770446e-12,3.262164786587473e-12,7.362384533351662,7.417837930272925e-10,2.286116790664594e-10,-5.312265731471921e-11,7.417838009380119e-10,2.2861167859386013e-10,-5.312265608674229e-11,8.019398960273462e-18,1.0307331659193631e-08,9.407731779815297e-09,-1.0
900.0,408.0513562762635,3.2461578945564754e-12,3.2461578629056198e-12,7.362032172496831,7.317337269961699e-10,2.5211106292888363e-10,-1.7135037312654422e-11,7.317337350411237e-10,2.521110628641097e-10,-1.7135035723714802e-11,8.200622326208729e-18,1.059324635907898e-08,9.750251432241563e-09,-0.9999999999999999
950.0,408.26930350056045,3.234089618682927e-12,3.234089591208841e-12,7.361773327113846,7.203071780530201e-10,2.7489857005319474e-10,1.8570522723748706e-11,7.20307185052413e-10,2.748985698623041e-10,1.85705261329286e-11,7.787839700121066e-18,1.0098279678130518e-08,8.495152935389755e-09,-1.0
1000.0,408.4167301733487,3.225951689158002e-12,3.2259516632258564e-12,7.361608626986197,7.075243693872857e-10,2.969952174816659e-10,5.4011756005223344e-11,7.075243757382089e-10,2.9699521780372563e-10,5.4011759105887316e-11,7.074748381442298e-18,9.197186920149405e-09,8.038603248190283e-09,-1.0
1050.0,408.49389397960385,3.221700426178169e-12,3.22170039961646e-12,7.36153745260403,6.933878081080702e-10,3.1841547194072506e-10,8.920617456525948e-11,6.93387814770936e-10,3.184154719417847e-10,8.920617731322978e-11,7.207296482961758e-18,9.382044852847142e-09,8.244624086450407e-09,-1.0
1100.0,408.50194798695793,3.2212570216956835e-12,3.2212569978325487e-12,7.36155806445248,6.77883520150413e-10,3.391654439938163e-10,1.2416811415866258e-10,6.77883526026358e-10,3.391654440282079e-10,1.2416811718432114e-10,6.609275461189992e-18,8.604711506569142e-09,7.408019482333381e-09,-1.0000000000000002
1150.0,408.4429246142936,3.22450790397422e-12,3.224507879418684e-12,7.361667671548066,6.609827390285927e-10,3.5924133633125077e-10,1.5890589018241474e-10,6.609827449866059e-10,3.592413363924812e-10,1.5890589359350092e-10,6.8656521522340955e-18,8.929214534839359e-09,7.615281639645425e-09,-1.0
1200.0,408.3197006223618,3.2313053985681153e-12,3.231305368542339e-12,7.36186238914853,6.426440646994935e-10,3.786281756873455e-10,1.9341911145637214e-10,6.426440717382794e-10,3.7862817635846693e-10,1.9341911528113982e-10,8.03889038166716e-18,1.043253940141674e-08,9.292150521547423e-09,-1.0000000000000002
