elapsed_seconds,geodetic_height_km,python_density_kg_m3,gmat_inferred_density_kg_m3,relative_speed_km_s,gmat_drag_x_km_s2,gmat_drag_y_km_s2,gmat_drag_z_km_s2,python_drag_x_km_s2,python_drag_y_km_s2,python_drag_z_km_s2,vector_difference_km_s2,relative_difference,density_relative_difference,direction_cosine
0.0,396.54868587607507,3.974179363024804e-12,3.974179330580562e-12,7.376779547670767,2.439824424091408e-09,-1.1447600428357574e-09,-2.6877652373712146e-09,2.4398244429294766e-09,-1.14476005046968e-09,-2.6877652610229243e-09,3.1185781599572453e-17,8.193376117181928e-09,8.163758819574467e-09,-0.9999999999999999
50.0,397.2192487808097,3.924491888145395e-12,3.924491854836338e-12,7.37590781884737,2.5570401837593515e-09,-1.0076708946427093e-09,-2.562572229067306e-09,2.5570402054178566e-09,-1.0076709023585316e-09,-2.5625722511903655e-09,3.1906966681445693e-17,8.490992443590743e-09,8.487482630075966e-09,-0.9999999999999999
100.0,397.9293707684974,3.872550265888648e-12,3.872550232330994e-12,7.374987472198903,2.660781784138977e-09,-8.700455052593203e-10,-2.4301697390538557e-09,2.6607818072279035e-09,-8.70045512351984e-10,-2.430169760237577e-09,3.2127160665659744e-17,8.666426136144098e-09,8.665518092956666e-09,-0.9999999999999999
150.0,398.6709321202052,3.819042666733322e-12,3.8190426340337325e-12,7.374028491796938,2.7512037509280773e-09,-7.327594364614498e-10,-2.2917930530760855e-09,2.7512037748542927e-09,-7.327594445702386e-10,-2.2917930716685244e-09,3.136710095990046e-17,8.58217924754599e-09,8.562247731815537e-09,-1.0
200.0,399.43553134578633,3.764646782852635e-12,3.764646750858732e-12,7.373041601790758,2.828621150675892e-09,-5.96589382062529e-10,-2.1486238491533194e-09,2.8286211751064235e-09,-5.965893889494011e-10,-2.148623866393646e-09,3.0684014508626386e-17,8.518868374406697e-09,8.498513781471903e-09,-1.0
250.0,400.21458472660106,3.7113647909316775e-12,3.7113647594931774e-12,7.372037993471115,2.8945338920866037e-09,-4.6237333406473624e-10,-2.002494212983985e-09,2.894533917262683e-09,-4.6237334001833934e-10,-2.0024942285270897e-09,3.0180597548430884e-17,8.501712087922437e-09,8.470873070020445e-09,-1.0000000000000002
300.0,400.9994172361612,3.6619184469387396e-12,3.661918416434982e-12,7.371028880266411,2.9512944991517964e-09,-3.307228215246316e-10,-1.85534585871866e-09,2.9512945253394454e-09,-3.307228283074181e-10,-1.855345870905197e-09,2.967003261670914e-17,8.473063520943048e-09,8.329993728032288e-09,-1.0000000000000002
350.0,401.78135798581116,3.6133094365004812e-12,3.6133094063711395e-12,7.3700251013741545,2.9967984899181843e-09,-2.0153148594381776e-10,-1.7060293455717357e-09,2.9967985166436277e-09,-2.0153149128766595e-10,-1.7060293563136791e-09,2.9294971990264204e-17,8.480809929856395e-09,8.338433857299328e-09,-1.0
400.0,402.5518506249491,3.566043278265201e-12,3.5660432482295886e-12,7.36903696384671,3.0316568569790925e-09,-7.515743756514315e-11,-1.5553146834670906e-09,3.0316568843622073e-09,-7.515744235541659e-11,-1.5553146927630344e-09,2.9312049862754506e-17,8.600534521603692e-09,8.422671823983943e-09,-1.0
450.0,403.30257866440843,3.5205843608893243e-12,3.520584331501957e-12,7.368074347923633,3.0565122377534948e-09,4.813248324214703e-11,-1.403866210780702e-09,3.0565122659172373e-09,4.8132478770342934e-11,-1.4038662168964086e-09,2.9164966830355466e-17,8.670139089457096e-09,8.347298113793752e-09,-1.0
500.0,404.0255941838859,3.4773514137957113e-12,3.4773513843397124e-12,7.367146936629984,3.0720158617457416e-09,1.681552900395511e-10,-1.252241186612546e-09,3.072015890075817e-09,1.6815528548012768e-10,-1.2522411923625436e-09,2.926506415680783e-17,8.810277083114175e-09,8.470814550199678e-09,-1.0
550.0,404.7134334841212,3.4367147253079855e-12,3.4367146955133523e-12,7.3662643379645685,3.078806920997143e-09,2.8480266669322907e-10,-1.1008919505173242e-09,3.07880694998257e-09,2.848026627198434e-10,-1.100891955313588e-09,2.964703885221124e-17,9.032970088032095e-09,8.669510176720893e-09,-0.9999999999999999
600.0,405.3592081518236,3.39899547655755e-12,3.3989954485087426e-12,7.365435970318893,3.077495125923535e-09,3.9803060847276583e-10,-9.50171250707621e-10,3.077495153999641e-09,3.9803060480882696e-10,-9.501712527779449e-10,2.838975905483274e-17,8.7478541861308e-09,8.252087361629578e-09,-0.9999999999999999
650.0,405.9566709892142,3.364466874482709e-12,3.3644668458450943e-12,7.364670736010008,3.0686466006039567e-09,5.07848425639057e-10,-8.003401214332073e-10,3.0686466294353593e-09,5.078484230824922e-10,-8.00340122213384e-10,2.8955042288599765e-17,9.015474911815085e-09,8.511783850460836e-09,-1.0
700.0,406.50026544927096,3.3333562757073365e-12,3.333356247003265e-12,7.363976663486439,3.0527728699970835e-09,6.143075440695478e-10,-6.515775462581641e-10,3.0527728990181437e-09,6.143075413638086e-10,-6.515775466019931e-10,2.914894815900303e-17,9.162282506682301e-09,8.611162205995298e-09,-1.0
750.0,406.985168764636,3.3058474874221e-12,3.3058474590497923e-12,7.363360663938532,3.030322422381765e-09,7.17490360527262e-10,-5.039912202853269e-10,3.0303224514204808e-09,7.174903586007909e-10,-5.039912178948733e-10,2.920055753500119e-17,9.256429882481211e-09,8.58246112058057e-09,-1.0000000000000002
800.0,407.4073334987397,3.2820828135759512e-12,3.2820827853615867e-12,7.362828451907423,3.0016745347985485e-09,8.174993728835012e-10,-3.57628971575652e-10,3.0016745637561028e-09,8.1749937116287e-10,-3.57628968177556e-10,2.920697820917465e-17,9.326851457358193e-09,8.59648159555271e-09,-1.0
850.0,407.76352575124656,3.2621648172770446e-12,3.2621647883327627e-12,7.362384533351662,2.967135174060734e-09,9.144467153984759e-10,-2.124906301262386e-10,2.9671352037520477e-09,9.144467143754405e-10,-2.1249062434696916e-10,3.026583350919324e-17,9.725167230941491e-09,8.872722116620962e-09,-1.0
900.0,408.0513562762635,3.2461578945564754e-12,3.246157866229987e-12,7.362032172496831,2.9269349110204457e-09,1.0084442525828963e-09,-6.854015011797943e-11,2.926934940164495e-09,1.0084442514564388e-09,-6.854014289485921e-11,3.0046929505125066e-17,9.703364998422662e-09,8.726158489105736e-09,-1.0000000000000002
