elapsed_seconds,geodetic_height_km,python_density_kg_m3,gmat_inferred_density_kg_m3,relative_speed_km_s,gmat_drag_x_km_s2,gmat_drag_y_km_s2,gmat_drag_z_km_s2,python_drag_x_km_s2,python_drag_y_km_s2,python_drag_z_km_s2,vector_difference_km_s2,relative_difference,density_relative_difference,direction_cosine
0.0,396.54868587607507,3.974179363024804e-12,3.9741793293489085e-12,7.376779547670767,1.219912212045704e-09,-5.723800209841978e-10,-1.343882618035086e-09,1.2199122214647383e-09,-5.7238002523484e-10,-1.3438826305114622e-09,1.6200189128207975e-17,8.512484593216627e-09,8.473672701242353e-09,-0.9999999999999998
50.0,397.2192487808097,3.924491888145395e-12,3.924491854221265e-12,7.37590781884737,1.278520091012314e-09,-5.038354473213547e-10,-1.2812861149673338e-09,1.2785201027089283e-09,-5.038354511792658e-10,-1.2812861255951827e-09,1.626792663682568e-17,8.658349978877827e-09,8.64420931435907e-09,-0.9999999999999999
100.0,397.9293707684974,3.872550265888648e-12,3.872550232118339e-12,7.374987472198903,1.3303908920694885e-09,-4.350227521959793e-10,-1.2150848695269278e-09,1.3303909036139518e-09,-4.35022756175992e-10,-1.2150848801187884e-09,1.6164858327641025e-17,8.721066399588594e-09,8.720431489316181e-09,-0.9999999999999999
150.0,398.6709321202052,3.819042666733322e-12,3.8190426338288405e-12,7.374028491796938,1.3756018754640387e-09,-3.6637971909808664e-10,-1.1458965261043619e-09,1.3756018874271463e-09,-3.663797222851193e-10,-1.1458965358342622e-09,1.5746240284217314e-17,8.616483669743088e-09,8.61589782409633e-09,-1.0000000000000002
200.0,399.43553134578633,3.764646782852635e-12,3.764646750687585e-12,7.373041601790758,1.414310574904265e-09,-2.982946910312645e-10,-1.0743119250103406e-09,1.4143105875532117e-09,-2.9829469447470054e-10,-1.074311933196823e-09,1.5455471495430277e-17,8.581871012800487e-09,8.5439754762605e-09,-1.0
250.0,400.21458472660106,3.7113647909316775e-12,3.7113647600046966e-12,7.372037993471115,1.4472669460433019e-09,-2.3118666703236812e-10,-1.0012471069256734e-09,1.4472669586313416e-09,-2.3118667000916967e-10,-1.0012471142635449e-09,1.4871598739540833e-17,8.378498839712985e-09,8.3330479977863e-09,-1.0000000000000002
300.0,400.9994172361612,3.6619184469387396e-12,3.661918414721999e-12,7.371028880266411,1.475647248925377e-09,-1.6536141032863494e-10,-9.276729289256491e-10,1.4756472626697227e-09,-1.6536141415370904e-10,-9.276729354525985e-10,1.5688827275024173e-17,8.960720184414e-09,8.797776620819362e-09,-1.0
350.0,401.78135798581116,3.6133094365004812e-12,3.613309407267351e-12,7.3700251013741545,1.4983992449590922e-09,-1.0076574297190888e-10,-8.530146736532296e-10,1.4983992583218138e-09,-1.0076574564383298e-10,-8.530146781568396e-10,1.4352143103046476e-17,8.309808098364991e-09,8.09040322627815e-09,-1.0
400.0,402.5518506249491,3.566043278265201e-12,3.5660432502583092e-12,7.36903696384671,1.515828429356908e-09,-3.7578718782571574e-11,-7.776573421672262e-10,1.5158284421811036e-09,-3.7578721177708296e-11,-7.776573463815172e-10,1.370973826279192e-17,8.04522902788298e-09,7.853772213238343e-09,-1.0
450.0,403.30257866440843,3.5205843608893243e-12,3.520584331514946e-12,7.368074347923633,1.5282561188767474e-09,2.4066242054754383e-11,-7.01933105390351e-10,1.5282561329586186e-09,2.4066239385171467e-11,-7.019331084482043e-10,1.4655246075572802e-17,8.713400745800731e-09,8.343608693138475e-09,-1.0000000000000002
500.0,404.0255941838859,3.4773514137957113e-12,3.4773513835775272e-12,7.367146936629984,1.5360079306560304e-09,8.407764501977555e-11,-6.261205928725921e-10,1.5360079450379084e-09,8.407764274006384e-11,-6.261205961812718e-10,1.493261074516507e-17,8.99095505373002e-09,8.690000087570426e-09,-0.9999999999999999
550.0,404.7134334841212,3.4367147253079855e-12,3.4367146937602976e-12,7.3662643379645685,1.5394034599564704e-09,1.4240133291293366e-10,-5.504459743913004e-10,1.539403474991285e-09,1.424013313599217e-10,-5.50445977656794e-10,1.5463535912770148e-17,9.422975296222178e-09,9.179606229479817e-09,-0.9999999999999999
600.0,405.3592081518236,3.39899547655755e-12,3.3989954485087426e-12,7.365435970318893,1.5387475629617675e-09,1.9901530423638292e-10,-4.750856253538105e-10,1.5387475769998205e-09,1.9901530240441348e-10,-4.750856263889724e-10,1.419487952741637e-17,8.7478541861308e-09,8.252087361629578e-09,-0.9999999999999999
650.0,405.9566709892142,3.364466874482709e-12,3.3644668461066732e-12,7.364670736010008,1.5343233002477683e-09,2.5392421325320935e-10,-4.0017006115028453e-10,1.5343233147176797e-09,2.539242115412461e-10,-4.00170061106692e-10,1.457089751488679e-17,9.073622457792875e-09,8.434036345487939e-09,-1.0
700.0,406.50026544927096,3.3333562757073365e-12,3.3333562471893914e-12,7.363976663486439,1.5263864349985418e-09,3.071537720347739e-10,-3.257887735627629e-10,1.5263864495090719e-09,3.071537706819043e-10,-3.2578877330099655e-10,1.4575810843061468e-17,9.163122866705868e-09,8.555324627398006e-09,-1.0000000000000002
750.0,406.985168764636,3.3058474874221e-12,3.3058474587320783e-12,7.363360663938532,1.51516121117733e-09,3.58745180263631e-10,-2.5199560927530174e-10,1.5151612257102404e-09,3.5874517930039546e-10,-2.5199560894743665e-10,1.456848654123993e-17,9.236273930812338e-09,8.678567821454717e-09,-0.9999999999999999
800.0,407.4073334987397,3.2820828135759512e-12,3.282082785124267e-12,7.362828451907423,1.5008372673992743e-09,4.087496860080697e-10,-1.78814485787826e-10,1.5008372818780514e-09,4.08749685581435e-10,-1.78814484088778e-10,1.4584367256897216e-17,9.314638853115563e-09,8.668789232510437e-09,-0.9999999999999999
850.0,407.76352575124656,3.2621648172770446e-12,3.2621647888786955e-12,7.362384533351662,1.4835675871387871e-09,4.572233581329188e-10,-1.0624531549680016e-10,1.4835676018760238e-09,4.5722335718772026e-10,-1.0624531217348458e-10,1.5136841592294906e-17,9.727689527441837e-09,8.705369216778165e-09,-1.0
900.0,408.0513562762635,3.2461578945564754e-12,3.2461578650945307e-12,7.362032172496831,1.463467455076542e-09,5.042221258577673e-10,-3.427007549267058e-11,1.4634674700822474e-09,5.042221257282194e-10,-3.4270071447429603e-11,1.5541941739228682e-17,1.0038239245326715e-08,9.075943214620817e-09,-0.9999999999999999
950.0,408.26930350056045,3.234089618682927e-12,3.2340895913402213e-12,7.361773327113846,1.4406143561060403e-09,5.497971401063895e-10,3.7141048049582626e-11,1.440614370104826e-09,5.497971397246082e-10,3.71410522658572e-11,1.4624935208861654e-17,9.481877625917704e-09,8.454529338330864e-09,-0.9999999999999997
1000.0,408.4167301733487,3.225951689158002e-12,3.2259516630916383e-12,7.361608626986197,1.4150487383408905e-09,5.939904358306936e-10,1.0802351201044669e-10,1.4150487514764177e-09,5.939904356074513e-10,1.0802351821177463e-10,1.4527504277210388e-17,9.442892179123335e-09,8.08020899596806e-09,-1.0
1050.0,408.49389397960385,3.221700426178169e-12,3.221700396942775e-12,7.36153745260403,1.3867756149150978e-09,6.368309438814501e-10,1.7841234826315722e-10,1.386775629541872e-09,6.368309438835694e-10,1.7841235462645956e-10,1.5950991974844506e-17,1.0382042872051918e-08,9.074522859581155e-09,-1.0
1100.0,408.50194798695793,3.2212570216956835e-12,3.221256995130808e-12,7.36155806445248,1.3557670389997833e-09,6.783308879876326e-10,2.483362274499634e-10,1.355767052052716e-09,6.783308880564158e-10,2.4833623436864227e-10,1.4773350933268062e-17,9.616819839975908e-09,8.246741972112067e-09,-1.0000000000000002
1150.0,408.4429246142936,3.22450790397422e-12,3.22450787700549e-12,7.361667671548066,1.3219654771898237e-09,7.184826717951398e-10,3.178117803648295e-10,1.3219654899732119e-09,7.184826727849624e-10,3.1781178718700185e-10,1.452366335343733e-17,9.444471045072292e-09,8.363673050653814e-09,-1.0000000000000002
1200.0,408.3197006223618,3.2313053985681153e-12,3.2313053704961813e-12,7.36186238914853,1.2852881302663488e-09,7.572563522420528e-10,3.8683822204538254e-10,1.2852881434765588e-09,7.572563527169339e-10,3.8683823056227964e-10,1.5724906919635085e-17,1.0203566862711829e-08,8.687490185484867e-09,-0.9999999999999999
