case_id,factor,epoch_utc,altitude_km,inclination_deg,duration_hours,model_id,role,eligible_candidate,maximum_position_difference_m,maximum_velocity_difference_mm_s,final_position_difference_m,final_velocity_difference_mm_s,maximum_radial_position_difference_m,maximum_along_track_position_difference_m,maximum_cross_track_position_difference_m,maximum_radial_velocity_difference_mm_s,maximum_along_track_velocity_difference_mm_s,maximum_cross_track_velocity_difference_mm_s,position_gate_m,velocity_gate_mm_s,position_gate_passed,velocity_gate_passed,pole_separation_from_baseline_start_arcsec,pole_separation_from_baseline_end_arcsec,runtime_seconds,eop_start_coverage_status,eop_end_coverage_status
B01_CONTROL_400KM_I51P6_JAN_24H,baseline_control,2026-01-01T00:00:00Z,400.0,51.6,24.0,iau1976_1980,closed_1b_baseline_without_polar_motion,False,3.202700372067483,3.6150290638267655,3.202700372067483,3.6150290638267655,0.06983550352068871,3.202368423927341,0.19373649605577253,3.6147327955756574,0.06279629546331306,0.2250157145719808,20.0,20.0,True,True,0.0,0.0,21.699941500031855,exact_source_row,exact_source_row
B01_CONTROL_400KM_I51P6_JAN_24H,baseline_control,2026-01-01T00:00:00Z,400.0,51.6,24.0,gmat_r2026a_eop_x_only,polar_motion_x_ablation,False,3.349413256920442,3.7872505257399114,3.349413256920442,3.7872505257399114,0.06342138132110872,3.3492291529152163,0.1759962481647657,3.7871105562092495,0.05558471145113855,0.20367394142701278,20.0,20.0,True,True,0.11052092430907205,0.10957665056240003,26.421436899981927,exact_source_row,exact_source_row
B01_CONTROL_400KM_I51P6_JAN_24H,baseline_control,2026-01-01T00:00:00Z,400.0,51.6,24.0,gmat_r2026a_eop_y_only,polar_motion_y_ablation,False,0.3431525801647444,0.38059824164131606,0.1432768946796716,0.16858632202029217,0.016104028406039077,0.3409903677096119,0.09861270968152593,0.3779633949711987,0.016442705576451836,0.1130512107855795,20.0,20.0,True,True,0.3311921682761064,0.3325727049891908,32.95648529997561,exact_source_row,exact_source_row
B01_CONTROL_400KM_I51P6_JAN_24H,baseline_control,2026-01-01T00:00:00Z,400.0,51.6,24.0,gmat_r2026a_eop_full,exact_tagged_eop_candidate,True,0.005057122403864437,0.005721125197827455,0.004013248595809686,0.004541092377664389,0.00023316633825568896,0.0050571201675514935,5.4743298818283825e-05,0.0057211245447982345,0.0002565423019777786,6.200959242955903e-05,20.0,20.0,True,True,0.34913275428128454,0.3501729478098454,42.86907129996689,exact_source_row,exact_source_row
B02_ALTITUDE_700KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,700.0,51.6,24.0,iau1976_1980,closed_1b_baseline_without_polar_motion,False,2.874891553468263,3.039738075504552,2.874891553468263,3.039738075504552,0.06709273064514225,2.8745868531573078,0.17447705690953885,3.039482295341191,0.05649979827603964,0.18984332214982075,20.0,20.0,True,True,0.0,0.0,35.803520300018135,exact_source_row,exact_source_row
B02_ALTITUDE_700KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,700.0,51.6,24.0,gmat_r2026a_eop_x_only,polar_motion_x_ablation,False,3.022988722527564,3.190592616561709,3.010897715364587,3.1898162672937413,0.060661414050246665,3.020922220577779,0.15795548224155956,3.1897014670601602,0.049918822858627816,0.17180794946398886,20.0,20.0,True,True,0.11052092430907205,0.10957665056240003,44.45222949999152,exact_source_row,exact_source_row
B02_ALTITUDE_700KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,700.0,51.6,24.0,gmat_r2026a_eop_y_only,polar_motion_y_ablation,False,0.3122282194590033,0.3249030382663887,0.13859150820925237,0.15308246598503655,0.015487059863875104,0.3100859775970193,0.08868887241081291,0.3219604064101913,0.014719806335632721,0.09513395121107927,20.0,20.0,True,True,0.3311921682761064,0.3325727049891908,43.485184099990875,exact_source_row,exact_source_row
B02_ALTITUDE_700KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,700.0,51.6,24.0,gmat_r2026a_eop_full,exact_tagged_eop_candidate,True,0.004990780118540663,0.005293992754273947,0.0021159726361998678,0.0022430299340021587,0.00026383916679747365,0.004990721950657402,4.916459842949335e-05,0.005293985226700025,0.00027340811045467985,5.2581608071394564e-05,20.0,20.0,True,True,0.34913275428128454,0.3501729478098454,41.94494570000097,exact_source_row,exact_source_row
B03_ALTITUDE_1000KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,1000.0,51.6,24.0,iau1976_1980,closed_1b_baseline_without_polar_motion,False,2.6152454162917973,2.5944849543244106,2.6152454162917973,2.5944849543244106,0.06424720829923167,2.6150666900250354,0.15743890708153216,2.5944406316441775,0.05100421225389851,0.16110455925634484,20.0,20.0,True,True,0.0,0.0,32.31870820000768,exact_source_row,exact_source_row
B03_ALTITUDE_1000KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,1000.0,51.6,24.0,gmat_r2026a_eop_x_only,polar_motion_x_ablation,False,2.738086912386347,2.7218534451618552,2.738086912386347,2.7218534451618552,0.0578074760149178,2.7379656302285986,0.14219850789891636,2.721843314057556,0.04504627654963669,0.14547918589476463,20.0,20.0,True,True,0.11052092430907205,0.10957665056240003,42.90248990000691,exact_source_row,exact_source_row
B03_ALTITUDE_1000KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,1000.0,51.6,24.0,gmat_r2026a_eop_y_only,polar_motion_y_ablation,False,0.2816359866852703,0.2759997915168165,0.11954574085436316,0.12421657703858763,0.014860678458550753,0.28056101843932246,0.08007747162767714,0.2732068703109426,0.013275456005014931,0.08079278873599842,20.0,20.0,True,True,0.3311921682761064,0.3325727049891908,44.01665260002483,exact_source_row,exact_source_row
B03_ALTITUDE_1000KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,1000.0,51.6,24.0,gmat_r2026a_eop_full,exact_tagged_eop_candidate,True,0.004864053294249981,0.00485197808853473,0.0034917941929663763,0.003479951085887667,0.0001916101070283758,0.004863934240130304,4.596137154265083e-05,0.004851913457333867,0.00018841549160183868,4.435894396725042e-05,20.0,20.0,True,True,0.34913275428128454,0.3501729478098454,43.364538399968296,exact_source_row,exact_source_row
B04_INCLINATION_5DEG_400KM_JAN_24H,inclination,2026-01-01T00:00:00Z,400.0,5.0,24.0,iau1976_1980,closed_1b_baseline_without_polar_motion,False,0.666180652163358,0.7395813845752993,0.357868051959773,0.40513973270965936,0.009665012736164387,0.4328881653826525,0.5091458431284888,0.4888307628258914,0.00939840134048351,0.5597023960171549,20.0,20.0,True,True,0.0,0.0,34.288601199979894,exact_source_row,exact_source_row
B04_INCLINATION_5DEG_400KM_JAN_24H,inclination,2026-01-01T00:00:00Z,400.0,5.0,24.0,gmat_r2026a_eop_x_only,polar_motion_x_ablation,False,0.6513507720616452,0.7265143744205932,0.3866621464984132,0.43799473612194195,0.008560999178580003,0.45864032457952336,0.4785197000955289,0.5183780768811581,0.008408470419428986,0.5256220619809382,20.0,20.0,True,True,0.11052092430907205,0.10957665056240003,44.23425609996775,exact_source_row,exact_source_row
