model,epoch_utc,frame,elapsed_seconds,timestamp_utc,position_x_km,position_y_km,position_z_km,velocity_x_km_s,velocity_y_km_s,velocity_z_km_s,position_magnitude_km,velocity_magnitude_km_s
gmat_j2,2026-02-11T03:17:00Z,EarthMJ2000Eq,0.0,2026-02-11T03:17:00Z,-6738.02645227464,-117.788239929651,20.42333223252673,0.114529584323188,-7.682495189076066,-0.13201613640404,6739.086856059802,7.684482911434783
gmat_j2,2026-02-11T03:17:00Z,EarthMJ2000Eq,60.0,2026-02-11T03:18:00Z,-6715.350198155597,-578.1010325649225,12.46063512180082,0.641006360295025,-7.655264146501907,-0.1333028575002211,6740.199133196933,7.683210784462052
gmat_j2,2026-02-11T03:17:00Z,EarthMJ2000Eq,120.0,2026-02-11T03:19:00Z,-6661.170804057919,-1035.702001016221,4.439543499770142,1.164228034147702,-7.592141716331157,-0.133961966103176,6741.208706551749,7.682056271904902
gmat_j2,2026-02-11T03:17:00Z,EarthMJ2000Eq,180.0,2026-02-11T03:20:00Z,-6575.756468732309,-1488.44660752171,-3.602196931199209,1.681768973312112,-7.493453105886323,-0.1339909766152889,6742.110902035091,7.681024665467946
gmat_j2,2026-02-11T03:17:00Z,EarthMJ2000Eq,240.0,2026-02-11T03:21:00Z,-6459.520082505744,-1934.214669063115,-11.62677760982734,2.191233492949689,-7.359684544298726,-0.1333902784197904,6742.901546387247,7.680120687762071
gmat_j2,2026-02-11T03:17:00Z,EarthMJ2000Eq,300.0,2026-02-11T03:22:00Z,-6313.017120138543,-2370.919942579656,-19.59649933572479,2.690266163508392,-7.191480643377488,-0.1321631246873206,6743.576985255709,7.679348472762411
gmat_j2,2026-02-11T03:17:00Z,EarthMJ2000Eq,360.0,2026-02-11T03:23:00Z,-6136.942921836002,-2796.519533540339,-27.47394347922239,3.176561893177246,-6.989641151733403,-0.1303156099401247,6744.134098971934,7.678711548781145
gmat_j2,2026-02-11T03:17:00Z,EarthMJ2000Eq,420.0,2026-02-11T03:24:00Z,-5932.129376776295,-3209.023092021255,-35.2221415133708,3.647875756963986,-6.75511712057849,-0.1278566365983483,6744.570315979422,7.678212823991038
gmat_j2,2026-02-11T03:17:00Z,EarthMJ2000Eq,480.0,2026-02-11T03:25:00Z,-5699.541025170515,-3606.501761546253,-42.80474221398091,4.102032545502231,-6.489006499820897,-0.1247978707411138,6744.883623873284,7.677854574529196
gmat_j2,2026-02-11T03:17:00Z,EarthMJ2000Eq,540.0,2026-02-11T03:26:00Z,-5440.270596447932,-3987.096847070419,-50.18617588772497,4.536936007870969,-6.19254918319296,-0.1211536873210154,6745.072578019087,7.677638435204632
