model,epoch_utc,frame,elapsed_seconds,timestamp_utc,position_x_km,position_y_km,position_z_km,velocity_x_km_s,velocity_y_km_s,velocity_z_km_s,position_magnitude_km,velocity_magnitude_km_s
gmat_two_body,2026-02-11T03:17:00Z,EarthMJ2000Eq,0.0,2026-02-11T03:17:00Z,-6738.02645227464,-117.788239929651,20.42333223252673,0.114529584323188,-7.682495189076066,-0.13201613640404,6739.086856059802,7.684482911434783
gmat_two_body,2026-02-11T03:17:00Z,EarthMJ2000Eq,60.0,2026-02-11T03:18:00Z,-6715.37316988959,-578.1019588675807,12.46069974871816,0.6402405746313238,-7.655303794849104,-0.1333011533964505,6740.222099809303,7.683186408146828
gmat_two_body,2026-02-11T03:17:00Z,EarthMJ2000Eq,120.0,2026-02-11T03:19:00Z,-6661.262740459108,-1035.707824860729,4.43969395708074,1.162694369469254,-7.592274371354103,-0.1339612601095201,6741.30044626324,7.681955086169534
gmat_two_body,2026-02-11T03:17:00Z,EarthMJ2000Eq,180.0,2026-02-11T03:20:00Z,-6575.963585537142,-1488.464568718003,-3.602101851511982,1.679462188128158,-7.493734635099707,-0.133993982501206,6742.316873729468,7.680794647039569
gmat_two_body,2026-02-11T03:17:00Z,EarthMJ2000Eq,240.0,2026-02-11T03:21:00Z,-6459.888987271522,-1934.255474642009,-11.62704262273639,2.188145914718975,-7.360174907099425,-0.1333997347863414,6743.266653275296,7.679710456549675
gmat_two_body,2026-02-11T03:17:00Z,EarthMJ2000Eq,300.0,2026-02-11T03:22:00Z,-6313.594928602651,-2370.998056166893,-19.59759452327959,2.686388722933928,-7.192245323773023,-0.132181807033852,6744.1453699142185,7.678707521331454
gmat_two_body,2026-02-11T03:17:00Z,EarthMJ2000Eq,360.0,2026-02-11T03:23:00Z,-6137.777303360726,-2796.653544927527,-27.47650681688967,3.171885448596695,-6.99075239080579,-0.1303463406659629,6744.948942314732,7.67779046712668
gmat_two_body,2026-02-11T03:17:00Z,EarthMJ2000Eq,420.0,2026-02-11T03:24:00Z,-5933.268512465463,-3209.236153518841,-35.22698191424035,3.642392674645789,-6.7566549028776,-0.1279022921342195,6745.673640958426,7.676963518815652
gmat_two_body,2026-02-11T03:17:00Z,EarthMJ2000Eq,480.0,2026-02-11T03:25:00Z,-5701.033464490753,-3606.822075113094,-42.81284289612225,4.095738495276148,-6.491059253285329,-0.124861385073129,6746.316104681385,7.676230482263439
gmat_two_body,2026-02-11T03:17:00Z,EarthMJ2000Eq,540.0,2026-02-11T03:26:00Z,-5442.165000793175,-3987.558183973037,-50.19869782821262,4.529831927946008,-6.195214158410698,-0.1212380512547338,6746.8733555397475,7.675594728037916
