model,epoch_utc,frame,elapsed_seconds,timestamp_utc,position_x_km,position_y_km,position_z_km,velocity_x_km_s,velocity_y_km_s,velocity_z_km_s,position_magnitude_km,velocity_magnitude_km_s
numerical_j2_iau1976_1980,2026-02-11T03:17:00Z,EarthMJ2000Eq,0.0,2026-02-11T03:17:00Z,-6738.02645227464,-117.78823992965101,20.423332232526725,0.11452958432318834,-7.682495189076066,-0.13201613640404022,6739.086856059802,7.684482911434783
numerical_j2_iau1976_1980,2026-02-11T03:17:00Z,EarthMJ2000Eq,60.0,2026-02-11T03:18:00Z,-6715.350198155685,-578.1010325649304,12.460635088635879,0.6410063602926391,-7.6552641465016045,-0.13330285857682528,6740.199133196959,7.68321078448023
numerical_j2_iau1976_1980,2026-02-11T03:17:00Z,EarthMJ2000Eq,120.0,2026-02-11T03:19:00Z,-6661.170804058111,-1035.70200101611,4.4395433741277195,1.164228034147105,-7.5921417163268625,-0.13396196807887056,6741.208706551839,7.6820562719350205
numerical_j2_iau1976_1980,2026-02-11T03:17:00Z,EarthMJ2000Eq,180.0,2026-02-11T03:20:00Z,-6575.756468732428,-1488.4466075211221,-3.602197197744685,1.6817689733153007,-7.493453105874092,-0.13399097930493728,6742.11090203522,7.681024665503632
numerical_j2_iau1976_1980,2026-02-11T03:17:00Z,EarthMJ2000Eq,240.0,2026-02-11T03:21:00Z,-6459.520082505557,-1934.214669061459,-11.626778054403761,2.1912334929564645,-7.359684544274826,-0.13339028163220767,6742.901546387361,7.6801206877968955
numerical_j2_iau1976_1980,2026-02-11T03:17:00Z,EarthMJ2000Eq,300.0,2026-02-11T03:22:00Z,-6313.017120137897,-2370.9199425761376,-19.5964999838474,2.6902661635164447,-7.191480643338861,-0.13216312822687015,6743.576985255751,7.679348472789974
numerical_j2_iau1976_1980,2026-02-11T03:17:00Z,EarthMJ2000Eq,360.0,2026-02-11T03:23:00Z,-6136.942921834936,-2796.519533534009,-27.473944344575457,3.1765618931823427,-6.9896411516780965,-0.13031561360835084,6744.134098971864,7.678711548795164
numerical_j2_iau1976_1980,2026-02-11T03:17:00Z,EarthMJ2000Eq,420.0,2026-02-11T03:24:00Z,-5932.129376775157,-3209.023092011088,-35.22214259768785,3.647875756960232,-6.75511712050604,-0.12785664019562357,6744.5703159792465,7.678212823985417
numerical_j2_iau1976_1980,2026-02-11T03:17:00Z,EarthMJ2000Eq,480.0,2026-02-11T03:25:00Z,-5699.541025170045,-3606.501761531254,-42.80474350702277,4.1020325454824205,-6.489006499732658,-0.1247978740682469,6744.883623873073,7.677854574498114
numerical_j2_iau1976_1980,2026-02-11T03:17:00Z,EarthMJ2000Eq,540.0,2026-02-11T03:26:00Z,-5440.270596449332,-3987.096847049732,-50.18617736735569,4.536936007827,-6.19254918309234,-0.1211536901809103,6745.072578018997,7.677638435142622
