reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,position_delta_x_m,position_delta_y_m,position_delta_z_m,position_difference_m,velocity_delta_x_mm_s,velocity_delta_y_mm_s,velocity_delta_z_mm_s,velocity_difference_mm_s
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,0.0,2026-02-11T03:17:00Z,0.0,-1.4210854715202004e-11,-3.552713678800501e-12,1.464821375527116e-11,3.469446951953614e-10,0.0,-2.220446049250313e-10,4.1191555942998253e-10
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,60.0,2026-02-11T03:18:00Z,-8.731149137020111e-08,-7.844391802791506e-09,-3.3164941015684235e-05,3.3165056873233646e-05,-2.3858692799194614e-06,3.028688411177427e-07,-0.0010766041669274529,0.0010766068531954042
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,120.0,2026-02-11T03:19:00Z,-1.9190338207408786e-07,1.1095835361629725e-07,-0.00012564242268808812,0.00012564261823758884,-5.970779426434092e-07,4.2943426592501055e-06,-0.0019756945524029845,0.001975699309681454
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,180.0,2026-02-11T03:20:00Z,-1.191438059322536e-07,5.877609510207549e-07,-0.00026654547591320465,0.0002665461505780543,3.1887825713283746e-06,1.2231105017690425e-05,-0.0026896483928950943,0.002689678093316634
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,240.0,2026-02-11T03:21:00Z,1.864464138634503e-07,1.655962478253059e-06,-0.00044457642189854596,0.00044457954505589724,6.775469074682405e-06,2.389999309571067e-05,-0.003212417276632351,0.0032125133269540174
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,300.0,2026-02-11T03:22:00Z,6.45741238258779e-07,3.518380253808573e-06,-0.000648122611579538,0.0006481324830789133,8.052669642211185e-06,3.8626879472758446e-05,-0.0035395495423529155,0.00353976946199564
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,360.0,2026-02-11T03:23:00Z,1.065927790477872e-06,6.3300831243395805e-06,-0.0008653530656488329,0.0008653768741896497,5.096811861449169e-06,5.53068701947268e-05,-0.003668226139508235,0.003668646594856661
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,420.0,2026-02-11T03:24:00Z,1.1386873666197062e-06,1.0166786523768678e-05,-0.00108431704859413,0.0010843653083850587,-3.7543301800724294e-06,7.244960187335892e-05,-0.003597275255451393,0.0035980067125131374
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,480.0,2026-02-11T03:25:00Z,4.702087608166039e-07,1.4998931874288246e-05,-0.0012930418620271666,0.0012931289363432906,-1.9810819651411293e-05,8.823963781878774e-05,-0.0033271330968087653,0.0033283619614065322
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,540.0,2026-02-11T03:26:00Z,-1.3997123460285366e-06,2.068691173917614e-05,-0.0014796307183928548,0.001479775986534351,-4.3968384488835e-05,0.00010061995681098779,-0.002859894890350212,0.0028620021625418894
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,600.0,2026-02-11T03:27:00Z,0.001016717760649044,-0.001199452526634559,-0.0016567621088370288,0.00228413266990938,0.0013262058118357345,0.001272320027112528,-0.002183942707234543,0.0028543345731048154
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,660.0,2026-02-11T03:28:00Z,1.840908225858584e-05,1.917578629218042e-05,-0.0017401231104940962,0.0017403261317250785,-0.00010222933610748441,0.00014013146198976756,-0.001350057357574208,0.0013611548525206893
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,720.0,2026-02-11T03:29:00Z,0.00013538283383240923,-0.0001070793587132357,-0.0017938295400199422,0.001802115123794007,-2.3359092438113294e-07,0.0002722027048207565,-0.00031813995882146173,0.0004186972659038714
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,780.0,2026-02-11T03:30:00Z,0.00011097199603682384,-6.740447133779526e-05,-0.0017771894817997236,0.0017819260929904737,-9.591172300815742e-05,0.0002340456717320194,0.0008845141702407133,0.0009199683431637761
