reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,radial_position_difference_m,along_track_position_difference_m,cross_track_position_difference_m,radial_velocity_difference_mm_s,along_track_velocity_difference_mm_s,cross_track_velocity_difference_mm_s
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,0.0,2026-02-11T03:17:00Z,2.3761577009065205e-13,1.4267659426743957e-11,-3.3087156795898426e-12,-3.4756302663370014e-10,9.861429906912915e-12,-2.208554342051115e-10
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,60.0,2026-02-11T03:18:00Z,2.6350239738161994e-08,5.758804031944256e-07,-3.316004621273778e-05,3.6077380046958595e-07,1.817736147829673e-05,-0.001076453329094793
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,120.0,2026-02-11T03:19:00Z,8.983350648574054e-08,2.05206473912326e-06,-0.00012562582727227727,-1.370911869947223e-06,3.0121087546930187e-05,-0.0019754692108361017
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,180.0,2026-02-11T03:20:00Z,1.2885566063370043e-07,4.0500052900164414e-06,-0.0002665153489789066,-4.373312992348553e-06,3.569320703577701e-05,-0.0026894376949043414
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,240.0,2026-02-11T03:21:00Z,1.1295581156422742e-07,6.187668128373709e-06,-0.00044453646856723274,-7.807311758151458e-06,3.4836855836994227e-05,-0.0032123149464546082
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,300.0,2026-02-11T03:22:00Z,4.190074885540378e-08,8.085632131409152e-06,-0.0006480820445124218,-1.083328626334779e-05,2.75790119355282e-05,-0.0035396454458160496
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,360.0,2026-02-11T03:23:00Z,-6.955346572583865e-08,9.36493137493384e-06,-0.0008653261972255936,-1.262800345306164e-05,1.403190668575864e-05,-0.0036685980260961993
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,420.0,2026-02-11T03:24:00Z,-1.761898710069882e-07,9.652534354771882e-06,-0.001084322331950552,-1.2382928940647489e-05,-5.611718825763947e-06,-0.0035979810276003774
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,480.0,2026-02-11T03:25:00Z,-2.1131940180524255e-07,8.592297589884748e-06,-0.0012931003726604398,-9.326588696509008e-06,-3.107561503480978e-05,-0.003328203819935226
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,540.0,2026-02-11T03:26:00Z,-9.02731827006066e-08,5.836141669121514e-06,-0.0014797644750516488,-2.735984682824991e-06,-6.200907000339008e-05,-0.002861329021280073
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,600.0,2026-02-11T03:27:00Z,1.0335597873213982e-05,0.001597435758282398,-0.0016325912615608037,-0.0018154481745175652,-8.387413331997979e-05,-0.0022009858951438353
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,660.0,2026-02-11T03:28:00Z,-9.99819675274808e-06,2.4456724012253075e-05,-0.0017401255556647218,-1.1140713351485163e-05,-0.00015203936172025555,-0.0013525910134014408
