reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,position_delta_x_m,position_delta_y_m,position_delta_z_m,position_difference_m,velocity_delta_x_mm_s,velocity_delta_y_mm_s,velocity_delta_z_mm_s,velocity_difference_mm_s
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,0.0,2026-02-11T03:17:00Z,0.0,-1.4210854715202004e-11,-3.552713678800501e-12,1.464821375527116e-11,3.469446951953614e-10,0.0,-2.220446049250313e-10,4.1191555942998253e-10
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,60.0,2026-02-11T03:18:00Z,0.0,-5.684341886080801e-10,1.3820056210533949e-09,1.4943416488212146e-09,1.5543122344752192e-09,-3.552713678800501e-09,6.933342788784103e-08,6.944178773393027e-08
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,120.0,2026-02-11T03:19:00Z,0.0,-6.821210263296962e-10,7.039702154543193e-09,7.072672445351979e-09,2.220446049250313e-10,-4.440892098500626e-09,1.348643419163409e-07,1.3493762094747632e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,180.0,2026-02-11T03:20:00Z,0.0,-2.0463630789890885e-09,1.6503687305657877e-08,1.6630072054383367e-08,2.220446049250313e-10,-5.329070518200751e-09,1.96787031114809e-07,1.9685929978381854e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,240.0,2026-02-11T03:21:00Z,0.0,-6.821210263296962e-10,2.9519497957153362e-08,2.9527377952282566e-08,4.440892098500626e-10,-6.217248937900877e-09,2.517708264093699e-07,2.5184797086821885e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,300.0,2026-02-11T03:22:00Z,-1.8189894035458565e-09,-1.8189894035458565e-09,4.572697775984125e-08,4.57992788147307e-08,0.0,-7.993605777301127e-09,3.0253577421035516e-07,3.0264135938496887e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,360.0,2026-02-11T03:23:00Z,-2.7284841053187847e-09,-3.637978807091713e-09,6.473754865510273e-08,6.489707020494545e-08,-1.7763568394002505e-09,-8.881784197001252e-09,3.4411362648256727e-07,3.4423281288268667e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,420.0,2026-02-11T03:24:00Z,-2.7284841053187847e-09,-4.547473508864641e-09,8.559197794966167e-08,8.575611249445821e-08,-4.440892098500626e-09,-8.881784197001252e-09,3.6232128408641984e-07,3.624573361310056e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,480.0,2026-02-11T03:25:00Z,-2.7284841053187847e-09,-5.4569682106375694e-09,1.0740563993749674e-07,1.0757878330762103e-07,-7.105427357601002e-09,-8.881784197001252e-09,3.7626846083327337e-07,3.764403376450202e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,540.0,2026-02-11T03:26:00Z,-1.8189894035458565e-09,-5.002220859751105e-09,1.298445795328007e-07,1.2995362930687911e-07,-7.105427357601002e-09,-1.0658141036401503e-08,3.811950755050475e-07,3.814102366974238e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,600.0,2026-02-11T03:27:00Z,0.001021692696667742,-0.0012264199540368281,-2.424865641614815e-05,0.0015964178235731042,0.0014028671557753114,0.001164929486208166,1.570575614007197e-05,0.0018235524767240083
