reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,radial_position_difference_m,along_track_position_difference_m,cross_track_position_difference_m,radial_velocity_difference_mm_s,along_track_velocity_difference_mm_s,cross_track_velocity_difference_mm_s
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,0.0,2026-02-11T03:17:00Z,2.3761577009065205e-13,1.4267659426743957e-11,-3.3087156795898426e-12,-3.4756302663370014e-10,9.861429906912915e-12,-2.208554342051115e-10
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,60.0,2026-02-11T03:18:00Z,5.130902697762398e-11,5.422722063746101e-10,1.39153339929228e-09,-1.1156918112352374e-09,2.469115513105398e-09,6.938890822061919e-08
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,120.0,2026-02-11T03:19:00Z,1.0943544517890853e-10,5.511508013851048e-10,7.0503157515612166e-09,5.516963007064184e-10,2.069620152260059e-09,1.3492062055364984e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,180.0,2026-02-11T03:20:00Z,4.4295513590730513e-10,1.7076822078336694e-09,1.6536230185825437e-08,8.547857089618402e-10,1.8131483283093711e-09,1.968490938407049e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,240.0,2026-02-11T03:21:00Z,1.4476733059000684e-10,1.4072862905062334e-10,2.9526687701296637e-08,9.238763872339065e-10,1.7102640157703837e-09,2.518404691066483e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,300.0,2026-02-11T03:22:00Z,2.209495174656646e-09,2.7626448806114637e-10,4.574511721435683e-08,1.931253588511253e-09,2.2764889474074017e-09,3.026266350935276e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,360.0,2026-02-11T03:23:00Z,3.727629654519245e-09,1.080100381081205e-09,6.478092220330887e-08,3.897509275714259e-09,1.5057368602362745e-09,3.4420745436884464e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,420.0,2026-02-11T03:24:00Z,4.116486915407929e-09,1.2758586740262165e-09,8.564775274507416e-08,6.239695569935855e-09,-3.342594395551741e-10,3.624034698854391e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,480.0,2026-02-11T03:25:00Z,4.541842904579625e-09,1.405985661966213e-09,1.0747366879983463e-07,8.365417960547887e-09,-2.410215604179172e-09,3.7633965835317375e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,540.0,2026-02-11T03:26:00Z,3.4578917290128476e-09,9.098401855306787e-10,1.2990443004631123e-07,9.194825441300881e-09,-1.6200779220106255e-09,3.8129594698897e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,600.0,2026-02-11T03:27:00Z,1.0044823969814371e-05,0.0015963862144826254,1.5212867924845377e-07,-0.001823497754879001,1.4120747623289428e-05,4.2166819412529253e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,660.0,2026-02-11T03:28:00Z,-1.1054863294300778e-05,3.052854487643252e-05,1.733560149597727e-07,-3.4792586789164515e-05,-1.3488644930087039e-05,3.4725453159767864e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,720.0,2026-02-11T03:29:00Z,5.3939867785515155e-06,0.00021304525419450686,1.9429788669084115e-07,-0.00024329399580320953,5.217675410101198e-06,3.778674021651634e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,780.0,2026-02-11T03:30:00Z,5.449798112170318e-07,0.00018078731751039397,2.1667791056510552e-07,-0.00020636383591127115,-3.613882118466151e-07,3.8707013785269314e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,840.0,2026-02-11T03:31:00Z,1.1453893243431393e-06,0.00018343095597168476,2.3930899924388616e-07,-0.00020931680922221056,3.50366709080943e-07,3.887073889287053e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,900.0,2026-02-11T03:32:00Z,1.1194384410024884e-06,0.00018337628465520976,2.6186334504025503e-07,-0.00020920204990559687,3.9144296865000735e-07,3.83989570541917e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,960.0,2026-02-11T03:33:00Z,1.1003264587000464e-06,0.00018332689639057433,2.8406241602030565e-07,-0.00020909239463957012,4.430187526299367e-07,3.7228973399993594e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1020.0,2026-02-11T03:34:00Z,1.0826316827502143e-06,0.0001832792358360754,3.051625673068883e-07,-0.00020899294774262979,4.977482742099503e-07,3.536084508760631e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1080.0,2026-02-11T03:35:00Z,1.0770120947122802e-06,0.00018323862428152723,3.2513453751565004e-07,-0.00020890335806536303,5.636781000186079e-07,3.284770692906013e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1140.0,2026-02-11T03:36:00Z,1.075285748435721e-06,0.00018319965638845506,3.4344009425050976e-07,-0.0002088199413068115,6.382741954115737e-07,2.9700758898232986e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1200.0,2026-02-11T03:37:00Z,1.0790347699120037e-06,0.00018316855216623729,3.5961099796359007e-07,-0.0002087489058501809,7.206579385141435e-07,2.6113539870431e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1260.0,2026-02-11T03:38:00Z,1.8618184848671579e-06,0.0001797255257470935,3.737067153630782e-07,-0.0002048248652086588,1.739356305230827e-06,2.2425105505321665e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1320.0,2026-02-11T03:39:00Z,-3.976593919444891e-06,0.00021121662652500393,3.858702752454325e-07,-0.00024094133111054469,-4.674838452021965e-06,1.875703157076036e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1380.0,2026-02-11T03:40:00Z,1.1549824490373485e-05,7.401036642501508e-05,3.9454140243355407e-07,-8.389678099028755e-05,1.2747093510188474e-05,1.3611618719546592e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1440.0,2026-02-11T03:41:00Z,-1.0812219879875034e-05,0.0005373659772786622,4.023245350920029e-07,-0.0006146499494121432,-1.0831114077255858e-05,1.2257315624158598e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1500.0,2026-02-11T03:42:00Z,1.097228445490018e-05,0.001645010724192292,4.053261041880385e-07,-0.0018822642476707771,1.8072846838972768e-05,1.440488853343593e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1560.0,2026-02-11T03:43:00Z,-1.1500857031476011e-05,0.0014105556184580853,4.069822094787206e-07,-0.0016141179770727185,-8.376703379342332e-06,4.5360289043449435e-08
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1620.0,2026-02-11T03:44:00Z,1.3302529444579121e-05,0.001373678477205756,4.018911541788471e-07,-0.0015718599168609167,2.002543151213537e-05,-3.638297650790259e-08
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1680.0,2026-02-11T03:45:00Z,-4.879732449651493e-05,0.0018673078234953521,3.959304816706703e-07,-0.0021382233721804057,-4.8755631587953015e-05,-9.277439034712086e-08
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1740.0,2026-02-11T03:46:00Z,7.964875962814902e-05,-0.000521485045002813,3.7684811637495447e-07,0.000600213236884005,8.811533483787651e-05,-3.0340099862284635e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1800.0,2026-02-11T03:47:00Z,-6.775943431887902e-05,-0.0009609533911100883,3.6488096295472246e-07,0.0011029377655996085,-8.25866926256697e-05,-4.1199791504405804e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1860.0,2026-02-11T03:48:00Z,4.048517098624256e-05,0.0018978316255973194,3.3582845282797127e-07,-0.002173945250840498,5.439615757941578e-05,-3.4885899877663665e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1920.0,2026-02-11T03:49:00Z,-1.6908532424514417e-05,0.0013637064711922845,3.0991682711919325e-07,-0.0015623502636094536,-1.3596828549746602e-05,-4.6118131911644546e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1980.0,2026-02-11T03:50:00Z,-2.0371997926130797e-07,0.0014602354452712917,2.755843125493425e-07,-0.00167334089284363,6.131935532143274e-06,-5.401297671598661e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,2040.0,2026-02-11T03:51:00Z,-2.8788016069897143e-06,0.0014541853046844847,2.3777554515092064e-07,-0.0016669629216950516,3.1611853145128075e-06,-6.12360918350893e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,2100.0,2026-02-11T03:52:00Z,5.108086803922004e-07,0.0014340413294144521,1.9646711949307253e-07,-0.0016443966490206645,7.051353090708151e-06,-6.602744126872196e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,2160.0,2026-02-11T03:53:00Z,-9.35868075187208e-06,0.0015295530463081534,1.5297323178237307e-07,-0.001754829253132634,-3.835231406330404e-06,-7.063402660697207e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,2220.0,2026-02-11T03:54:00Z,3.031202730276775e-06,0.0011395996761964617,1.0728667252151927e-07,-0.0013078667287453201,8.606378946263446e-06,-7.34213639432777e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,2280.0,2026-02-11T03:55:00Z,-6.07991835649333e-06,0.000833096827934539,5.938280259801085e-08,-0.0009557097258292594,-3.132425855209489e-06,-8.092132452854774e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,2340.0,2026-02-11T03:56:00Z,2.7019054090393764e-06,0.000914862774850279,6.167962534975846e-09,-0.0010496614658784189,7.377879191043619e-06,-9.14590056478746e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,2400.0,2026-02-11T03:57:00Z,1.2045089964604963e-07,0.0008968556475079117,-5.165494724914578e-08,-0.0010291408380614245,4.383086847309717e-06,-9.934166870553093e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,2460.0,2026-02-11T03:58:00Z,1.0337850666530975e-06,0.0008989838931435807,-1.1395879319099198e-07,-0.0010317657882669307,5.4752270049544315e-06,-1.067389062298389e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,2520.0,2026-02-11T03:59:00Z,1.2801782722023286e-06,0.0008992406994201891,-1.8031909978934665e-07,-0.0010323547350207366,5.747211415373015e-06,-1.137802692638119e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,2580.0,2026-02-11T04:00:00Z,1.538564871364344e-06,0.0008994967033831299,-2.506604980914257e-07,-0.0010329416127440748,6.006771266326816e-06,-1.2009982425081158e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,2640.0,2026-02-11T04:01:00Z,1.803715406167511e-06,0.0008997493258657005,-3.2432625056314366e-07,-0.0010335260988081402,6.263195548135229e-06,-1.253501065845603e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,2700.0,2026-02-11T04:02:00Z,2.0742966684653633e-06,0.0008999985199524554,-4.006701483535876e-07,-0.0010341026328741505,6.508528703606875e-06,-1.2971899533660725e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,2760.0,2026-02-11T04:03:00Z,2.3539303575500703e-06,0.0009002437781545396,-4.791674401093436e-07,-0.0010346714945110534,6.739680877197119e-06,-1.332009526735909e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,2820.0,2026-02-11T04:04:00Z,2.6376957197419797e-06,0.0009004816943447836,-5.586543830070906e-07,-0.0010352294071249825,6.955918449309532e-06,-1.3364700887019688e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,2880.0,2026-02-11T04:05:00Z,2.7669587613321332e-06,0.0009003822118194597,-6.376661619956417e-07,-0.001035451342060888,6.88074286513539e-06,-1.323189714470575e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,2940.0,2026-02-11T04:06:00Z,2.621929763542249e-06,0.0009012291969904119,-7.153282455121395e-07,-0.0010368088554425852,6.353170141786554e-06,-1.2977060628259963e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,3000.0,2026-02-11T04:07:00Z,-2.4817318562598217e-06,0.0009208360607616025,-7.910790808237223e-07,-0.0010597859702104605,8.059760537545634e-10,-1.2646060445155668e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,3060.0,2026-02-11T04:08:00Z,9.711361243113292e-06,0.0008820211655359512,-8.636568325376342e-07,-0.0010155727249091424,1.3084309287111283e-05,-1.2046791816784669e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,3120.0,2026-02-11T04:09:00Z,-5.400420023031696e-06,0.001802589485810941,-9.319649659979238e-07,-0.002076215737348252,-4.067417063090119e-06,-1.1322131966875567e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,3180.0,2026-02-11T04:10:00Z,8.709766804855658e-06,-0.0018677318438314692,-9.963814638685477e-07,0.00215143223489711,8.590682664472104e-06,-1.0144145251626215e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,3240.0,2026-02-11T04:11:00Z,-6.251077506032129e-06,0.0016679028807266095,-1.0594064728803827e-06,-0.0019212861638368908,-6.180821902519862e-06,-1.0887603812450509e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,3300.0,2026-02-11T04:12:00Z,1.5909850828412278e-07,0.001861946168759242,-1.1198428036647432e-06,-0.0021448530465578617,7.699010752185336e-07,-1.0565092253251993e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,3360.0,2026-02-11T04:13:00Z,6.715959169183663e-06,-0.001900468356336394,-1.1772582543906367e-06,0.002189241892754063,8.122425817729574e-06,-8.708186654477516e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,3420.0,2026-02-11T04:14:00Z,-8.935456752294119e-06,0.0017384636220726364,-1.2322674710369242e-06,-0.002002611193880234,-1.0864203827540466e-05,-9.486999149912492e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,3480.0,2026-02-11T04:15:00Z,9.33535891369497e-06,-0.001856583352133933,-1.281945324537418e-06,0.0021385541733038686,1.2321417754528408e-05,-7.273641009886753e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,3540.0,2026-02-11T04:16:00Z,-4.405565431043185e-06,0.0016686673783148124,-1.328426154580046e-06,-0.0019220710742082377,-6.646132776688358e-06,-8.014680489098397e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,3600.0,2026-02-11T04:17:00Z,2.8039140352215446e-06,0.0018605521100155107,-1.3689134631860202e-06,-0.0021429522795182745,9.211425278138501e-07,-7.242021693483452e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,3660.0,2026-02-11T04:18:00Z,2.712592461439973e-06,-0.001890026411772673,-1.4037411572306305e-06,0.0021765596224092624,6.4148429530511585e-06,-4.414660142717222e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,3720.0,2026-02-11T04:19:00Z,-1.6596331030878488e-06,0.0016749685145094598,-1.4330101870233183e-06,-0.0019288407226584845,-4.990100567092416e-06,-5.135459738261492e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,3780.0,2026-02-11T04:20:00Z,3.8382681111271e-06,0.0018602013589112067,-1.4549598157029428e-06,-0.0021418985266013005,4.734348020901092e-07,-4.1162823094916106e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,3840.0,2026-02-11T04:21:00Z,2.736723679388088e-06,-0.001899170748703627,-1.469853847695066e-06,0.0021862138890991734,8.040269069969372e-06,-8.920278679315847e-08
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,3900.0,2026-02-11T04:22:00Z,-5.5742864806053815e-06,0.0017390454787001627,-1.4786448135117385e-06,-0.002001774122837638,-1.107969592362244e-05,-1.699552908656912e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,3960.0,2026-02-11T04:23:00Z,6.332672442167804e-06,-0.0018667451289657564,-1.4782109793265424e-06,0.0021481424473358615,1.3019798805790262e-05,1.5840935931275834e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,4020.0,2026-02-11T04:24:00Z,-3.5218436954441024e-06,0.001716495754212563,-1.471484219064684e-06,-0.001975101575351252,-9.508763341475297e-06,1.0406439502616174e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,4080.0,2026-02-11T04:25:00Z,-5.7047193427363264e-06,-0.00040450207368688585,-1.4552978496856876e-06,0.0004651639594915813,-5.066075244836593e-06,3.452066406643649e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,4140.0,2026-02-11T04:26:00Z,7.193984176618391e-06,-0.00022304327967931164,-1.430727357893315e-06,0.0002556755922821738,9.541824078606168e-06,4.824933051727669e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,4200.0,2026-02-11T04:27:00Z,1.5779665577660855e-07,-0.0002746486552626126,-1.3988505830643364e-06,0.0003148438845903922,1.6554854808815672e-06,6.342086938433344e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,4260.0,2026-02-11T04:28:00Z,2.4470415848634172e-06,-0.0002729434323799219,-1.3574236788634803e-06,0.0003126876952307294,4.292454589361766e-06,7.811041721691637e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,4320.0,2026-02-11T04:29:00Z,-6.5737787447798036e-06,-0.00022814284252321195,-1.3078785433648664e-06,0.0002611388158160763,-6.289423569515708e-06,9.276528258496219e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,4380.0,2026-02-11T04:30:00Z,2.4659975780678927e-05,-0.0004597177994577812,-1.2474468879355522e-06,0.0005268725466467722,3.0556338963524936e-05,1.0874711638639883e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,4440.0,2026-02-11T04:31:00Z,-3.6545445974027845e-05,0.0004389812241190608,-1.1826380552317198e-06,-0.0005050828151773689,-4.377864427205081e-05,1.1860234905137043e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,4500.0,2026-02-11T04:32:00Z,5.4438818356444224e-05,0.0031077835279768296,-1.102547972753668e-06,-0.00357063399917901,4.884659654415091e-05,1.1864463461969758e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,4560.0,2026-02-11T04:33:00Z,-2.4416123876148032e-05,-0.0005669239370304616,-1.0207480468142086e-06,0.0006499748589860047,-2.551557524115982e-05,1.5182213366825997e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,4620.0,2026-02-11T04:34:00Z,9.826754204318343e-06,-0.0002200449510643924,-9.266379292517255e-07,0.00025141677315962207,1.2211847440151414e-05,1.624987915996795e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,4680.0,2026-02-11T04:35:00Z,-7.230850671310965e-06,-0.00023686943721023458,-8.278929073097552e-07,0.0002708951932873133,-7.3430491155747544e-06,1.72480051403065e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,4740.0,2026-02-11T04:36:00Z,2.0464351427655706e-05,-0.00043605107916646436,-7.217352068904805e-07,0.00049917866613523,2.526856764604141e-05,1.8263825903789233e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,4800.0,2026-02-11T04:37:00Z,-2.9395085476267566e-05,0.00028299383174701533,-6.135569249718448e-07,-0.0003249254546580556,-3.514205669175245e-05,1.8647558473479945e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,4860.0,2026-02-11T04:38:00Z,8.637401871690861e-05,0.0005136470368916357,-4.956348363456214e-07,-0.0005909924643008346,9.61978314783575e-05,1.915518731137679e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,4920.0,2026-02-11T04:39:00Z,-6.97052080558436e-05,-0.0012666303948548315,-3.799920413078396e-07,0.0014510006732025723,-7.48617319064611e-05,2.123802999225723e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,4980.0,2026-02-11T04:40:00Z,1.63770442271517e-05,0.002513024154475109,-2.506870227172346e-07,-0.0028814327906824884,7.136278289493489e-06,2.098794003446441e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,5040.0,2026-02-11T04:41:00Z,5.792052672901098e-05,2.42153885879497e-05,-1.1695652307433593e-07,-2.9780319073000314e-05,6.523288655886717e-05,2.2646762999210524e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,5100.0,2026-02-11T04:42:00Z,-6.835479129362034e-05,-0.0010581279943028897,1.816337037317611e-08,0.001211001688847063,-7.48046059630843e-05,2.3789308793083184e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,5160.0,2026-02-11T04:43:00Z,4.919769604783756e-05,0.0021334461063916045,1.6301054427472771e-07,-0.002444750809951219,4.673809282617047e-05,2.3705040008986373e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,5220.0,2026-02-11T04:44:00Z,7.359350936927554e-06,0.0015271692656895722,3.082573318163536e-07,-0.0017496706466497123,1.4462944592062912e-06,2.446544290208028e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,5280.0,2026-02-11T04:45:00Z,-3.052289729206137e-05,0.0020595574540951084,4.571458758626784e-07,-0.0023583086714914873,-4.3475132429123304e-05,2.4875539345271447e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,5340.0,2026-02-11T04:46:00Z,6.941830603623081e-05,0.00011523306032428704,6.091719897138078e-07,-0.00013347783144935856,7.755211846486924e-05,2.5370188675508628e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,5400.0,2026-02-11T04:47:00Z,-5.700035068651128e-05,-0.0011257859135529698,7.602647503814517e-07,0.0012873668291095801,-6.269930193423733e-05,2.551125897824913e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,5460.0,2026-02-11T04:48:00Z,1.9287514321207226e-05,0.0024197959185142145,9.118092740967024e-07,-0.0027689514467781097,1.3628003981370166e-05,2.5014321756378978e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,5520.0,2026-02-11T04:49:00Z,1.4729285722903153e-05,0.0003678360828544721,1.0603335801719618e-06,-0.00042146557489734006,1.468489990913554e-05,2.465266784521974e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,5580.0,2026-02-11T04:50:00Z,-2.0672663808964227e-06,-0.0025842174102998503,1.2051574763282734e-06,0.0029546461328090164,3.2296412366001678e-06,2.364943281729856e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,5640.0,2026-02-11T04:51:00Z,-1.7712871371691256e-05,-0.00028846597248844417,1.3461699408911438e-06,0.00032930418776837246,-2.078206935016349e-05,2.318047439790688e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,5700.0,2026-02-11T04:52:00Z,-3.8546920154750255e-06,0.002233041384723228,1.4846044742151104e-06,-0.002553440033677111,-1.0116116036247022e-05,2.3149342399327818e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,5760.0,2026-02-11T04:53:00Z,5.993648815602835e-05,-0.0010501776192082051,1.618088280660959e-06,0.0011997330583859228,6.839594347182515e-05,2.197786254230694e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,5820.0,2026-02-11T04:54:00Z,-7.070206664270171e-05,-0.0005169307176075303,1.750889381765498e-06,0.0005905771010022616,-8.150035695898261e-05,2.1444545762817087e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,5880.0,2026-02-11T04:55:00Z,4.5936740723875766e-05,0.0018557022548802678,1.874782726566044e-06,-0.0021213822778652454,4.865371375808409e-05,2.105832597508359e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,5940.0,2026-02-11T04:56:00Z,2.727876814433081e-06,0.0012607170235713692,1.9958424468817876e-06,-0.0014410340399185922,4.3780884842760143e-07,1.9969583379702716e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,6000.0,2026-02-11T04:57:00Z,-3.96874750975584e-05,0.001885281766540246,2.1112115933488122e-06,-0.002154662937744035,-4.7730394253867785e-05,1.9075120290277173e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,6060.0,2026-02-11T04:58:00Z,7.588078160593094e-05,-0.0009812910579692644,2.214351695648382e-06,0.0011213355074817738,8.476126626214193e-05,1.6812972093139892e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,6120.0,2026-02-11T04:59:00Z,-7.213733839143986e-05,-0.0005257925414126642,2.3175867477299213e-06,0.0006009057984245796,-8.394023812442892e-05,1.5574395917332362e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,6180.0,2026-02-11T05:00:00Z,4.5479341152352586e-05,0.0018463168780711693,2.4032549109745017e-06,-0.0021098236407674615,5.094352492191841e-05,1.4901031165606026e-06
