reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,position_delta_x_m,position_delta_y_m,position_delta_z_m,position_difference_m,velocity_delta_x_mm_s,velocity_delta_y_mm_s,velocity_delta_z_mm_s,velocity_difference_mm_s
gmat_two_body,numerical_two_body,EarthMJ2000Eq,0.0,2026-02-11T03:17:00Z,0.0,-1.4210854715202004e-11,-3.552713678800501e-12,1.464821375527116e-11,3.469446951953614e-10,0.0,-2.220446049250313e-10,4.1191555942998253e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,60.0,2026-02-11T03:18:00Z,2.091837814077735e-08,2.0463630789890885e-09,-6.927791673660977e-11,2.101834782568194e-08,-9.992007221626409e-10,-8.881784197001252e-10,-3.0531133177191805e-10,1.3713052168280032e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,120.0,2026-02-11T03:19:00Z,2.1827872842550278e-08,1.8189894035458565e-09,-4.796163466380676e-11,2.190358545076937e-08,-4.440892098500626e-10,-3.552713678800501e-09,-2.498001805406602e-10,3.589065315655259e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,180.0,2026-02-11T03:20:00Z,2.2737367544323206e-08,3.410605131648481e-09,-4.440892098500626e-11,2.299178293134163e-08,2.220446049250313e-10,-4.440892098500626e-09,-3.3306690738754696e-10,4.4588967247401364e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,240.0,2026-02-11T03:21:00Z,2.1827872842550278e-08,3.865352482534945e-09,-2.1316282072803006e-11,2.2167486033122124e-08,-4.440892098500626e-10,-5.329070518200751e-09,-3.3306690738754696e-10,5.357904569797636e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,300.0,2026-02-11T03:22:00Z,2.1827872842550278e-08,6.366462912410498e-09,-3.197442310920451e-11,2.273739002632834e-08,8.881784197001252e-10,-5.329070518200751e-09,-3.885780586188048e-10,5.4165345379511246e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,360.0,2026-02-11T03:23:00Z,2.1827872842550278e-08,6.366462912410498e-09,-2.8421709430404007e-11,2.2737385307884658e-08,4.440892098500626e-10,-6.217248937900877e-09,-3.3306690738754696e-10,6.24198150805748e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,420.0,2026-02-11T03:24:00Z,2.091837814077735e-08,8.185452315956354e-09,-2.1316282072803006e-11,2.2462872212636305e-08,-8.881784197001252e-10,-4.440892098500626e-09,-3.608224830031759e-10,4.543190112683695e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,480.0,2026-02-11T03:25:00Z,2.2737367544323206e-08,9.094947017729282e-09,0.0,2.448889430131432e-08,8.881784197001252e-10,-4.440892098500626e-09,-3.885780586188048e-10,4.545478681435682e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,540.0,2026-02-11T03:26:00Z,2.091837814077735e-08,1.0459189070388675e-08,0.0,2.338745775091191e-08,8.881784197001252e-10,-3.552713678800501e-09,-2.7755575615628914e-10,3.672556682548643e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,600.0,2026-02-11T03:27:00Z,2.000888343900442e-08,1.000444171950221e-08,7.105427357601002e-12,2.2370612890166414e-08,2.6645352591003757e-09,-2.6645352591003757e-09,-3.191891195797325e-10,3.781716275454347e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,660.0,2026-02-11T03:28:00Z,2.000888343900442e-08,1.0913936421275139e-08,1.4210854715202004e-11,2.2791876329773577e-08,0.0,-1.7763568394002505e-09,-2.914335439641036e-10,1.8001047556827143e-09
