reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,radial_position_difference_m,along_track_position_difference_m,cross_track_position_difference_m,radial_velocity_difference_mm_s,along_track_velocity_difference_mm_s,cross_track_velocity_difference_mm_s
gmat_two_body,numerical_two_body,EarthMJ2000Eq,0.0,2026-02-11T03:17:00Z,2.3761577009065205e-13,1.4267659426743957e-11,-3.3087156795898426e-12,-3.4756302663370014e-10,9.861429906912915e-12,-2.208554342051115e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,60.0,2026-02-11T03:18:00Z,-2.1016901666196803e-08,-2.4410650759954664e-10,-3.466536759110147e-11,1.071130729144226e-09,8.044174104831112e-10,-2.933761893785881e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,120.0,2026-02-11T03:19:00Z,-2.184821040646122e-08,1.5565077290730495e-09,-6.428335026851261e-12,9.844775915549508e-10,3.4461500839524246e-09,-1.9037675971727255e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,180.0,2026-02-11T03:20:00Z,-2.2929285114987407e-08,1.6938805369198963e-09,-2.711464905390325e-11,7.64003404639804e-10,4.385478556260047e-09,-2.5619647183441264e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,240.0,2026-02-11T03:21:00Z,-2.201929337533731e-08,2.5588934933621146e-09,-1.4844834786263512e-11,1.9546051018739068e-09,4.982721612849207e-09,-2.431986916746714e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,300.0,2026-02-11T03:22:00Z,-2.267249346836937e-08,1.7153056419758635e-09,-6.834976758901945e-11,1.0431614211839255e-09,5.306983027735629e-09,-2.942648356445272e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,360.0,2026-02-11T03:23:00Z,-2.2502562132799658e-08,3.258709770811388e-09,-6.479759500572016e-11,2.175097580369351e-09,5.846421763962787e-09,-2.250249334300357e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,420.0,2026-02-11T03:24:00Z,-2.2293200198481926e-08,2.7541623417970855e-09,-9.188442011903151e-11,2.8958387633692287e-09,3.488832847933817e-09,-2.8764494734493415e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,480.0,2026-02-11T03:25:00Z,-2.4076895659755598e-08,4.4724293443937816e-09,-8.009525324643112e-11,1.626162889800298e-09,4.233342919801239e-09,-3.0948089212636603e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,540.0,2026-02-11T03:26:00Z,-2.3054811046471973e-08,3.928978499359104e-09,-1.0952448921274343e-10,1.385378298959948e-09,3.394515499222645e-09,-2.1369155538010284e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,600.0,2026-02-11T03:27:00Z,-2.1744830620454512e-08,5.253296607226293e-09,-9.765820973254742e-11,-3.1644963298460365e-10,3.759150739264477e-09,-2.6461923079688625e-10
