reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,position_delta_x_m,position_delta_y_m,position_delta_z_m,position_difference_m,velocity_delta_x_mm_s,velocity_delta_y_mm_s,velocity_delta_z_mm_s,velocity_difference_mm_s
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,0.0,2026-03-23T14:45:00Z,0.0,4.547473508864641e-10,0.0,4.547473508864641e-10,0.0,0.0,4.440892098500626e-10,4.440892098500626e-10
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,60.0,2026-03-23T14:46:00Z,-0.00010454459697939456,4.828234523301944e-05,7.967628334881738e-06,0.00011543067495283617,-0.0035104434914501326,0.001551131667554273,0.00027549290626538436,0.003847742103904164
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,120.0,2026-03-23T14:47:00Z,-0.00042400006350362673,0.00017897650650411379,3.419972927076742e-05,0.00046149568276820355,-0.007158297954390491,0.0027444047034919095,0.0006079700076710992,0.00769042354559274
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,180.0,2026-03-23T14:48:00Z,-0.0009656332622398622,0.0003701691184687661,8.196047929232009e-05,0.0010373959193951791,-0.010910860659407717,0.0035656793073712834,0.0009922176691379292,0.011521520956669577
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,240.0,2026-03-23T14:49:00Z,-0.0017347219909424894,0.0005992053502268391,0.00015419345800182782,0.0018417608585509966,-0.014734601094801292,0.004004421683134751,0.0014228365707857904,0.015335198934035538
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,300.0,2026-03-23T14:50:00Z,-0.002734531335590873,0.00084290820723254,0.00025352210286655463,0.0028727041838292815,-0.018595872397497715,0.00405371114453601,0.0018945228719147167,0.0191266374770779
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,360.0,2026-03-23T14:51:00Z,-0.003966313670389354,0.001077790386716515,0.00038225743992370553,0.004127880448849389,-0.02246157437824081,0.0037100686967050933,0.002402310683713438,0.022892313773504827
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,420.0,2026-03-23T14:52:00Z,-0.005429366865428165,0.001280249136925704,0.0005424312803370412,0.005604577959659081,-0.026299772248883357,0.002973098212066816,0.002941755949947833,0.02663026964547643
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,480.0,2026-03-23T14:53:00Z,-0.00712112887413241,0.0014267390042732586,0.0007358253242273349,0.007299828733339655,-0.03008034205054244,0.0018449535232889502,0.0035090663708103875,0.030340474257589983
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,540.0,2026-03-23T14:54:00Z,-0.00903729051060509,0.0014939028005755972,0.0009640134521760046,0.009210520467737788,-0.033775269914215755,0.0003297273565294745,0.004101133210809849,0.03402494484228563
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,600.0,2026-03-23T14:55:00Z,-0.011232878932787571,0.0018734408513410017,0.0013262701941130217,0.011465005118617642,-0.03778772716955814,-0.0016683738834899486,0.004922537266693894,0.03814350756286139
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,660.0,2026-03-23T14:56:00Z,-0.013575710909208283,0.0015740417893539416,0.001604414592293324,0.013760511633983423,-0.04108727957863323,-0.00393227583828093,0.005480537579316547,0.04163728651820865
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,720.0,2026-03-23T14:57:00Z,-0.016141459127538837,0.001267927473236341,0.0019543567759683356,0.01630870483058565,-0.04438504985770919,-0.0065979275376548685,0.006131851915114339,0.045289788104741296
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,780.0,2026-03-23T14:58:00Z,-0.018898656890087295,0.0007820499376975931,0.0023418083401338663,0.019059247116720465,-0.04749923609992379,-0.00962817203742361,0.006794822038358461,0.04893923511244828
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,840.0,2026-03-23T14:59:00Z,-0.021837321583006997,0.00010434314390295185,0.002769749244180275,0.0220125194443294,-0.0504228894193659,-0.013022625644509844,0.007471894214461372,0.052610700045016966
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,900.0,2026-03-23T15:00:00Z,-0.024945251425378956,-0.0007879352779127657,0.0032386378734372556,0.025166946297729736,-0.05313883999491509,-0.016780742129185455,0.00815907608142652,0.05631962486481878
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,960.0,2026-03-23T15:01:00Z,-0.028209510674059857,-0.0019166632228007074,0.0037489398891921155,0.02852200274651676,-0.055631080186913096,-0.02090487161154897,0.008851335664417093,0.06008474750635375
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,1020.0,2026-03-23T15:02:00Z,-0.031616169508197345,-0.00330393868352985,0.0043007587464671815,0.03207794742484167,-0.05788269064055385,-0.025399958580862858,0.009541521350797666,0.06392655474360663
