reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,position_delta_x_m,position_delta_y_m,position_delta_z_m,position_difference_m,velocity_delta_x_mm_s,velocity_delta_y_mm_s,velocity_delta_z_mm_s,velocity_difference_mm_s
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,0.0,2026-03-23T14:45:00Z,0.0,4.547473508864641e-10,0.0,4.547473508864641e-10,0.0,0.0,4.440892098500626e-10,4.440892098500626e-10
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,60.0,2026-03-23T14:46:00Z,-4.547473508864641e-09,9.094947017729282e-10,4.547473508864641e-10,4.659773715484152e-09,-1.603162047558726e-07,3.4638958368304884e-08,1.2378986724570495e-08,1.6448216394641433e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,120.0,2026-03-23T14:47:00Z,-1.7280399333685637e-08,3.637978807091713e-09,2.2737367544323206e-09,1.7804970366752872e-08,-3.1530333899354446e-07,5.1514348342607263e-08,2.5229818234606682e-08,3.204784975529447e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,180.0,2026-03-23T14:48:00Z,-4.001776687800884e-08,7.048583938740194e-09,4.547473508864641e-09,4.0887451825198816e-08,-4.6407322429331543e-07,5.1514348342607263e-08,3.938516179857743e-08,4.685817714775698e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,240.0,2026-03-23T14:49:00Z,-6.912159733474255e-08,9.777068044058979e-09,6.821210263296962e-09,7.014210709053838e-08,-5.988542994828094e-07,3.4638958368304884e-08,5.46229728115577e-08,6.023371137533032e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,300.0,2026-03-23T14:50:00Z,-1.0822986951097846e-07,1.0913936421275139e-08,1.1368683772161603e-08,1.0937122854426785e-07,-7.256417688950023e-07,3.552713678800501e-09,7.016609515630989e-08,7.290348959062493e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,360.0,2026-03-23T14:51:00Z,-1.546140993013978e-07,1.0345502232667059e-08,1.5006662579253316e-08,1.5568477459596418e-07,-8.326672684688674e-07,-3.2862601528904634e-08,8.593126210598712e-08,8.377343924930982e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,420.0,2026-03-23T14:52:00Z,-2.0463630789890885e-07,7.787548383930698e-09,2.0463630789890885e-08,2.0580433573040694e-07,-8.978373600143641e-07,-6.217248937900877e-08,1.0413891970983968e-07,9.059924161224962e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,480.0,2026-03-23T14:53:00Z,-2.5920599000528455e-07,3.524291969370097e-09,2.8194335754960775e-08,2.607586747496016e-07,-9.573453141342725e-07,-9.681144774731365e-08,1.2256862191861728e-07,9.700028731858523e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,540.0,2026-03-23T14:54:00Z,-3.1741365091875196e-07,-3.183231456205249e-09,3.54702933691442e-08,3.1940522923673033e-07,-1.007638417149792e-06,-1.2789769243681803e-07,1.4632739464559563e-07,1.0262088997229411e-06
