reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,position_delta_x_m,position_delta_y_m,position_delta_z_m,position_difference_m,velocity_delta_x_mm_s,velocity_delta_y_mm_s,velocity_delta_z_mm_s,velocity_difference_mm_s
gmat_two_body,numerical_two_body,EarthMJ2000Eq,0.0,2026-03-23T14:45:00Z,0.0,4.547473508864641e-10,0.0,4.547473508864641e-10,0.0,0.0,4.440892098500626e-10,4.440892098500626e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,60.0,2026-03-23T14:46:00Z,-1.8189894035458565e-09,0.0,1.8189894035458565e-09,2.572439484307497e-09,0.0,-8.881784197001252e-10,2.7755575615628914e-10,9.305364597889227e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,120.0,2026-03-23T14:47:00Z,-2.7284841053187847e-09,6.821210263296962e-10,9.094947017729282e-10,2.9558577807620168e-09,0.0,8.881784197001252e-10,6.106226635438361e-10,1.0778315928076986e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,180.0,2026-03-23T14:48:00Z,-1.8189894035458565e-09,9.094947017729282e-10,9.094947017729282e-10,2.227797943108433e-09,4.440892098500626e-10,1.7763568394002505e-09,2.498001805406602e-10,1.8479878185170614e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,240.0,2026-03-23T14:49:00Z,-2.7284841053187847e-09,4.547473508864641e-10,1.3642420526593924e-09,3.0842465926640525e-09,-4.440892098500626e-10,0.0,-1.6653345369377348e-10,4.742874840267547e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,300.0,2026-03-23T14:50:00Z,-3.637978807091713e-09,7.958078640513122e-10,1.8189894035458565e-09,4.144505085959778e-09,-6.661338147750939e-10,8.881784197001252e-10,-5.551115123125783e-10,1.2412670766236365e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,360.0,2026-03-23T14:51:00Z,-3.637978807091713e-09,7.958078640513122e-10,9.094947017729282e-10,3.8334554347073585e-09,7.771561172376096e-10,8.881784197001252e-10,-8.881784197001252e-10,1.4770556661825108e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,420.0,2026-03-23T14:52:00Z,-3.637978807091713e-09,1.1937117960769683e-09,1.8189894035458565e-09,4.238933840384142e-09,9.992007221626409e-10,8.881784197001252e-10,-1.5543122344752192e-09,2.050158411106494e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,480.0,2026-03-23T14:53:00Z,-3.637978807091713e-09,1.3642420526593924e-09,2.2737367544323206e-09,4.50176909753812e-09,5.273559366969494e-10,8.881784197001252e-10,-1.3322676295501878e-09,1.6857942418746734e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,540.0,2026-03-23T14:54:00Z,-3.637978807091713e-09,1.8189894035458565e-09,1.8189894035458565e-09,4.455595886216866e-09,1.1102230246251565e-10,8.881784197001252e-10,-1.3322676295501878e-09,1.6050308076832566e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,600.0,2026-03-23T14:55:00Z,-4.547473508864641e-09,9.094947017729282e-10,4.547473508864641e-10,4.659773715484152e-09,1.7763568394002505e-09,1.7763568394002505e-09,-2.4424906541753444e-09,3.5038047658940696e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,660.0,2026-03-23T14:56:00Z,-3.637978807091713e-09,1.3642420526593924e-09,0.0,3.8853630691471744e-09,1.1102230246251565e-09,2.6645352591003757e-09,-1.7763568394002505e-09,3.3893637946200143e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,720.0,2026-03-23T14:57:00Z,-2.7284841053187847e-09,9.094947017729282e-10,9.094947017729282e-10,3.016452674596985e-09,2.6645352591003757e-09,3.552713678800501e-09,-2.6645352591003757e-09,5.17892563931115e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,780.0,2026-03-23T14:58:00Z,-1.8189894035458565e-09,1.3642420526593924e-09,-4.547473508864641e-10,2.3187656159247055e-09,3.552713678800501e-09,4.440892098500626e-09,-3.1086244689504383e-09,6.481268641478987e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,840.0,2026-03-23T14:59:00Z,-2.7284841053187847e-09,1.8189894035458565e-09,-4.547473508864641e-10,3.3106106863126654e-09,3.9968028886505635e-09,5.329070518200751e-09,-3.9968028886505635e-09,7.768388458966725e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,900.0,2026-03-23T15:00:00Z,-2.7284841053187847e-09,3.183231456205249e-09,-1.3642420526593924e-09,4.408939146211496e-09,3.9968028886505635e-09,4.440892098500626e-09,-3.1086244689504383e-09,6.734946328680592e-09
