reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,radial_position_difference_m,along_track_position_difference_m,cross_track_position_difference_m,radial_velocity_difference_mm_s,along_track_velocity_difference_mm_s,cross_track_velocity_difference_mm_s
gmat_two_body,numerical_two_body,EarthMJ2000Eq,0.0,2026-03-23T14:45:00Z,-1.9058385100488335e-10,4.079806589312996e-10,-6.344076617119267e-11,-2.0868180362459114e-10,-3.679623236192096e-11,3.902731971647657e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,60.0,2026-03-23T14:46:00Z,-2.325044938704726e-09,-7.880108822839394e-10,7.68537430988137e-10,1.8710881578456014e-10,-8.340207386937305e-10,3.6782849465608924e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,120.0,2026-03-23T14:47:00Z,-2.8935768370505682e-09,-2.678065214214132e-10,-5.409140183614632e-10,-5.549664311026369e-10,8.266783764516434e-10,4.12717899673442e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,180.0,2026-03-23T14:48:00Z,-2.1876217134110657e-09,3.9057612852023653e-10,-1.576236091476882e-10,-1.5842637216809053e-10,1.8329103461545303e-09,1.743551689763868e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,240.0,2026-03-23T14:49:00Z,-3.081119751584664e-09,-8.529987004350255e-11,-1.0955388137914684e-10,-3.042707633435938e-10,-1.0281440933823985e-10,-3.489944373642146e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,300.0,2026-03-23T14:50:00Z,-4.126472336025692e-09,3.455290464771709e-10,-1.7250549441019248e-10,-4.1460813471331207e-10,7.282274165142406e-10,-9.15712225525209e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,360.0,2026-03-23T14:51:00Z,-3.671219437989847e-09,5.226493255568049e-10,-9.717850022036328e-10,1.0658995966104408e-09,8.621123680595581e-10,-5.49830661009644e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,420.0,2026-03-23T14:52:00Z,-4.033603948322613e-09,1.2832022131431318e-09,-2.2801616480998657e-10,1.6228165294858405e-09,7.075496924123896e-10,-1.0339194625430789e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,480.0,2026-03-23T14:53:00Z,-4.126919031507615e-09,1.7923754154240284e-09,1.478333017725356e-10,1.1472128077165664e-09,6.439715217644332e-10,-1.0540899766648375e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,540.0,2026-03-23T14:54:00Z,-3.7287183180817846e-09,2.418597444187653e-09,-3.152472182953767e-10,8.185018979842506e-10,5.987288469681088e-10,-1.2440668408155507e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,600.0,2026-03-23T14:55:00Z,-3.987033421511278e-09,1.6027431612875732e-09,-1.8022957399425224e-09,2.986188075913327e-09,9.225313864155473e-10,-1.583750123552723e-09
