model,epoch_utc,frame,elapsed_seconds,timestamp_utc,position_x_km,position_y_km,position_z_km,velocity_x_km_s,velocity_y_km_s,velocity_z_km_s,position_magnitude_km,velocity_magnitude_km_s
numerical_j2_iau1976_1980,2026-05-09T21:08:00Z,EarthMJ2000Eq,0.0,2026-05-09T21:08:00Z,4966.0556934455935,881.0302354819272,4873.667772268073,3.2725666371846716,5.36942285375131,-4.220227225029691,7013.598290512594,7.573025287695985
numerical_j2_iau1976_1980,2026-05-09T21:08:00Z,EarthMJ2000Eq,60.0,2026-05-09T21:09:00Z,5151.973763959465,1201.1455373156657,4610.493915469495,2.9226313180202648,5.2974125674447725,-4.549125847111042,7017.281411695076,7.5696036688619595
numerical_j2_iau1976_1980,2026-05-09T21:08:00Z,EarthMJ2000Eq,120.0,2026-05-09T21:10:00Z,5316.538283771208,1516.2826875226215,4328.159048993457,2.5610391299226714,5.20355268418628,-4.85870862908287,7021.228757466151,7.565905861456489
numerical_j2_iau1976_1980,2026-05-09T21:08:00Z,EarthMJ2000Eq,180.0,2026-05-09T21:11:00Z,5459.096626638757,1825.1439428432784,4027.86058780617,2.1893565524916494,5.088300080946133,-5.147709284625936,7025.421503787401,7.561943579974569
numerical_j2_iau1976_1980,2026-05-09T21:08:00Z,EarthMJ2000Eq,240.0,2026-05-09T21:12:00Z,5579.091325567614,2126.4617845123807,3710.8690142208607,1.8091877344609644,4.95220483624006,-5.414959401627125,7029.83986878221,7.557729706722346
numerical_j2_iau1976_1980,2026-05-09T21:08:00Z,EarthMJ2000Eq,300.0,2026-05-09T21:13:00Z,5676.06208924382,2419.004410319114,3378.5218533084894,1.4221663497393526,4.795906812370045,-5.65939340845132,7034.463241170379,7.553278296931116
numerical_j2_iau1976_1980,2026-05-09T21:08:00Z,EarthMJ2000Eq,360.0,2026-05-09T21:14:00Z,5749.64732682537,2701.5810068875476,3032.2173695571933,1.0299473636889385,4.620131752168061,-5.880052894047612,7039.270309903577,7.548604574102356
numerical_j2_iau1976_1980,2026-05-09T21:08:00Z,EarthMJ2000Eq,420.0,2026-05-09T21:15:00Z,5799.585177590606,2973.0467739992123,2673.408024444221,0.6341987727079244,4.425686922890768,-6.076090253219643,7044.239193672978,7.543724914657304
numerical_j2_iau1976_1980,2026-05-09T21:08:00Z,EarthMJ2000Eq,480.0,2026-05-09T21:16:00Z,5825.714045761908,3232.307674901668,2303.593736094133,0.2365933811982805,4.21345634528772,-6.2467716355230705,7049.347569044097,7.538656821214755
numerical_j2_iau1976_1980,2026-05-09T21:08:00Z,EarthMJ2000Eq,540.0,2026-05-09T21:17:00Z,5827.972644670694,3478.324888978376,1924.314983257948,-0.16119932009688143,3.984395650777512,-6.391479184060745,7054.572796074003,7.533418884080206
