model,epoch_utc,frame,elapsed_seconds,timestamp_utc,position_x_km,position_y_km,position_z_km,velocity_x_km_s,velocity_y_km_s,velocity_z_km_s,position_magnitude_km,velocity_magnitude_km_s
numerical_j2_gmat_r2026a_eop_full,2026-05-09T21:08:00Z,EarthMJ2000Eq,0.0,2026-05-09T21:08:00Z,4966.0556934455935,881.0302354819272,4873.667772268073,3.2725666371846716,5.36942285375131,-4.220227225029691,7013.598290512594,7.573025287695985
numerical_j2_gmat_r2026a_eop_full,2026-05-09T21:08:00Z,EarthMJ2000Eq,60.0,2026-05-09T21:09:00Z,5151.973763968876,1201.1455373770673,4610.493915487666,2.922631318303556,5.297412569475145,-4.549125846541476,7017.2814117244325,7.569603670049954
numerical_j2_gmat_r2026a_eop_full,2026-05-09T21:08:00Z,EarthMJ2000Eq,120.0,2026-05-09T21:10:00Z,5316.538283801634,1516.28268776389,4328.15904905793,2.5610391303112174,5.20355268812845,-4.858708628137412,7021.228757581038,7.565905863692133
numerical_j2_gmat_r2026a_eop_full,2026-05-09T21:08:00Z,EarthMJ2000Eq,180.0,2026-05-09T21:11:00Z,5459.096626691527,1825.1439433746423,4027.860587934859,2.189356552822442,5.088300086645458,-5.147709283451402,7025.4215040402305,7.5619435831057675
numerical_j2_gmat_r2026a_eop_full,2026-05-09T21:08:00Z,EarthMJ2000Eq,240.0,2026-05-09T21:12:00Z,5579.091325634943,2126.4617854339144,3710.8690144242746,1.8091877345946583,4.952204843514142,-5.414959400323783,7029.839869221777,7.557729710586876
numerical_j2_gmat_r2026a_eop_full,2026-05-09T21:08:00Z,EarthMJ2000Eq,300.0,2026-05-09T21:13:00Z,5676.062089310466,2419.0044117193343,3378.5218535924637,1.422166349567837,4.795906821017538,-5.659393407075132,7034.46324184205,7.553278301358366
numerical_j2_gmat_r2026a_eop_full,2026-05-09T21:08:00Z,EarthMJ2000Eq,360.0,2026-05-09T21:14:00Z,5749.647326870702,2701.581008842548,3032.2173699254395,1.0299473631416056,4.620131761977677,-5.880052892614274,7039.270310849533,7.5486045789151515
numerical_j2_gmat_r2026a_eop_full,2026-05-09T21:08:00Z,EarthMJ2000Eq,420.0,2026-05-09T21:15:00Z,5799.585177591002,2973.046776572334,2673.408024900579,0.6341987717564079,4.425686933650176,-6.07609025171024,7044.239194932496,7.543724919673797
numerical_j2_gmat_r2026a_eop_full,2026-05-09T21:08:00Z,EarthMJ2000Eq,480.0,2026-05-09T21:16:00Z,5825.714045693395,3232.307678143694,2303.593736644443,0.23659337985954002,4.2134563567920456,-6.246771633891079,7049.34757065386,7.538656826250342
numerical_j2_gmat_r2026a_eop_full,2026-05-09T21:08:00Z,EarthMJ2000Eq,540.0,2026-05-09T21:17:00Z,5827.972644511713,3478.3248929282195,1924.3149839114712,-0.16119932175923185,3.9843956628371706,-6.391479182240124,7054.57279806844,7.533418888949438
numerical_j2_gmat_r2026a_eop_full,2026-05-09T21:08:00Z,EarthMJ2000Eq,600.0,2026-05-09T21:18:00Z,5806.399557971045,3710.1189505490547,1537.145797195239,-0.5575211135390263,3.7395266263942446,-6.509712556648724,7059.8920427910625,7.528030735308098
numerical_j2_gmat_r2026a_eop_full,2026-05-09T21:08:00Z,EarthMJ2000Eq,660.0,2026-05-09T21:19:00Z,5761.132331050831,3926.77352846594,1143.6866798546596,-0.9507327803380418,3.4799314237833157,-6.601089744634915,7065.282393607279,7.522512967789961
numerical_j2_gmat_r2026a_eop_full,2026-05-09T21:08:00Z,EarthMJ2000Eq,720.0,2026-05-09T21:20:00Z,5692.406104416509,4127.438898181609,745.5575016930659,-1.3392215635270168,3.206746670930364,-6.665347171417947,7070.720974847739,7.516887089964033
numerical_j2_gmat_r2026a_eop_full,2026-05-09T21:08:00Z,EarthMJ2000Eq,780.0,2026-05-09T21:21:00Z,5600.551811673735,4311.335008473644,344.3904064738598,-1.7214082799002546,2.921157295558502,-6.7023391293146,7076.1850528800915,7.511175421719653
numerical_j2_gmat_r2026a_eop_full,2026-05-09T21:08:00Z,EarthMJ2000Eq,840.0,2026-05-09T21:22:00Z,5485.993960661566,4477.754197374993,-58.177226588610985,-2.0957540608878302,2.6243902991995633,-6.712036554468322,7081.652136205089,7.50540100426217
