reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,radial_position_difference_m,along_track_position_difference_m,cross_track_position_difference_m,radial_velocity_difference_mm_s,along_track_velocity_difference_mm_s,cross_track_velocity_difference_mm_s
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,0.0,2026-05-09T21:08:00Z,-6.439777635978571e-10,-3.8801179107875477e-10,5.117813034181564e-10,-3.1444226738176613e-10,-1.8945888236267323e-10,2.4989321455964673e-10
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,60.0,2026-05-09T21:09:00Z,-2.9360374706467145e-05,-3.543824975488379e-05,-4.551014099743368e-05,-0.0009297389787530185,-0.001180242961922781,-0.0015065941360248125
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,120.0,2026-05-09T21:10:00Z,-8.251678128563946e-05,0.003473750825365096,-0.00017941727791000522,-0.005583104772807928,-0.0022161327661578295,-0.002947217655419708
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,180.0,2026-05-09T21:11:00Z,-0.00025283291498278066,-0.0002828379307838196,-0.00039721612832291744,-0.0024110489640408947,-0.0031084987652982726,-0.004300742576426675
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,240.0,2026-05-09T21:12:00Z,-0.0004036118458715127,0.0031337690712636315,-0.000693667859819451,-0.006841294515886271,-0.00383098452272357,-0.005566369898216517
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,300.0,2026-05-09T21:13:00Z,-0.0006716719448404512,-0.0006818959820476622,-0.0010628435490903129,-0.003496211994868863,-0.004391164973821255,-0.00672301626334575
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,360.0,2026-05-09T21:14:00Z,-0.0009459573454930314,-0.0009057513539733108,-0.0014981942501484603,-0.003935111006591462,-0.004770659046008971,-0.00776796117513924
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,420.0,2026-05-09T21:15:00Z,-0.0012595176740539465,-0.0011280987024486985,-0.0019925936496417757,-0.004330440937168331,-0.004968647123819466,-0.0086897496733649
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,480.0,2026-05-09T21:16:00Z,-0.001609762088009072,-0.0013355708897596645,-0.002538405487182938,-0.004701912279351427,-0.0049822486095538535,-0.00948040437424431
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,540.0,2026-05-09T21:17:00Z,-0.0020363643172356663,-0.005106825747026531,-0.003127546407066253,-0.0012463086382748934,-0.00481284535834539,-0.010131779203458225
