reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,position_delta_x_m,position_delta_y_m,position_delta_z_m,position_difference_m,velocity_delta_x_mm_s,velocity_delta_y_mm_s,velocity_delta_z_mm_s,velocity_difference_mm_s
gmat_two_body,numerical_two_body,EarthMJ2000Eq,0.0,2026-05-09T21:08:00Z,-9.094947017729282e-10,0.0,0.0,9.094947017729282e-10,-4.440892098500626e-10,0.0,0.0,4.440892098500626e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,60.0,2026-05-09T21:09:00Z,-1.8189894035458565e-09,-2.2737367544323206e-10,0.0,1.8331451766013172e-09,1.3322676295501878e-09,8.881784197001252e-10,8.881784197001252e-10,1.831026719408895e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,120.0,2026-05-09T21:10:00Z,0.0012206655810587108,0.0024811247385514434,-0.0023164748199633323,0.003607223311711866,-0.0029194273665211767,-0.0008326264122615612,-0.0023767379175865244,0.003855542247166002
gmat_two_body,numerical_two_body,EarthMJ2000Eq,180.0,2026-05-09T21:11:00Z,1.8189894035458565e-09,-2.2737367544323206e-10,-4.547473508864641e-10,1.888707598236141e-09,2.6645352591003757e-09,0.0,4.440892098500626e-09,5.17892563931115e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,240.0,2026-05-09T21:12:00Z,0.0008618426363682374,0.0023611687538505066,-0.0025812578314798884,0.0036028853168812306,-0.0030523721328279407,-0.0011634275765004531,-0.0020304380399238653,0.0038461952624634357
gmat_two_body,numerical_two_body,EarthMJ2000Eq,300.0,2026-05-09T21:13:00Z,9.094947017729282e-10,1.3642420526593924e-09,-1.3642420526593924e-09,2.1329541413358264e-09,3.1086244689504383e-09,0.0,2.6645352591003757e-09,4.094300213216722e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,360.0,2026-05-09T21:14:00Z,9.094947017729282e-10,1.3642420526593924e-09,-1.3642420526593924e-09,2.1329541413358264e-09,2.886579864025407e-09,2.6645352591003757e-09,2.6645352591003757e-09,4.7467714928543955e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,420.0,2026-05-09T21:15:00Z,9.094947017729282e-10,1.8189894035458565e-09,-9.094947017729282e-10,2.227797943108433e-09,4.440892098500626e-09,8.881784197001252e-10,2.6645352591003757e-09,5.2545343925732765e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,480.0,2026-05-09T21:16:00Z,1.8189894035458565e-09,0.0,-4.547473508864641e-10,1.8749713606747085e-09,5.079270337660091e-09,8.881784197001252e-10,4.440892098500626e-09,6.8050988750186406e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,540.0,2026-05-09T21:17:00Z,7.754715625196695e-05,-0.0018997611732629593,0.0030457376851700246,0.0035904907914859055,0.0031553016865970562,0.0018833281600905138,0.0010425580398987222,0.0038196571781495803
gmat_two_body,numerical_two_body,EarthMJ2000Eq,600.0,2026-05-09T21:18:00Z,9.094947017729282e-10,0.0,-1.1368683772161603e-09,1.4559018921847493e-09,3.1086244689504383e-09,0.0,2.6645352591003757e-09,4.094300213216722e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,660.0,2026-05-09T21:19:00Z,0.00045367778511717916,-0.00165941537488834,0.0031454314921575133,0.003585139075542381,0.003105072976516965,0.002116624653325516,0.000617372819533557,0.0038082446495544503
gmat_two_body,numerical_two_body,EarthMJ2000Eq,720.0,2026-05-09T21:20:00Z,2.7284841053187847e-09,-9.094947017729282e-10,-9.094947017729282e-10,3.016452674596985e-09,3.552713678800501e-09,4.440892098500626e-10,2.6645352591003757e-09,4.4630413236749836e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,780.0,2026-05-09T21:21:00Z,0.000820758032205049,-0.0013932358342572115,0.0031936579034663737,0.0035796928138683527,0.003004742454848497,0.0023133637228056614,0.00018596413298155312,0.003796671119904623
gmat_two_body,numerical_two_body,EarthMJ2000Eq,840.0,2026-05-09T21:22:00Z,0.0009990571925300173,-0.0012518721632659435,0.0031983383124156717,0.0035769633976002664,0.002936551446452995,0.0023971957752166873,-2.9833024939307506e-05,0.0037908801078059616
gmat_two_body,numerical_two_body,EarthMJ2000Eq,900.0,2026-05-09T21:23:00Z,3.637978807091713e-09,-3.637978807091713e-09,-1.7053025658242404e-10,5.147704359236936e-09,5.773159728050814e-09,2.6645352591003757e-09,4.440892098500626e-09,7.755684626330685e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,960.0,2026-05-09T21:24:00Z,0.0013416556612355635,-0.000955560608417727,0.0031690341302237357,0.003571542147057487,0.0027660380652605454,0.0025345374687901767,-0.0004572697775984125,0.00377941032552388
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1020.0,2026-05-09T21:25:00Z,0.001504626197856851,-0.0008018414519028738,0.0031352831229014555,0.0035688723667312025,0.002664596543411335,0.002587683178845168,-0.000667223609696066,0.0037737734853292024
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1080.0,2026-05-09T21:26:00Z,4.547473508864641e-09,-2.7284841053187847e-09,0.0,5.3032198546546174e-09,3.552713678800501e-09,2.4424906541753444e-09,3.552713678800501e-09,5.58652929490272e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1140.0,2026-05-09T21:27:00Z,0.0018107948562828824,-0.0004864159564021975,0.0030305377549666446,0.0035636691174211837,0.0024318196345518572,0.002662342124537531,-0.0010756258106425776,0.003762815861505775
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1200.0,2026-05-09T21:28:00Z,5.4569682106375694e-09,-6.366462912410498e-09,9.094947017729282e-10,8.434306887916777e-09,3.552713678800501e-09,4.3298697960381105e-09,1.7763568394002505e-09,5.875797014453729e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1260.0,2026-05-09T21:29:00Z,0.0020868119463557377,-0.00016458034224342555,0.002877949555113446,0.003558716683059171,0.0021628050461686144,0.0026945388142962656,-0.0014636682976743032,0.003752411221481241
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1320.0,2026-05-09T21:30:00Z,0.002212220806541154,-2.8467184165492654e-06,0.0027845562726724893,0.0035563580579546605,0.0020161605718271858,0.002694757202971465,-0.0016482966103126273,0.0037474660171808384
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1380.0,2026-05-09T21:31:00Z,6.821210263296962e-09,-7.275957614183426e-09,1.8189894035458565e-09,1.0137908616165057e-08,0.0,4.884981308350689e-09,3.552713678800501e-09,6.040266291023253e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1440.0,2026-05-09T21:32:00Z,0.0024355567802558653,0.00031907984521239996,0.0025656163415987976,0.0035519200427022403,0.0017016601461250502,0.0026638451444682687,-0.0019955583852038217,0.0037381775607071934
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1500.0,2026-05-09T21:33:00Z,0.0025326849026896525,0.0004780367817147635,0.002440997377561871,0.0035498563602275844,0.0015350796189750326,0.0026329860514096026,-0.0021570105701584907,0.003733869250962802
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1560.0,2026-05-09T21:34:00Z,0.0026196562430413906,0.0006348418537527323,0.002306951500941068,0.0035479075859830658,0.0013631522577384203,0.002592096759457263,-0.0023096164980529466,0.0037298093860470343
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1620.0,2026-05-09T21:35:00Z,0.0026961697585647926,0.0007888929758337326,0.0021640307750203647,0.003546084134584848,0.0011865353144457913,0.002541387322807509,-0.002452876124436898,0.0037260054829248803
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1680.0,2026-05-09T21:36:00Z,4.774847184307873e-09,-4.547473508864641e-09,5.4569682106375694e-09,8.559041009320349e-09,-6.217248937900877e-09,5.10702591327572e-09,2.6645352591003757e-09,8.475591199538142e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1740.0,2026-05-09T21:37:00Z,0.00281681082014984,0.0010864405339816585,0.001853877620305866,0.0035428291606373723,0.0008219149805199777,0.002411519428591191,-0.002709557023194975,0.0037192296852468195
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1800.0,2026-05-09T21:38:00Z,0.002860538188542705,0.0012288173820707016,0.001687869371380657,0.0035414084629473634,0.000635262509263157,0.0023329356224621733,-0.002822166056404285,0.0037162842092806634
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1860.0,2026-05-09T21:39:00Z,2.6147972675971687e-09,-1.8189894035458565e-09,4.547473508864641e-09,5.552062906224264e-09,-9.769962616701378e-09,5.773159728050814e-09,1.7763568394002505e-09,1.148638265069618e-08
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1920.0,2026-05-09T21:40:00Z,0.0029141058348614024,0.0014981314961914904,0.0013372391549637541,0.003539013895737399,0.0002566666879033619,0.002150069899897744,-0.0030141649176584906,0.003711316277814219
