reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,radial_position_difference_m,along_track_position_difference_m,cross_track_position_difference_m,radial_velocity_difference_mm_s,along_track_velocity_difference_mm_s,cross_track_velocity_difference_mm_s
gmat_two_body,numerical_two_body,EarthMJ2000Eq,0.0,2026-05-09T21:08:00Z,-6.439777635978571e-10,-3.8801179107875477e-10,5.117813034181564e-10,-3.1444226738176613e-10,-1.8945888236267323e-10,2.4989321455964673e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,60.0,2026-05-09T21:09:00Z,-1.3743885762553955e-09,-8.498690927787951e-10,8.655632877465918e-10,1.713708518709048e-09,5.878209672695878e-10,2.651951555582905e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,120.0,2026-05-09T21:10:00Z,3.211931205799798e-05,0.0036070803110475305,1.922004891175775e-09,-0.003855542247165717,-9.946598868930708e-10,1.0969560273952415e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,180.0,2026-05-09T21:11:00Z,1.0936226261628207e-09,6.72669732293752e-10,-1.3851791849560541e-09,4.616605449373853e-09,-2.2954335924722512e-09,4.890905078571589e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,240.0,2026-05-09T21:12:00Z,3.55211995908086e-05,0.0036027102091311753,-1.684020189633283e-11,-0.0038461952624627947,-2.1444031042379345e-09,-5.800719106351313e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,300.0,2026-05-09T21:13:00Z,5.476718772588382e-10,2.054032800167377e-09,-1.7463716596989154e-10,3.7881050291385175e-09,-1.4505914007898105e-09,-5.561826247885027e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,360.0,2026-05-09T21:14:00Z,6.786447635848573e-10,2.0145561581059268e-09,-1.7463716596989113e-10,4.528212739813018e-09,-9.911779959170485e-11,1.4203185030739879e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,420.0,2026-05-09T21:15:00Z,1.1711928528222582e-09,1.8634324918838792e-09,3.4497873123957064e-10,5.04239108590818e-09,-1.3077259725478112e-09,-6.886774282732209e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,480.0,2026-05-09T21:16:00Z,1.35448544053056e-09,4.182300462106841e-10,-1.2271798658663332e-09,6.056390506760144e-09,-3.0928528707255713e-09,-2.5251900611669717e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,540.0,2026-05-09T21:17:00Z,-4.132353772262908e-05,-0.0035902529839792977,-1.7081793110004735e-09,0.003819657178148305,-3.0684311767222276e-09,-5.731195353416007e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,600.0,2026-05-09T21:18:00Z,5.001967271260252e-10,9.095993591103526e-10,-1.0208244509932069e-09,3.1371900154588397e-09,-2.5713797717830865e-09,-5.561826247885031e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,660.0,2026-05-09T21:19:00Z,-4.247818339796156e-05,-0.003584887417327532,-1.6796986033959526e-09,0.003808244649551854,-4.006157890269774e-09,-1.9313234427768907e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,720.0,2026-05-09T21:20:00Z,1.5693791550551139e-09,-8.715358092068659e-11,-2.574575704673394e-09,3.4009089355289393e-09,-2.8469398512508584e-09,-4.974834192510397e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,780.0,2026-05-09T21:21:00Z,-4.293342353563394e-05,-0.003579435341335103,-2.3429737465603255e-09,0.0037966711199022255,-4.241035930876529e-09,-4.660460508483478e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,840.0,2026-05-09T21:22:00Z,-4.290105206693175e-05,-0.0035767061170126077,-5.308954861390847e-09,0.003790880107803044,-4.7029770335183925e-09,4.0112766195578724e-11
gmat_two_body,numerical_two_body,EarthMJ2000Eq,900.0,2026-05-09T21:23:00Z,3.8186791699812525e-10,-2.1718325308997668e-09,-4.651470791244419e-09,5.809883787418413e-09,-5.10354281645294e-09,5.913925265222967e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,960.0,2026-05-09T21:24:00Z,-4.232006561981683e-05,-0.0035712914079100125,-6.4851657002041644e-09,0.003779410325522711,-2.1910150804119258e-09,-2.0085241361409806e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1020.0,2026-05-09T21:25:00Z,-4.177389186213725e-05,-0.0035686278752396633,-6.221953785265137e-09,0.003773773485324486,-5.71972298832133e-09,1.697543057194513e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1080.0,2026-05-09T21:26:00Z,1.1764159265178085e-09,-2.625655560036929e-09,-4.454898346167435e-09,3.2882665738201088e-09,-4.328443179816423e-09,1.2888724302289673e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1140.0,2026-05-09T21:27:00Z,-4.018647470461538e-05,-0.003563442524537602,-5.4198099561085035e-09,0.0037628158615044,-2.938156572290581e-09,1.3090614544525768e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1200.0,2026-05-09T21:28:00Z,-1.5126519964741124e-09,-4.31482242437335e-09,-7.0874342369610845e-09,4.667035343588193e-09,-3.079887900960027e-09,1.8050102975556724e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1260.0,2026-05-09T21:29:00Z,-3.796709051273527e-05,-0.003558514146422372,-5.789870833285079e-09,0.0037524112214805867,-1.0954321379109908e-09,1.9266828449759534e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1320.0,2026-05-09T21:30:00Z,-3.662838098739402e-05,-0.0035561694276364073,-5.425422891615302e-09,0.003747466017178628,-2.839832552996186e-09,2.915526356384347e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1380.0,2026-05-09T21:31:00Z,-2.7120939072047252e-09,-5.48975914706521e-09,-8.079868950387164e-09,1.7706682501249888e-09,-2.914887555182393e-09,4.9852764572402524e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1440.0,2026-05-09T21:32:00Z,-3.353781876556497e-05,-0.003551761704337438,-8.022075403173599e-09,0.0037381775607034555,-6.534351143040479e-10,5.24591073546731e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1500.0,2026-05-09T21:33:00Z,-3.179383473767213e-05,-0.0035497139786603953,-4.888390953506017e-09,0.0037338692509569687,1.6816795907383054e-09,6.382602551420127e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1560.0,2026-05-09T21:34:00Z,-2.9923835778791347e-05,-0.0035477813916194195,-2.7283361384037783e-09,0.003729809386039762,3.40812052683546e-10,7.357189419062326e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1620.0,2026-05-09T21:35:00Z,-2.7943773129409112e-05,-0.0035459740319250172,-3.33314401489125e-09,0.003726005482915811,-6.96970799782895e-10,8.19137543807834e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1680.0,2026-05-09T21:36:00Z,-5.532137198226689e-09,-5.573984002065655e-09,-3.4034311163795017e-09,-1.274148983085589e-10,1.978742524929455e-09,8.24038771208086e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1740.0,2026-05-09T21:37:00Z,-2.3667513318786015e-05,-0.003542750105535984,-7.645660829368683e-10,0.0037192296852355876,3.0321214366721782e-09,8.622622785344189e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1800.0,2026-05-09T21:38:00Z,-2.1388217382811404e-05,-0.0035413438756476748,-2.258392661325009e-09,0.0037162842092605852,5.207451314719045e-09,1.1050584571234133e-08
