model,epoch_utc,frame,elapsed_seconds,timestamp_utc,position_x_km,position_y_km,position_z_km,velocity_x_km_s,velocity_y_km_s,velocity_z_km_s,position_magnitude_km,velocity_magnitude_km_s
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,0.0,2026-06-17T06:30:00Z,2160.599293531969,-2762.276994340657,-6344.269080876216,-5.447052732731525,3.666955350907003,-3.477070609289579,7249.007771497865,7.430138965099434
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,60.0,2026-06-17T06:31:00Z,1829.927870616689,-2537.215979419342,-6540.832496982716,-5.571862991342812,3.832708185918108,-3.073048968437145,7250.420035519717,7.42825276866047
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,120.0,2026-06-17T06:32:00Z,1492.395650449129,-2302.642298638408,-6712.811307476613,-5.675680205548014,3.983948634285992,-2.657846060076989,7251.981934805418,7.426260040918681
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,180.0,2026-06-17T06:33:00Z,1149.273227345464,-2059.443311434373,-6859.582195421282,-5.758151118222917,4.120132671168337,-2.233052708328667,7253.688964922985,7.424171463974587
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,240.0,2026-06-17T06:34:00Z,801.8499028267017,-1808.537231217674,-6980.618221701095,-5.819005478455397,4.240776089386202,-1.800289596324645,7255.535882380366,7.421997657587774
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,300.0,2026-06-17T06:35:00Z,451.4286967394402,-1550.869496871248,-7075.490421403321,-5.858056271132519,4.345455770543773,-1.36120076938649,7257.516708071411,7.419749097111409
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,360.0,2026-06-17T06:36:00Z,99.32135412490956,-1287.409075718288,-7143.869012134967,-5.875199632229719,4.433810700146929,-0.9174471998565464,7259.624737007365,7.417436040021797
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,420.0,2026-06-17T06:37:00Z,-253.1566338676319,-1019.14471297853,-7185.524218562924,-5.870414468416262,4.505542738107228,-0.4707004325221497,7261.852554466911,7.415068461793074
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,480.0,2026-06-17T06:38:00Z,-604.6909778183679,-747.0811420487883,-7200.326718480984,-5.843761798654652,4.560417155953521,-0.02263632561381689,7264.1920586071365,7.41265600166148
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,540.0,2026-06-17T06:39:00Z,-953.9734904414993,-472.2352692772816,-7188.247716500617,-5.795383834085385,4.598262951567323,0.4250711010593812,7266.634489486233,7.410207918614071
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,600.0,2026-06-17T06:40:00Z,-1299.706924791418,-195.6323458827675,-7149.358652006009,-5.725502810662614,4.618972951408763,0.8707557027056022,7269.170464373466,7.407733057727283
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,660.0,2026-06-17T06:41:00Z,-1640.609732638201,81.69785793927308,-7083.830548928797,-5.634419587938743,4.622503708915585,1.312765120090028,7271.7900190225455,7.40523982679907
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,720.0,2026-06-17T06:42:00Z,-1975.420738384855,358.7248720456009,-6991.93301368732,-5.522512022537557,4.608875206897485,1.7494665706018,7274.4826548254105,7.402736182890716
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,780.0,2026-06-17T06:43:00Z,-2302.903699232227,634.4213138513102,-6874.032891874572,-5.390233129410028,4.57817036988274,2.179252494386479,7277.237391344313,7.400229628825809
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,840.0,2026-06-17T06:44:00Z,-2621.851760176973,907.7666506091977,-6730.592586194209,-5.238109030628064,4.530534390218736,2.600546078961182,7280.042823063185,7.397727217632609
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,900.0,2026-06-17T06:45:00Z,-2931.091773964374,1177.750910774817,-6562.168049646388,-5.06673670387403,4.466173872737857,3.011806634423734,7282.887182088736,7.39523556697617
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,960.0,2026-06-17T06:46:00Z,-3229.488465331301,1443.378325898514,-6369.406468375293,-4.876781540400754,4.385355802713914,3.411534801878627,7285.758402442572,7.392760878969317
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,1020.0,2026-06-17T06:47:00Z,-3515.948480666641,1703.670938344263,-6153.043615473097,-4.668974687379497,4.28840632821222,3.798277658231358,7288.644189338311,7.3903089675777816
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,1080.0,2026-06-17T06:48:00Z,-3789.424236483838,1957.672099083414,-5913.900923851923,-4.444110217298817,4.175709371885078,4.170633609102068,7291.5320906320785,7.387885291700214
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,1140.0,2026-06-17T06:49:00Z,-4048.917597910481,2204.449881285424,-5652.88227031211,-4.203042108000755,4.04770506713862,4.527257115604376,7294.409568688716,7.385494991058998
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,1200.0,2026-06-17T06:50:00Z,-4293.483394178967,2443.10041694757,-5370.970460353475,-3.946681017428481,3.904888008463047,4.866863268098239,7297.264075622421,7.383142927123427
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,1260.0,2026-06-17T06:51:00Z,-4522.232705781156,2672.751095857259,-5069.223471122943,-3.675990900576698,3.747805338212042,5.188232119236368,7300.08312732305,7.380833725083451
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,1320.0,2026-06-17T06:52:00Z,-4734.33596302872,2892.563663504844,-4748.770419617606,-3.391985431537885,3.577054649898628,5.49021282979298,7302.854377330196,7.378571816588227
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,1380.0,2026-06-17T06:53:00Z,-4929.025815979397,3101.737179096482,-4410.807301124213,-3.095724266441628,3.393281726253573,5.771727569779172,7305.5656913363955,7.376361484316706
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,1440.0,2026-06-17T06:54:00Z,-5105.599771285612,3299.510828743404,-4056.59250663125,-2.78830915058958,3.197178112965934,6.031775165003454,7308.20521731591,7.374206902877248
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,1500.0,2026-06-17T06:55:00Z,-5263.42260743883,3485.166605614861,-3687.442102627156,-2.470879851819056,2.989478516089891,6.269434500987618,7310.761456484445,7.372112180539729
gmat_j2,2026-06-17T06:30:00Z,EarthMJ2000Eq,1560.0,2026-06-17T06:56:00Z,-5401.928522541677,3658.031808607778,-3304.724948116774,-2.144609983942729,2.770958060991544,6.483867613320339,7313.223328884536,7.370081396162815
