model,epoch_utc,frame,elapsed_seconds,timestamp_utc,position_x_km,position_y_km,position_z_km,velocity_x_km_s,velocity_y_km_s,velocity_z_km_s,position_magnitude_km,velocity_magnitude_km_s
numerical_j2_iau1976_1980,2026-06-17T06:30:00Z,EarthMJ2000Eq,0.0,2026-06-17T06:30:00Z,2160.599293531969,-2762.2769943406565,-6344.269080876216,-5.4470527327315255,3.6669553509070028,-3.4770706092895787,7249.007771497865,7.430138965099434
numerical_j2_iau1976_1980,2026-06-17T06:30:00Z,EarthMJ2000Eq,60.0,2026-06-17T06:31:00Z,1829.92787060346,-2537.2159794214876,-6540.832496876932,-5.5718629917183815,3.832708185785917,-3.0730489649247756,7250.420035421698,7.428252767420918
numerical_j2_iau1976_1980,2026-06-17T06:30:00Z,EarthMJ2000Eq,120.0,2026-06-17T06:32:00Z,1492.3956504116506,-2302.642298661416,-6712.811307057599,-5.675680205919853,3.983948633664719,-2.6578460531754597,7251.981934417149,7.426260038399529
numerical_j2_iau1976_1980,2026-06-17T06:30:00Z,EarthMJ2000Eq,180.0,2026-06-17T06:33:00Z,1149.2732272945718,-2059.4433115178076,-6859.5821944913205,-5.758151118243382,4.120132669721537,-2.2330526982379237,7253.688964059175,7.424171460152432
numerical_j2_iau1976_1980,2026-06-17T06:30:00Z,EarthMJ2000Eq,240.0,2026-06-17T06:34:00Z,801.8499027929087,-1808.5372314204515,-6980.618220076563,-5.819005477817599,4.240776086806536,-1.8002895833130022,7255.5358808641995,7.4219976524576365
numerical_j2_iau1976_1980,2026-06-17T06:30:00Z,EarthMJ2000Eq,300.0,2026-06-17T06:35:00Z,451.42869677025766,-1550.8694972696564,-7075.490418918492,-5.858056269577856,4.345455766560798,-1.361200753780043,7257.516705735958,7.419749090688194
numerical_j2_iau1976_1980,2026-06-17T06:30:00Z,EarthMJ2000Eq,360.0,2026-06-17T06:36:00Z,99.32135428176763,-1287.409076403566,-7143.8690086451015,-5.87519962955362,4.433810694533706,-0.9174471820267153,7259.624733696818,7.417436032341446
numerical_j2_iau1976_1980,2026-06-17T06:30:00Z,EarthMJ2000Eq,420.0,2026-06-17T06:37:00Z,-253.15663351274742,-1019.144714054094,-7185.5242139465845,-5.870414464471877,4.5055427306855025,-0.470700412871795,7261.852550037669,7.415068452913384
numerical_j2_iau1976_1980,2026-06-17T06:30:00Z,EarthMJ2000Eq,480.0,2026-06-17T06:38:00Z,-604.6909771864314,-747.0811436271945,-7200.326712641478,-5.843761793354236,4.560417146597342,-0.022636304562465976,7264.192052928696,7.412655991662503
numerical_j2_iau1976_1980,2026-06-17T06:30:00Z,EarthMJ2000Eq,540.0,2026-06-17T06:39:00Z,-953.9734894499807,-472.2352714770255,-7188.247709366544,-5.7953838273995295,4.598262940204822,0.42507112309076783,7266.634482441904,7.410207907598191
numerical_j2_iau1976_1980,2026-06-17T06:30:00Z,EarthMJ2000Eq,600.0,2026-06-17T06:40:00Z,-1299.7069228668938,-195.6323492190453,-7149.358643594011,-5.725502802731051,4.618972938003556,0.8707557246736274,7269.170455845803,7.407733045820578
numerical_j2_iau1976_1980,2026-06-17T06:30:00Z,EarthMJ2000Eq,660.0,2026-06-17T06:41:00Z,-1640.6097304411142,81.69785393681978,-7083.830539138825,-5.6344195786749465,4.622503693537322,1.3127651425731253,7271.790008944964,7.405239814136797
numerical_j2_iau1976_1980,2026-06-17T06:30:00Z,EarthMJ2000Eq,720.0,2026-06-17T06:42:00Z,-1975.4207353392553,358.7248668416504,-6991.93300267133,-5.522512012249808,4.608875189665743,1.749466592602808,7274.482643153626,7.402736169687067
numerical_j2_iau1976_1980,2026-06-17T06:30:00Z,EarthMJ2000Eq,780.0,2026-06-17T06:43:00Z,-2302.9036965916803,634.4213084685533,-6874.032879038748,-5.390233117606882,4.578170350715204,2.17925251736375,7277.237377914803,7.400229615136953
numerical_j2_iau1976_1980,2026-06-17T06:30:00Z,EarthMJ2000Eq,840.0,2026-06-17T06:44:00Z,-2621.851758086446,907.766645120631,-6730.592571461836,-5.2381090173739215,4.530534369235558,2.600546102957688,7280.042808005445,7.397727203832745
numerical_j2_iau1976_1980,2026-06-17T06:30:00Z,EarthMJ2000Eq,900.0,2026-06-17T06:45:00Z,-2931.091768539716,1177.7509017714558,-6562.1680349475555,-5.066736691317189,4.466173850800889,3.011806654197425,7282.887165205309,7.395235553177828
numerical_j2_iau1976_1980,2026-06-17T06:30:00Z,EarthMJ2000Eq,960.0,2026-06-17T06:46:00Z,-3229.4884604128797,1443.3783166954736,-6369.406451576409,-4.8767815265208965,4.385355779179145,3.411534822505651,7285.758383753183,7.392760865371209
numerical_j2_iau1976_1980,2026-06-17T06:30:00Z,EarthMJ2000Eq,1020.0,2026-06-17T06:47:00Z,-3515.948475971474,1703.6709286575124,-6153.043596709895,-4.668974672446897,4.288406303313975,3.798277679361593,7288.644168969392,7.390308954555969
