reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,position_delta_x_m,position_delta_y_m,position_delta_z_m,position_difference_m,velocity_delta_x_mm_s,velocity_delta_y_mm_s,velocity_delta_z_mm_s,velocity_difference_mm_s
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,0.0,2026-06-17T06:30:00Z,0.0,4.547473508864641e-10,0.0,4.547473508864641e-10,-8.881784197001252e-10,-4.440892098500626e-10,4.440892098500626e-10,1.0877919644084147e-09
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,60.0,2026-06-17T06:31:00Z,-1.3229055184638128e-05,-2.1454980014823377e-06,0.00010578423825791106,0.0001066298088086022,-0.00037556979748387675,-0.0001321907028284386,0.0035123695063532523,0.0035348644392475003
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,120.0,2026-06-17T06:32:00Z,-3.747845767065883e-05,-2.3007942218100652e-05,0.00041901421354850754,0.00042131569084257603,-0.00037183855994271653,-0.0006212728109744603,0.006901529125968864,0.0069394054570195655
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,180.0,2026-06-17T06:33:00Z,-5.089214027975686e-05,-8.3434770203894e-05,0.0009299619705416262,0.0009350832248922528,-2.0465407146730286e-05,-0.0014468000131273584,0.010090743352009213,0.010193956567839257
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,240.0,2026-06-17T06:34:00Z,-3.37930714522372e-05,-0.00020277752810216043,0.0016245312508544885,0.0016374866358490523,0.0006377982586514008,-0.00257966625838435,0.013011642874261042,0.013280222698083554
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,300.0,2026-06-17T06:35:00Z,3.081743216171162e-05,-0.00039840847421146464,0.0024848295652191155,0.0025167552512383017,0.001554662176772581,-0.003982974838834252,0.015606447023586156,0.01618154046284454
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,360.0,2026-06-17T06:36:00Z,0.00015685806431520177,-0.00068527788243955,0.003489865775918588,0.0035599681687382254,0.0026760984539464516,-0.005613222775480153,0.017829831167048837,0.018883131422193982
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,420.0,2026-06-17T06:37:00Z,0.00035488449157128343,-0.0010755640005299938,0.0046163395381881855,0.004753248536888578,0.0039443843746767016,-0.0074217254564246105,0.019650354732281272,0.021372333002043175
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,480.0,2026-06-17T06:38:00Z,0.0006319364729279187,-0.0015784062270540744,0.005839506229676772,0.00608198511424136,0.005300416106024386,-0.009356178942709903,0.02105135091245991,0.023638778956294203
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,540.0,2026-06-17T06:39:00Z,0.000991518618320697,-0.0021997439034748822,0.007134072802728042,0.007531067465238605,0.0066858554248483415,-0.01136250116218207,0.02203138665946014,0.025674678061490878
