reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,radial_position_difference_m,along_track_position_difference_m,cross_track_position_difference_m,radial_velocity_difference_mm_s,along_track_velocity_difference_mm_s,cross_track_velocity_difference_mm_s
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,0.0,2026-06-17T06:30:00Z,-1.73284149388004e-10,2.249493017868385e-10,3.551979283930957e-10,-4.841658075375425e-10,2.2558920940657586e-10,-9.47620355016899e-10
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,60.0,2026-06-17T06:31:00Z,-9.801937056824417e-05,-3.4619669494259613e-05,-2.374021069983409e-05,-0.003217150147236278,-0.0012288200908125153,-0.000797002332750452
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,120.0,2026-06-17T06:32:00Z,-0.0003882686143280634,-0.00013223971312618208,-9.626553251412318e-05,-0.006267669219295505,-0.00249616711783538,-0.0016250601140407124
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,180.0,2026-06-17T06:33:00Z,-0.000863810179994548,-0.0002831012549035064,-0.00021924025607707604,-0.009134965876113184,-0.003785724131238961,-0.002477386072334278
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,240.0,2026-06-17T06:34:00Z,-0.0015161662614039517,-0.0004769015625855149,-0.0003939127441047136,-0.011805119812887835,-0.0050794203973943105,-0.003347080749039574
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,300.0,2026-06-17T06:35:00Z,-0.0023354539915133826,-0.000702797353629066,-0.0006211179661640459,-0.014267190457540609,-0.006357725498736229,-0.004227156808264463
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,360.0,2026-06-17T06:36:00Z,-0.0033105473799472907,-0.0009494018930490947,-0.0009012688017613394,-0.016513480385199352,-0.007599951760833797,-0.0051106116178482285
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,420.0,2026-06-17T06:37:00Z,-0.004429242443329918,-0.0012047986149284309,-0.0012343594813119718,-0.01853973674530533,-0.008784583260477357,-0.005990482142928069
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,480.0,2026-06-17T06:38:00Z,-0.005678440376092769,-0.001456561892536745,-0.0016199645916570764,-0.020345262376185832,-0.009889676954172246,-0.006859771069854232
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,540.0,2026-06-17T06:39:00Z,-0.007044329590291084,-0.0016917885437461664,-0.002057243134044717,-0.02193304481146654,-0.010893177158469115,-0.007711636029637855
