reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,position_delta_x_m,position_delta_y_m,position_delta_z_m,position_difference_m,velocity_delta_x_mm_s,velocity_delta_y_mm_s,velocity_delta_z_mm_s,velocity_difference_mm_s
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,0.0,2026-06-17T06:30:00Z,0.0,4.547473508864641e-10,0.0,4.547473508864641e-10,-8.881784197001252e-10,-4.440892098500626e-10,4.440892098500626e-10,1.0877919644084147e-09
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,60.0,2026-06-17T06:31:00Z,1.1368683772161603e-09,1.8189894035458565e-09,9.094947017729282e-10,2.329886857742076e-09,1.056932319443149e-07,7.993605777301127e-08,0.0,1.325172917438511e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,120.0,2026-06-17T06:32:00Z,1.000444171950221e-08,9.094947017729282e-09,-9.094947017729282e-10,1.3551165853415423e-08,2.1405099914773018e-07,1.567634910770721e-07,-1.021405182655144e-08,2.655126159441926e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,180.0,2026-06-17T06:33:00Z,2.523847797419876e-08,1.9099388737231493e-08,-1.8189894035458565e-09,3.1702935874145994e-08,3.2507330161024584e-07,2.3003821070233244e-07,-2.886579864025407e-08,3.992786797890118e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,240.0,2026-06-17T06:34:00Z,4.6497916628140956e-08,3.4788172342814505e-08,-3.637978807091713e-09,5.8185119021204725e-08,4.32542890393961e-07,3.0020430585864233e-07,-5.728750807065808e-08,5.296204639809315e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,300.0,2026-06-17T06:35:00Z,7.452172212651931e-08,5.411493475548923e-08,-9.094947017729282e-09,9.254529320040169e-08,5.39124300757976e-07,3.659295089164516e-07,-9.50350909079134e-08,6.584763364521821e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,360.0,2026-06-17T06:36:00Z,1.0885514711844735e-07,7.753442332614213e-08,-1.6370904631912708e-08,1.346441100574526e-07,6.359357485052897e-07,4.2543746303636e-07,-1.3633538742396922e-07,7.771734999637088e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,420.0,2026-06-17T06:37:00Z,1.4725287655892316e-07,1.0368239600211382e-07,-2.637534635141492e-08,1.8201403185132104e-07,6.821210263296962e-07,4.583000645652646e-07,-1.6553425297161084e-07,8.382897068725543e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,480.0,2026-06-17T06:38:00Z,1.8883383745560423e-07,1.318767317570746e-07,-3.728928277269006e-08,2.3332419753818634e-07,7.212008767965017e-07,4.867217739956686e-07,-1.988582909451253e-07,8.925096133102151e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,540.0,2026-06-17T06:39:00Z,2.319211489520967e-07,1.6115109247039072e-07,-5.002220859751105e-08,2.868088479957234e-07,7.442935157087049e-07,5.062616992290714e-07,-2.2359891715950653e-07,9.275075317145596e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,600.0,2026-06-17T06:40:00Z,0.0004910832558380207,-0.00039382402405863104,-6.318259693216532e-05,0.0006326548558616274,-0.00011314504888559895,-1.8054890915664146e-05,-0.0006363014559696012,0.000646534859108413
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,660.0,2026-06-17T06:41:00Z,0.0002419565134914592,-0.00019677942475482268,-4.907451511826366e-05,0.00031571095081082365,-6.468781066359952e-05,-1.3233858453531866e-06,-0.00031457658700162483,0.00032116147541094687
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,720.0,2026-06-17T06:42:00Z,0.0004951182290824363,-0.00041792310412347433,-0.00018813807400874794,0.0006746834195544228,-0.00020594193017586804,5.217692944370356e-05,-0.0006517544282047538,0.0006855059046100485
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,780.0,2026-06-17T06:43:00Z,-0.0005707720447389875,0.0004944660076944274,0.0002841661626007408,0.0008068629175938258,0.000296594748760981,-0.00010249756599023385,0.000755151496889539,0.0008177578977185259
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,840.0,2026-06-17T06:44:00Z,-0.0018372184058534913,0.001582019763191056,0.0008660726962261833,0.0025745368354487415,0.0009104468290388468,-0.00029902036402518206,0.002428974354984348,0.002611176559288987
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,900.0,2026-06-17T06:45:00Z,0.0007358562470471952,-0.0006478437626356026,-0.00043781710701296106,0.001073717735858655,-0.0004363602812418321,0.00017637447058405087,-0.0009838410086615568,0.0010906243071027917
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,960.0,2026-06-17T06:46:00Z,-0.0005647507350658998,0.00051696838454518,0.0004433386493474245,0.000884730954235199,0.00042461500981971767,-0.00020090595853616833,0.0007623954800806132,0.0008954931483751756
