reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,position_delta_x_m,position_delta_y_m,position_delta_z_m,position_difference_m,velocity_delta_x_mm_s,velocity_delta_y_mm_s,velocity_delta_z_mm_s,velocity_difference_mm_s
gmat_two_body,numerical_two_body,EarthMJ2000Eq,0.0,2026-06-17T06:30:00Z,0.0,4.547473508864641e-10,0.0,4.547473508864641e-10,-8.881784197001252e-10,-4.440892098500626e-10,4.440892098500626e-10,1.0877919644084147e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,60.0,2026-06-17T06:31:00Z,9.094947017729282e-10,-9.094947017729282e-10,0.0,1.2862197421537486e-09,0.0,0.0,0.0,0.0
gmat_two_body,numerical_two_body,EarthMJ2000Eq,120.0,2026-06-17T06:32:00Z,6.821210263296962e-10,4.547473508864641e-10,9.094947017729282e-10,1.224444715065716e-09,-1.7763568394002505e-09,-4.440892098500626e-10,8.881784197001252e-10,2.0350724194510405e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,180.0,2026-06-17T06:33:00Z,-2.2737367544323206e-10,1.8189894035458565e-09,0.0,1.8331451766013172e-09,-8.881784197001252e-10,0.0,4.440892098500626e-10,9.930136612989093e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,240.0,2026-06-17T06:34:00Z,-3.410605131648481e-10,2.5011104298755527e-09,0.0,2.524257446472634e-09,-1.7763568394002505e-09,8.881784197001252e-10,1.5543122344752192e-09,2.52194192009737e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,300.0,2026-06-17T06:35:00Z,-5.684341886080801e-10,2.9558577807620168e-09,2.7284841053187847e-09,4.0626146949775e-09,-1.7763568394002505e-09,0.0,2.220446049250313e-10,1.7901808365247238e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,360.0,2026-06-17T06:36:00Z,-7.105427357601002e-10,2.7284841053187847e-09,1.8189894035458565e-09,3.35532695016906e-09,0.0,-8.881784197001252e-10,9.992007221626409e-10,1.3368855554576671e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,420.0,2026-06-17T06:37:00Z,-8.810729923425242e-10,2.5011104298755527e-09,0.0,2.651762244294854e-09,-8.881784197001252e-10,-1.7763568394002505e-09,-4.440892098500626e-10,2.0350724194510405e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,480.0,2026-06-17T06:38:00Z,-1.1368683772161603e-09,2.6147972675971687e-09,9.094947017729282e-10,2.992793856967224e-09,-8.881784197001252e-10,-1.7763568394002505e-09,6.591949208711867e-11,1.987121009285062e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,540.0,2026-06-17T06:39:00Z,-1.2505552149377763e-09,2.5011104298755527e-09,1.8189894035458565e-09,3.335890312683025e-09,-8.881784197001252e-10,-4.440892098500626e-09,-1.1102230246251565e-10,4.530199718267439e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,600.0,2026-06-17T06:40:00Z,-1.1368683772161603e-09,2.4158453015843406e-09,2.7284841053187847e-09,3.817512768973862e-09,-1.7763568394002505e-09,-4.440892098500626e-09,-1.2212453270876722e-09,4.936436609574037e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,660.0,2026-06-17T06:41:00Z,-1.8189894035458565e-09,2.4158453015843406e-09,2.7284841053187847e-09,4.0730402016646595e-09,-8.881784197001252e-10,-5.329070518200751e-09,-6.661338147750939e-10,5.443490401604861e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,720.0,2026-06-17T06:42:00Z,-2.0463630789890885e-09,2.2737367544323206e-09,1.8189894035458565e-09,3.5589609620952907e-09,8.881784197001252e-10,-6.217248937900877e-09,-2.220446049250313e-10,6.284293840013125e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,780.0,2026-06-17T06:43:00Z,-3.183231456205249e-09,1.9326762412674725e-09,1.8189894035458565e-09,4.144505085959778e-09,0.0,-6.217248937900877e-09,-4.440892098500626e-10,6.233089088255905e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,840.0,2026-06-17T06:44:00Z,-3.183231456205249e-09,2.0463630789890885e-09,9.094947017729282e-10,3.892010401756054e-09,0.0,-5.329070518200751e-09,0.0,5.329070518200751e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,900.0,2026-06-17T06:45:00Z,-2.7284841053187847e-09,1.5916157281026244e-09,0.0,3.15877605077044e-09,0.0,-5.329070518200751e-09,-8.881784197001252e-10,5.402578411571407e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,960.0,2026-06-17T06:46:00Z,-2.2737367544323206e-09,9.094947017729282e-10,0.0,2.448889430131432e-09,-8.881784197001252e-10,-5.329070518200751e-09,-1.3322676295501878e-09,5.564421850464315e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1020.0,2026-06-17T06:47:00Z,-2.2737367544323206e-09,2.2737367544323206e-10,0.0,2.2850771577215913e-09,-8.881784197001252e-10,-5.329070518200751e-09,-8.881784197001252e-10,5.4750994875343084e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1080.0,2026-06-17T06:48:00Z,-9.094947017729282e-10,4.547473508864641e-10,0.0,1.016845989170083e-09,0.0,-5.329070518200751e-09,-2.6645352591003757e-09,5.958081967793456e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1140.0,2026-06-17T06:49:00Z,-2.7284841053187847e-09,-4.547473508864641e-10,-9.094947017729282e-10,2.9118037843694986e-09,-8.881784197001252e-10,-2.6645352591003757e-09,-3.552713678800501e-09,4.52883909360294e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1200.0,2026-06-17T06:50:00Z,-9.094947017729282e-10,-9.094947017729282e-10,0.0,1.2862197421537486e-09,-2.220446049250313e-09,-3.552713678800501e-09,-2.6645352591003757e-09,4.965068306494546e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1260.0,2026-06-17T06:51:00Z,0.0,-9.094947017729282e-10,-9.094947017729282e-10,1.2862197421537486e-09,-2.220446049250313e-09,-3.1086244689504383e-09,-5.329070518200751e-09,6.5568986063950346e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1320.0,2026-06-17T06:52:00Z,-9.094947017729282e-10,0.0,-9.094947017729282e-10,1.2862197421537486e-09,-2.220446049250313e-09,-2.6645352591003757e-09,-4.440892098500626e-09,5.6348603740594785e-09
