reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,radial_position_difference_m,along_track_position_difference_m,cross_track_position_difference_m,radial_velocity_difference_mm_s,along_track_velocity_difference_mm_s,cross_track_velocity_difference_mm_s
gmat_two_body,numerical_two_body,EarthMJ2000Eq,0.0,2026-06-17T06:30:00Z,-1.73284149388004e-10,2.249493017868385e-10,3.551979283930957e-10,-4.841658075375425e-10,2.2558920940657586e-10,-9.47620355016899e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,60.0,2026-06-17T06:31:00Z,5.47813339061673e-10,-1.153308613366284e-09,-1.5537378474921537e-10,0.0,0.0,0.0
gmat_two_body,numerical_two_body,EarthMJ2000Eq,120.0,2026-06-17T06:32:00Z,-8.458953794620688e-10,-5.997441825593244e-10,6.511779962063623e-10,-1.0466930486459872e-09,8.053016686063804e-10,-1.5483677330874152e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,180.0,2026-06-17T06:33:00Z,-5.524372146027553e-10,1.1881151272854906e-09,1.2820361955631385e-09,-5.606761012330272e-10,5.575132543480891e-10,-6.007473780705162e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,240.0,2026-06-17T06:34:00Z,-6.610515622210624e-10,1.699491742288241e-09,1.7454553291481603e-09,-1.9130748057943917e-09,1.5314370701668438e-09,-5.95849256018628e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,300.0,2026-06-17T06:35:00Z,-3.3269316648298255e-09,1.6950045075246865e-09,1.6010382808886148e-09,-3.2690615751570527e-10,1.3631701724609447e-09,-1.1133943023706723e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,360.0,2026-06-17T06:36:00Z,-2.2833763257313564e-09,1.9802908864891763e-09,1.4570036041507552e-09,-8.258313483162341e-10,-6.505077413615679e-10,-8.258966345483056e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,420.0,2026-06-17T06:37:00Z,-3.199990482463995e-10,2.2191529292606256e-09,1.4159109738762053e-09,7.195897349646915e-10,-3.520261876212368e-10,-1.870772014162232e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,480.0,2026-06-17T06:38:00Z,-1.0753459810121906e-09,2.508319400109734e-09,1.2283240119996136e-09,1.911516158205007e-10,-3.9420678004644237e-10,-1.938223924080164e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,540.0,2026-06-17T06:39:00Z,-1.7971583342157124e-09,2.6450239204201558e-09,9.49860284682252e-10,5.144276783421903e-10,-2.0711294760467457e-09,-3.9960601027257065e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,600.0,2026-06-17T06:40:00Z,-2.5445270382149374e-09,2.7213923148326576e-09,8.323519458987031e-10,1.6376022200483348e-09,-1.5503802051196715e-09,-4.391239755332048e-09
