reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,position_delta_x_m,position_delta_y_m,position_delta_z_m,position_difference_m,velocity_delta_x_mm_s,velocity_delta_y_mm_s,velocity_delta_z_mm_s,velocity_difference_mm_s
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,0.0,2026-08-04T18:52:00Z,0.0,4.547473508864641e-10,0.0,4.547473508864641e-10,4.440892098500626e-10,0.0,1.942890293094024e-10,4.847302891456678e-10
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,60.0,2026-08-04T18:53:00Z,0.0017582151485839859,-0.003074630058108596,0.00018879200069932267,0.003546873682902047,-0.0013086607353329782,-0.0019065495848735736,0.005504475375506246,0.005970491889228095
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,120.0,2026-08-04T18:54:00Z,1.748185241012834e-05,-0.00012925829651067033,0.0003104369170614518,0.0003367260041267211,0.0001102544722186849,-0.0020565043001852246,0.005309869655079069,0.005695268364111919
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,180.0,2026-08-04T18:55:00Z,1.4545094018103555e-05,-0.0002766490752037498,0.0007161825124057941,0.0007678956059562791,-0.0002568079082720942,-0.002821264999397499,0.008241279214615815,0.0087145952052769
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,240.0,2026-08-04T18:56:00Z,-1.924263415276073e-05,-0.00046318098156916676,0.0013021699487580918,0.0013822277222314582,-0.0009190785910107024,-0.0033545957123237713,0.011311448222528497,0.011834140388745536
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,300.0,2026-08-04T18:57:00Z,-0.00010170788300456479,-0.0006738108027093404,0.002075508746202104,0.002184514144352127,-0.0018793229195068761,-0.0036185570095881303,0.014479096588360107,0.01504227534259643
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,360.0,2026-08-04T18:58:00Z,0.0009794939614948817,-0.004040839996832801,0.004026361239084508,0.005787864988768379,-0.005083219623003288,-0.0034900065060128327,0.020518386989465398,0.021424833063460737
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,420.0,2026-08-04T18:59:00Z,-0.0004835228537558578,-0.0010967627304125926,0.004199381692160387,0.004367091644719415,-0.004674375553292975,-0.0032102498437325266,0.02092060080727265,0.02167549374315761
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,480.0,2026-08-04T19:00:00Z,-0.0008169981811079197,-0.001269528297598299,0.005550203241000418,0.005751864405803393,-0.006484961900810049,-0.0024884201366148773,0.024094471751112678,0.0250756960939559
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,540.0,2026-08-04T19:01:00Z,-0.00040550912672188133,-0.004472180989978369,0.008564888958062511,0.009670685773145551,-0.010685135221066844,-0.0007645022392921419,0.029783323363119507,0.031651270573525264
