reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,radial_position_difference_m,along_track_position_difference_m,cross_track_position_difference_m,radial_velocity_difference_mm_s,along_track_velocity_difference_mm_s,cross_track_velocity_difference_mm_s
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,0.0,2026-08-04T18:52:00Z,-1.3063839614900928e-10,3.8547016299340467e-10,-2.0283371522434197e-10,-1.4074382638056377e-11,-2.2935375671162752e-10,-4.268046617023576e-10
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,60.0,2026-08-04T18:53:00Z,4.563353461760203e-05,-0.003510667147168597,-1.4565663158400556e-09,0.003407137482488682,-1.315886885063059e-07,-3.542313540803762e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,120.0,2026-08-04T18:54:00Z,1.9931405028119833e-09,1.4746134238649496e-09,-4.048898353660868e-09,1.5023933902398714e-07,4.659104645284824e-08,-6.050125284945016e-08
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,180.0,2026-08-04T18:55:00Z,1.259309722910102e-08,4.25396578321525e-09,-8.563469941431139e-09,2.201494064937194e-07,6.476194255349968e-08,-9.04092965492064e-08
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,240.0,2026-08-04T18:56:00Z,2.897421201636017e-08,6.6957292568687736e-09,-1.5014704851020167e-08,2.85461641744183e-07,8.048436793289328e-08,-1.1742357904063163e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,300.0,2026-08-04T18:57:00Z,4.83383926434935e-08,9.67272330604908e-09,-2.1690185994418464e-08,3.468894634941572e-07,9.465221634854246e-08,-1.4775029619108994e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,360.0,2026-08-04T18:58:00Z,2.712182703280755e-05,-0.003521830112762929,-2.8309828708330328e-08,0.0034294806824587774,-1.74124817517025e-06,-3.5469126383210464e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,420.0,2026-08-04T18:59:00Z,9.703578153363075e-08,1.3228340779376618e-08,-3.9854912884565904e-08,4.3791866726690265e-07,9.519259020181083e-08,-1.8764210019665794e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,480.0,2026-08-04T19:00:00Z,1.2454412395941167e-07,1.1748382495796731e-08,-5.003640428123008e-08,4.740606698498377e-07,8.390163590864749e-08,-2.003941197491906e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,540.0,2026-08-04T19:01:00Z,1.481139323378044e-05,-0.0035259781209285744,-6.024303654449196e-08,0.003438068556262097,-2.529732070540428e-06,-3.3401781285399874e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,600.0,2026-08-04T19:02:00Z,2.5364707098184973e-05,0.002510999275424003,-6.975810643222654e-08,-0.0024586114713275285,3.084769596353515e-05,1.9859538786129913e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,660.0,2026-08-04T19:03:00Z,6.959107921002529e-07,-0.0034431905811533586,-8.575835457372295e-08,0.00336062860032945,-6.415475810062285e-06,-3.0810683993365625e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,720.0,2026-08-04T19:04:00Z,-2.1591120203023855e-05,-0.0020952853242709626,-8.837987133293838e-08,0.002046312152483885,-2.2339630750947496e-05,-1.9362085405703147e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,780.0,2026-08-04T19:05:00Z,3.0286465242920094e-05,0.0003562929779580156,-1.494824071422266e-07,-0.0003455471475550598,3.2607825952885426e-05,-6.384836264601902e-09
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,840.0,2026-08-04T19:06:00Z,-2.4349575697052923e-06,-0.0033884032088414657,-1.4288553488948389e-07,0.0033078946859000902,3.539587587420007e-06,-2.703474504142624e-06
