reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,position_delta_x_m,position_delta_y_m,position_delta_z_m,position_difference_m,velocity_delta_x_mm_s,velocity_delta_y_mm_s,velocity_delta_z_mm_s,velocity_difference_mm_s
gmat_two_body,numerical_two_body,EarthMJ2000Eq,0.0,2026-08-04T18:52:00Z,0.0,4.547473508864641e-10,0.0,4.547473508864641e-10,4.440892098500626e-10,0.0,1.942890293094024e-10,4.847302891456678e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,60.0,2026-08-04T18:53:00Z,0.001750884621287696,-0.00304113132187922,0.0001134494596044533,0.0035109752852820193,-0.001504530278140237,-0.0008075531354734267,0.0029541047386061337,0.003412109059087783
gmat_two_body,numerical_two_body,EarthMJ2000Eq,120.0,2026-08-04T18:54:00Z,-9.094947017729282e-10,4.547473508864641e-10,3.637978807091713e-09,3.777415196472282e-09,-8.881784197001252e-10,-8.881784197001252e-10,3.3306690738754696e-10,1.2994827337208943e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,180.0,2026-08-04T18:55:00Z,-4.547473508864641e-10,5.684341886080801e-10,1.8189894035458565e-09,1.959243484135878e-09,-4.440892098500626e-10,-1.7763568394002505e-09,4.440892098500626e-10,1.88411095042053e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,240.0,2026-08-04T18:56:00Z,-4.547473508864641e-10,9.094947017729282e-10,3.637978807091713e-09,3.777415196472282e-09,-8.881784197001252e-10,-8.881784197001252e-10,4.440892098500626e-10,1.3322676295501878e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,300.0,2026-08-04T18:57:00Z,-1.3642420526593924e-09,5.968558980384842e-10,3.637978807091713e-09,3.9309392188274904e-09,0.0,-1.7763568394002505e-09,8.881784197001252e-10,1.9860273225978187e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,360.0,2026-08-04T18:58:00Z,0.0012282289389986545,-0.0031500001398399036,0.0009865279935183935,0.0035219717048239614,-0.0019547661267438343,9.013589874484751e-05,0.002821745948011767,0.00343387321921303
gmat_two_body,numerical_two_body,EarthMJ2000Eq,420.0,2026-08-04T18:59:00Z,0.0,4.547473508864641e-10,1.8189894035458565e-09,1.8749713606747085e-09,-8.881784197001252e-10,-2.6645352591003757e-09,1.7763568394002505e-09,3.3232593448441793e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,480.0,2026-08-04T19:00:00Z,0.0,6.821210263296962e-10,1.8189894035458565e-09,1.9426815345735872e-09,-8.881784197001252e-10,-1.7763568394002505e-09,1.3322676295501878e-09,2.3914935841127265e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,540.0,2026-08-04T19:01:00Z,0.0008582892405684106,-0.0030844407774566207,0.001477277692174539,0.0035260154154384002,-0.002144539879012086,0.0006369145211237992,0.002615732075383903,0.0034419130857829216
gmat_two_body,numerical_two_body,EarthMJ2000Eq,600.0,2026-08-04T19:02:00Z,0.0,4.547473508864641e-10,9.094947017729282e-10,1.016845989170083e-09,-4.440892098500626e-10,0.0,1.3322676295501878e-09,1.4043333874306805e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,660.0,2026-08-04T19:03:00Z,9.094947017729282e-10,9.094947017729282e-10,9.094947017729282e-10,1.5752910326854155e-09,-4.440892098500626e-10,0.0,8.881784197001252e-10,9.930136612989093e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,720.0,2026-08-04T19:04:00Z,1.8189894035458565e-09,4.547473508864641e-10,9.094947017729282e-10,2.0839141575178655e-09,-6.661338147750939e-10,-2.6645352591003757e-09,8.881784197001252e-10,2.886579864025407e-09
