reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,radial_position_difference_m,along_track_position_difference_m,cross_track_position_difference_m,radial_velocity_difference_mm_s,along_track_velocity_difference_mm_s,cross_track_velocity_difference_mm_s
gmat_two_body,numerical_two_body,EarthMJ2000Eq,0.0,2026-08-04T18:52:00Z,-1.3063839614900928e-10,3.8547016299340467e-10,-2.0283371522434197e-10,-1.4074382638056377e-11,-2.2935375671162752e-10,-4.268046617023576e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,60.0,2026-08-04T18:53:00Z,4.594290431753513e-05,-0.0035106746792316944,-2.337526165544892e-09,0.0034121090590872693,1.2549431110741091e-09,1.3887334626517261e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,120.0,2026-08-04T18:54:00Z,3.482902317155598e-09,5.698353411294448e-10,-1.3466791376165978e-09,8.693668144348221e-10,-3.776651204587e-10,8.889464404490821e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,180.0,2026-08-04T18:55:00Z,1.7099439615344366e-09,4.83047048771249e-10,-8.25464855226555e-10,8.377389701705956e-10,-1.4276501501073732e-09,8.999347422177108e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,240.0,2026-08-04T18:56:00Z,3.251471374314289e-09,3.683887380166757e-10,-1.88708484341774e-09,9.127084159123155e-10,-4.972785969217954e-10,8.334352892178243e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,300.0,2026-08-04T18:57:00Z,3.773765301842889e-09,2.464508744811318e-10,-1.072492683047404e-09,7.910138470506741e-10,-1.7881100340228232e-09,3.482299902450231e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,360.0,2026-08-04T18:58:00Z,2.8798679560735566e-05,-0.003521853961429428,1.0486086960770705e-10,0.003433873219210728,-3.3886488261043687e-09,2.0801287378268345e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,420.0,2026-08-04T18:59:00Z,1.4986079799038299e-09,-1.8004782325614997e-10,-1.11232841699727e-09,1.739794658819114e-09,-2.6638872684928385e-09,9.596206745378166e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,480.0,2026-08-04T19:00:00Z,1.515334204903902e-09,-6.7795284383947e-11,-1.213745274609441e-09,1.3476896789520163e-09,-1.8127203092879078e-09,7.855056794153048e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,540.0,2026-08-04T19:01:00Z,1.714109641634614e-05,-0.003525973750997419,2.5581597116238614e-10,0.0034419130857827065,-1.0932512954320945e-09,5.305688440767737e-10
