model,epoch_utc,frame,elapsed_seconds,timestamp_utc,position_x_km,position_y_km,position_z_km,velocity_x_km_s,velocity_y_km_s,velocity_z_km_s,position_magnitude_km,velocity_magnitude_km_s
numerical_j2_gmat_r2026a_eop_full,2026-09-10T00:00:00Z,EarthMJ2000Eq,0.0,2026-09-10T00:00:00Z,4549.3815018511405,-2048.517252889821,4893.59726457061,2.406728909295372,7.0838432311401425,0.7515265996190018,6988.604236368344,7.519173571353637
numerical_j2_gmat_r2026a_eop_full,2026-09-10T00:00:00Z,EarthMJ2000Eq,60.0,2026-09-10T00:01:00Z,4684.144996714703,-1619.488380560062,4928.368398653009,2.0838398125708464,7.2121106610906835,0.4071290850249379,6989.475805656534,7.518156864827073
numerical_j2_gmat_r2026a_eop_full,2026-09-10T00:00:00Z,EarthMJ2000Eq,120.0,2026-09-10T00:02:00Z,4799.269845783185,-1183.6696104505395,4942.420973764978,1.7523300615919826,7.310100105357344,0.061142650461130585,6990.106571523774,7.517443888637269
numerical_j2_gmat_r2026a_eop_full,2026-09-10T00:00:00Z,EarthMJ2000Eq,180.0,2026-09-10T00:03:00Z,4894.279186189621,-742.8896105108043,4935.701923231184,1.4135502929447135,7.377431308901594,-0.2850234782908506,6990.494059847404,7.517037683251467
numerical_j2_gmat_r2026a_eop_full,2026-09-10T00:00:00Z,EarthMJ2000Eq,240.0,2026-09-10T00:04:00Z,4968.778005521522,-298.9963686601742,4908.2427382663745,1.0688774844376416,7.413840660617959,-0.6299606825708861,6990.636628689193,7.516939728330609
numerical_j2_gmat_r2026a_eop_full,2026-09-10T00:00:00Z,EarthMJ2000Eq,300.0,2026-09-10T00:05:00Z,5022.454589883639,146.149827688883,4860.159296407934,0.7197105364920385,7.4191818869560615,-0.9722654525295051,6990.533475067348,7.517149941184955
numerical_j2_gmat_r2026a_eop_full,2026-09-10T00:00:00Z,EarthMJ2000Eq,360.0,2026-09-10T00:06:00Z,5055.081705851766,590.6834475584054,4791.651420275274,0.3674658186568368,7.393426540259109,-1.3105438763449289,6990.184641444225,7.517666684943814
numerical_j2_gmat_r2026a_eop_full,2026-09-10T00:00:00Z,EarthMJ2000Eq,420.0,2026-09-10T00:07:00Z,5066.51751389544,1032.7407954632718,4703.00216708532,0.01357267017657797,7.336664280874635,-1.6434161274986834,6989.591021857615,7.518486786299502
numerical_j2_gmat_r2026a_eop_full,2026-09-10T00:00:00Z,EarthMJ2000Eq,480.0,2026-09-10T00:08:00Z,5056.70621017439,1470.4671010740146,4594.576848746676,-0.340531156641337,7.249102947136114,-1.9695209596975627,6988.75436758198,7.519605562628201
numerical_j2_gmat_r2026a_eop_full,2026-09-10T00:00:00Z,EarthMJ2000Eq,540.0,2026-09-10T00:09:00Z,5025.678392949041,1902.0236064587016,4466.821781823085,-0.6934041210523951,7.131068402512604,-2.287520217492219,6987.677292165844,7.521016858234114
numerical_j2_gmat_r2026a_eop_full,2026-09-10T00:00:00Z,EarthMJ2000Eq,600.0,2026-09-10T00:10:00Z,4973.5511492275145,2325.594637098997,4320.262766233923,-1.0436055961910526,6.983004144704301,-2.596103368548401,6986.363275653015,7.522713089407776
numerical_j2_gmat_r2026a_eop_full,2026-09-10T00:00:00Z,EarthMJ2000Eq,660.0,2026-09-10T00:11:00Z,4900.527856738004,2739.3946418364017,4155.503291277721,-1.3897006570678285,6.805470657346049,-2.8939920609247753,6984.816667759228,7.5246852979342895
numerical_j2_gmat_r2026a_eop_full,2026-09-10T00:00:00Z,EarthMJ2000Eq,720.0,2026-09-10T00:12:00Z,4806.897695901643,3141.675185633597,3973.222467452996,-1.7302649599538689,6.5991444813824645,-3.1799447056606764,6983.042689742323,7.526923212632381
numerical_j2_gmat_r2026a_eop_full,2026-09-10T00:00:00Z,EarthMJ2000Eq,780.0,2026-09-10T00:13:00Z,4693.034866220595,3530.7318775669773,3774.172682633585,-2.0638897160439256,6.36481698020271,-3.4527610815471506,6981.047434673925,7.529415318450383
numerical_j2_gmat_r2026a_eop_full,2026-09-10T00:00:00Z,EarthMJ2000Eq,840.0,2026-09-10T00:14:00Z,4559.397501419056,3904.911214840221,3559.1769814539593,-2.389186758999641,6.103392770364327,-3.7112869552232937,6978.837865794202,7.532148932590575
numerical_j2_gmat_r2026a_eop_full,2026-09-10T00:00:00Z,EarthMJ2000Eq,900.0,2026-09-10T00:15:00Z,4406.526277807768,4262.617321870497,3329.1261672890105,-2.7047937022814197,5.81588778827553,-3.954418705793248,6976.421812609184,7.5351102870788305
numerical_j2_gmat_r2026a_eop_full,2026-09-10T00:00:00Z,EarthMJ2000Eq,960.0,2026-09-10T00:16:00Z,4235.042710707248,4602.318561698799,3084.9756269827844,-3.0093791781582326,5.503426962611133,-4.18110793909006,6973.807964372817,7.538284617142646
