reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,position_delta_x_m,position_delta_y_m,position_delta_z_m,position_difference_m,velocity_delta_x_mm_s,velocity_delta_y_mm_s,velocity_delta_z_mm_s,velocity_difference_mm_s
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,0.0,2026-09-10T00:00:00Z,9.094947017729282e-10,0.0,0.0,9.094947017729282e-10,0.0,8.881784197001252e-10,-2.220446049250313e-10,9.155133597044475e-10
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,60.0,2026-09-10T00:01:00Z,7.067319529596716e-05,1.153375706053339e-05,5.921810952713713e-05,9.292207800755064e-05,0.002326720149881112,0.0004496163441558565,0.001953346984162607,0.003071049650092296
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,120.0,2026-09-10T00:02:00Z,0.0011109386832686141,0.0035470013699523406,0.0002608612703625113,0.0037260504664861326,0.0017962740184174208,0.0019223760361342102,0.0010199262823196165,0.002821768876947731
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,180.0,2026-09-10T00:03:00Z,0.0006016325642121956,0.00016958131254796172,0.000508847733726725,0.000806005942909142,0.006375185268581163,0.0023925776915234565,0.0054395850046518035,0.008715302647730757
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,240.0,2026-09-10T00:04:00Z,0.0015452105799340643,0.0038886831816853373,0.0005808497007819824,0.00422456139720576,0.005287351667604412,0.003941378778904436,0.004213628557181437,0.00782593252932916
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,300.0,2026-09-10T00:05:00Z,0.0015620798876625486,0.000626567327799421,0.0013391563697950915,0.0021508184429347623,0.009462223338196907,0.00535528599243662,0.008290741759786613,0.013672935218532108
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,360.0,2026-09-10T00:06:00Z,0.002165812475141138,0.0009989234968088567,0.001872990651463624,0.003032603800436837,0.01061921189871029,0.007075287022928478,0.009478523077532941,0.01589558893334421
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,420.0,2026-09-10T00:07:00Z,0.0028313015718595125,0.001477323394283303,0.0024736946215853095,0.004039544291497616,0.011522305358099838,0.008881483992695394,0.010522281934655098,0.017954461723765764
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,480.0,2026-09-10T00:08:00Z,0.00354367421095958,0.0020654488253057934,0.0031331537684309296,0.005161429869717307,0.01218496537003233,0.010725193178018344,0.011440645764082547,0.019859293171558705
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,540.0,2026-09-10T00:09:00Z,0.004619750143319834,-0.0006360942279570736,0.004935310244036373,0.0067899922281571354,0.015424159949262162,0.013622994288198242,0.014748830601263307,0.02531834685798948
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,600.0,2026-09-10T00:10:00Z,0.005491460797202308,-0.0004998905751563143,0.005948129000898916,0.008110873620373743,0.016232731825382984,0.015706038247742526,0.015971007183424035,0.0276632299344696
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,660.0,2026-09-10T00:11:00Z,0.006232920895854477,0.0023455804694094695,0.006279095032368787,0.009153036930875614,0.014773191781003447,0.017064837543045996,0.015237104911136612,0.027232797172560944
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,720.0,2026-09-10T00:12:00Z,0.0066528036768431775,0.005462722128868336,0.006297173513303278,0.01066562347340718,0.012995591491815617,0.01785676140286796,0.014407461002008404,0.02636900184962446
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,780.0,2026-09-10T00:13:00Z,0.008445558705716394,0.0033480391721241176,0.008904848073143512,0.01272136578184698,0.015676751452531335,0.021517680970362107,0.01736003341079595,0.031782729437080735
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,840.0,2026-09-10T00:14:00Z,0.008832990715745836,0.00600335442868527,0.009134735137195094,0.014053660569672723,0.014305504336675767,0.022263002996680825,0.017080386882639687,0.031496481911755136
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,900.0,2026-09-10T00:15:00Z,0.008992104085336905,0.009048587344295811,0.009128971669269959,0.01568671388619097,0.012657083825473592,0.022600798565974856,0.01667685367578997,0.030807715191304694
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,960.0,2026-09-10T00:16:00Z,0.011093661669292487,0.007857794116716832,0.012054732451360906,0.01816950280242508,0.014884884880217442,0.02657354514212784,0.019278286522705912,0.03604671178581448
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,1020.0,2026-09-10T00:17:00Z,0.011787296898546629,0.009854938070930075,0.01296624668611912,0.020104321069900594,0.014438785278514388,0.02798992326802363,0.019877210988283878,0.03724268843063894
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,1080.0,2026-09-10T00:18:00Z,0.012845907804148737,0.011370089850970544,0.014424755590880523,0.02241360891040244,0.014622958399712616,0.03015466720768245,0.020939095790595275,0.03951683943957981
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,1140.0,2026-09-10T00:19:00Z,0.013049413155385992,0.013909016161051113,0.014899804227752611,0.024202315597762473,0.014024701400217054,0.03104368762052445,0.021529948490695006,0.040298157184391614
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,1200.0,2026-09-10T00:20:00Z,0.012818209597753594,0.01703305770206498,0.014900633686920628,0.026008853035949343,0.013090088124556587,0.031416190537925104,0.02189959946719,0.04047122300903719
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,1260.0,2026-09-10T00:21:00Z,0.015434859506058274,0.017346455024380703,0.018397343410470057,0.029624257534111905,0.015162451738603977,0.03681212623618535,0.02404266385980236,0.046508948238266866
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,1320.0,2026-09-10T00:22:00Z,0.01654961033636937,0.019599412553361617,0.020069234324182617,0.03256993615408975,0.01562096585416839,0.03998548825379089,0.025075948428820993,0.0497157624372395
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,1380.0,2026-09-10T00:23:00Z,0.016742943898861995,0.022392930986825377,0.02079668774968013,0.03484640225244006,0.01569018248659404,0.04208769999181072,0.025920830815095997,0.05185986682597746
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,1440.0,2026-09-10T00:24:00Z,0.017427112652512733,0.025362803171447013,0.022036246491552447,0.03784933552327424,0.015903238725911706,0.04535505615521629,0.026575821543417533,0.054920564559404667
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,1500.0,2026-09-10T00:25:00Z,0.019138244852001662,0.027759570912166964,0.02447637558589122,0.04166484315420383,0.016936653857158035,0.050757388514455215,0.027468175289868668,0.06014701477579321
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,1560.0,2026-09-10T00:26:00Z,0.017820384755395935,0.03162025677738711,0.02369409916980203,0.043345323703562956,0.01637329916093222,0.05189322416221387,0.027677708125395384,0.06104954681598987
