reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,position_delta_x_m,position_delta_y_m,position_delta_z_m,position_difference_m,velocity_delta_x_mm_s,velocity_delta_y_mm_s,velocity_delta_z_mm_s,velocity_difference_mm_s
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,0.0,2026-09-10T00:00:00Z,9.094947017729282e-10,0.0,0.0,9.094947017729282e-10,0.0,8.881784197001252e-10,-2.220446049250313e-10,9.155133597044475e-10
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,60.0,2026-09-10T00:01:00Z,-5.4569682106375694e-09,9.094947017729282e-10,-4.547473508864641e-09,7.161368443132061e-09,-1.3944401189291966e-07,2.6645352591003757e-09,-1.2922996006636822e-07,1.9013709469668153e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,120.0,2026-09-10T00:02:00Z,0.0008355591489817016,0.0034857275750255212,2.914021024480462e-05,0.0035845927203231108,-0.0026655693208255116,0.0006573319666358657,-0.002752484795642829,0.003887610791827353
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,180.0,2026-09-10T00:03:00Z,-3.637978807091713e-08,-2.3874235921539366e-09,-3.092281986027956e-08,4.7805957365212523e-08,-3.934630399271555e-07,-6.039613253960852e-08,-3.6481928589182644e-07,5.399573760706326e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,240.0,2026-09-10T00:04:00Z,0.0005096189852338284,0.003535187488523661,-0.0003004461177624762,0.0035843451227251448,-0.0027594384555129636,0.0001659037351942061,-0.002733174575553221,0.0038874500510701986
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,300.0,2026-09-10T00:05:00Z,-9.367795428261161e-08,-1.531930138298776e-08,-8.640199666842818e-08,1.2835710008304547e-07,-6.008527009271347e-07,-1.8474111129762605e-07,-5.609956943430916e-07,8.42537486101599e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,360.0,2026-09-10T00:06:00Z,-1.318767317570746e-07,-2.808064891723916e-08,-1.2369127944111824e-07,1.829741179301637e-07,-6.840084054715589e-07,-2.5845992013273644e-07,-6.419309528382655e-07,9.73007901963087e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,420.0,2026-09-10T00:07:00Z,-1.737134880386293e-07,-4.433786671143025e-08,-1.6370904631912708e-07,2.4278153594906195e-07,-7.351497882668312e-07,-3.064215547965432e-07,-6.923350781562476e-07,1.055304335667354e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,480.0,2026-09-10T00:08:00Z,-2.2100721253082156e-07,-6.230038707144558e-08,-2.064552973024547e-07,3.087868455814474e-07,-7.830958104193542e-07,-3.5793590313915047e-07,-7.416289804496046e-07,1.1363849276082045e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,540.0,2026-09-10T00:09:00Z,0.00033037213142961264,-0.00340044243785087,0.0010905223462032154,0.0035862785036763502,0.002794846909459636,0.0010576419740004894,0.0024907467199852817,0.0038901921566422875
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,600.0,2026-09-10T00:10:00Z,0.00043587169784586877,-0.0040725053622736596,0.0013452854545903392,0.00431104129150523,0.003350853372552365,0.0013374288343470653,0.0029705100601518097,0.004673421041245012
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,660.0,2026-09-10T00:11:00Z,0.000400864337279927,-0.002141816366929561,0.0008751394489081576,0.0023481777235945097,0.0017959664866395997,0.0009518128507579604,0.0015387615626138995,0.002549358835193381
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,720.0,2026-09-10T00:12:00Z,4.233424988342449e-05,-4.205230652587488e-05,5.081210474600084e-05,7.837381696751109e-05,4.227507233167671e-05,6.911271555054554e-05,2.5448532170457838e-05,8.491982678414944e-05
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,780.0,2026-09-10T00:13:00Z,0.001060680006048642,-0.0032724924494687,0.0017747456695360597,0.003870913470822875,0.0028260944695546186,0.0021241435277374876,0.002279164412755108,0.004206350686479386
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,840.0,2026-09-10T00:14:00Z,0.0006811906132497825,-0.001827526830311399,0.0010778303476399742,0.002228361107491636,0.0015950001319708917,0.0013190417647024333,0.0012588774467303665,0.002422533596031815
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,900.0,2026-09-10T00:15:00Z,8.191000233637169e-05,-8.46075636218302e-05,9.900531949824654e-05,0.0001538497370609269,8.409628549088666e-05,0.00013663381537298847,5.0807358320525964e-05,0.00016829252032177466
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,960.0,2026-09-10T00:16:00Z,0.0014323068171506748,-0.0026689058358897455,0.0020010984371765517,0.003630283203081142,0.0024096844519760907,0.002582908997794675,0.001767813451181155,0.003950083853180972
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1020.0,2026-09-10T00:17:00Z,0.0013786366253043525,-0.0021581836335826665,0.0018332525542064104,0.003149477808843711,0.0019894570435496917,0.002420008193837475,0.001394035997748233,0.003428952514892545
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1080.0,2026-09-10T00:18:00Z,0.0016886797311599366,-0.0022271506168181077,0.0021513792489713524,0.0035270769451953006,0.0021020847285058153,0.0028977149568731875,0.0013954526423276548,0.0038422389636881228
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1140.0,2026-09-10T00:19:00Z,0.0011359488780726679,-0.001378318302158732,0.0014200195437297225,0.00228179681396803,0.00131765931499217,0.0019306378717942607,0.0008485026015137009,0.0024866735465612338
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1200.0,2026-09-10T00:20:00Z,0.00013368571671890095,-6.243317329790443e-05,0.0001443509063392412,0.000206414525030708,7.472600316305034e-05,0.0002127480414060301,2.4090951455946197e-05,0.00022677318759694424
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1260.0,2026-09-10T00:21:00Z,0.0019571657503547613,-0.0016913090803427622,0.0022920062292541843,0.0034560550826848203,0.0017198678037289028,0.003217534683130907,0.0009489236063586759,0.003769738811928267
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1320.0,2026-09-10T00:22:00Z,0.002249886620120378,-0.001534742295916658,0.002542074298617081,0.0037255288829858447,0.0016470549368818865,0.0036342475695505527,0.0007829079606835876,0.004066139475816444
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1380.0,2026-09-10T00:23:00Z,0.0015868254195083864,-0.0010154972187592648,0.0017776321783458116,0.002590217302620814,0.0011075753647560305,0.002554335853943712,0.0005011289161416244,0.002828866386726331
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1440.0,2026-09-10T00:24:00Z,0.0013766934898740146,-0.0005249157766229473,0.0014614396377510275,0.0020752415166430675,0.0006732294721700782,0.0021619901424685395,0.00016560619542360655,0.0022704327143283107
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1500.0,2026-09-10T00:25:00Z,0.0021547466531046666,-0.0008424094630754553,0.0022922543507775117,0.0032568415453017164,0.0010706875386290449,0.003385819624668329,0.00027568525240440067,0.0035617620210449193
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1560.0,2026-09-10T00:26:00Z,-0.0001325115590589121,3.701279638335109e-05,-0.00013806310050767934,0.00019491198039662036,-5.640554689989585e-05,-0.0002031437240646028,-9.728218230975472e-06,0.0002110535396004088
