reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,radial_position_difference_m,along_track_position_difference_m,cross_track_position_difference_m,radial_velocity_difference_mm_s,along_track_velocity_difference_mm_s,cross_track_velocity_difference_mm_s
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,0.0,2026-09-10T00:00:00Z,5.920550416555738e-10,2.898103425014326e-10,-6.266270067451982e-10,-4.158263351859307e-10,8.154788075127937e-10,-1.573166426907073e-11
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,60.0,2026-09-10T00:01:00Z,-7.074317524294946e-09,-8.745315861552329e-10,6.887844717746911e-10,-1.8519042655881206e-07,-4.278386556859523e-08,5.114835057793787e-09
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,120.0,2026-09-10T00:02:00Z,4.026719816861978e-06,0.003584590458632555,1.1831518080538243e-09,-0.0038876072406142416,-1.4348794602874894e-07,-5.2527009649632105e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,180.0,2026-09-10T00:03:00Z,-4.705033235294283e-08,-7.983997005314837e-09,2.816305541176696e-09,-5.266422554631489e-07,-1.1912114862108296e-07,3.471985737873268e-09
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,240.0,2026-09-10T00:04:00Z,7.336882980804414e-08,0.003584345121974193,5.999382833325528e-10,-0.0038874465125337356,4.7302765611875266e-07,-5.223791709442816e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,300.0,2026-09-10T00:05:00Z,-1.2769549780930254e-07,-1.2977414203220107e-08,9.958421367985339e-10,-8.255855932725463e-07,-1.677154308694076e-07,-1.2222025834888192e-08
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,360.0,2026-09-10T00:06:00Z,-1.8253021756960427e-07,-1.269061732937166e-08,-1.0934981087480823e-09,-9.565263406736687e-07,-1.7671600772201984e-07,-2.394137621023601e-08
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,420.0,2026-09-10T00:07:00Z,-2.4262305871566064e-07,-8.179979971843339e-09,-3.1644122523767795e-09,-1.0440033855967673e-06,-1.5066150872764915e-07,-3.202001762509009e-08
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,480.0,2026-09-10T00:08:00Z,-3.0874657048566445e-07,3.3684731957348188e-09,-3.677581516554101e-09,-1.1294845041510457e-06,-1.1774768548220216e-07,-4.208255150719645e-08
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,540.0,2026-09-10T00:09:00Z,9.129106485432639e-06,-0.0035862668842824657,-6.692482645860842e-09,0.003890188726732647,-2.1163844126106866e-06,4.712421926155717e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,600.0,2026-09-10T00:10:00Z,-0.00021344149260559033,-0.0043057542491037985,-3.043385702910665e-07,0.00466757033503281,-0.00023370932262968585,5.598998954335968e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,660.0,2026-09-10T00:11:00Z,-3.810960053219386e-05,-0.002347868453742086,-6.209280827905285e-08,0.002548800406018748,-5.328043902087287e-05,2.855814237742026e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,720.0,2026-09-10T00:12:00Z,3.91333017201155e-05,-6.790463284756571e-05,2.6839832964289148e-08,7.467437250443982e-05,4.0436488512353945e-05,-7.395206810236432e-08
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,780.0,2026-09-10T00:13:00Z,1.7434554140117483e-05,-0.0038708742079979716,-2.7856927657711246e-08,0.004206346037235878,-4.634550994424762e-06,4.199239538998515e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,840.0,2026-09-10T00:14:00Z,-2.7844503702795036e-05,-0.0022281871339457407,-7.150917129038533e-08,0.0024221150501181196,-4.497556203284977e-05,2.215110373417893e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,900.0,2026-09-10T00:15:00Z,4.728643424048533e-05,-0.00014640264580946598,-5.524911278822004e-09,0.0001608466770312779,4.9504536581922624e-05,-1.4050644037706438e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,960.0,2026-09-10T00:16:00Z,-6.299919640994374e-06,-0.003630277735618018,-8.866626863059753e-08,0.003949943581430179,-3.314344407527752e-05,3.108503560553183e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1020.0,2026-09-10T00:17:00Z,1.9748492652470893e-05,-0.0031494158917101125,-8.05030091594003e-08,0.003428950805739983,-2.4829687126724317e-06,2.3571316047001605e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1080.0,2026-09-10T00:18:00Z,5.1276097084611226e-05,-0.003526704202539958,-8.356422668612969e-08,0.0038421362070777216,2.800390137762703e-05,2.3241887255473207e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1140.0,2026-09-10T00:19:00Z,-3.393376153355026e-05,-0.0022815444717404526,-1.5340604121374313e-07,0.0024860694931373205,-5.479282384104453e-05,1.2445540946508839e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1200.0,2026-09-10T00:20:00Z,5.450974153475452e-05,-0.0001990869916159663,-1.1828259039578347e-07,0.00021895739755084176,5.90221300457058e-05,-3.5332068900347866e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1260.0,2026-09-10T00:21:00Z,-1.8234792480372386e-05,-0.0034560069717879185,-1.9454582858306086e-07,0.003769425508628329,-4.858049149291786e-05,1.4074468767155324e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1320.0,2026-09-10T00:22:00Z,6.607916472682193e-05,-0.0037249428139552424,-1.8631682529816848e-07,0.00406593882931968,4.037915050282899e-05,1.0941791465205778e-06
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1380.0,2026-09-10T00:23:00Z,-6.590062780977612e-05,-0.0025893788294324553,-2.444126260466283e-07,0.002827337955109563,-9.297757053160722e-05,5.412254595832108e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1440.0,2026-09-10T00:24:00Z,0.0001213822156448756,-0.002071688601101848,-2.240286387139536e-07,0.0022674446920366545,0.00011644420921392685,-1.5807455280608518e-07
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1500.0,2026-09-10T00:25:00Z,-4.196537053390862e-05,-0.003256571153127073,-2.889633697384394e-07,0.0035610234915991468,-7.252852214057052e-05,1.7694988137542742e-08
gmat_j2,numerical_j2_gmat_r2026a_eop_full,EarthMJ2000Eq,1560.0,2026-09-10T00:26:00Z,1.381111491264349e-06,0.00019490685417141427,-3.0138046429957814e-07,-0.00021089507345801886,8.156053053219144e-06,-5.859757599267618e-07
