reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,position_delta_x_m,position_delta_y_m,position_delta_z_m,position_difference_m,velocity_delta_x_mm_s,velocity_delta_y_mm_s,velocity_delta_z_mm_s,velocity_difference_mm_s
gmat_two_body,numerical_two_body,EarthMJ2000Eq,0.0,2026-09-10T00:00:00Z,9.094947017729282e-10,0.0,0.0,9.094947017729282e-10,0.0,8.881784197001252e-10,-2.220446049250313e-10,9.155133597044475e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,60.0,2026-09-10T00:01:00Z,0.0,0.0,-1.8189894035458565e-09,1.8189894035458565e-09,4.440892098500626e-10,1.7763568394002505e-09,-3.3306690738754696e-10,1.8610729195778453e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,120.0,2026-09-10T00:02:00Z,0.0008349443305633031,0.003485946081127622,2.9378497856669128e-05,0.0035846638910510347,-0.0026707411837634254,0.0006586970968669448,-0.002750463995448982,0.003889960478762243
gmat_two_body,numerical_two_body,EarthMJ2000Eq,180.0,2026-09-10T00:03:00Z,-9.094947017729282e-10,1.0231815394945443e-09,-9.094947017729282e-10,1.6435515470676547e-09,-1.1102230246251565e-09,6.217248937900877e-09,-8.881784197001252e-10,6.3777457165881444e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,240.0,2026-09-10T00:04:00Z,0.0005083866199129261,0.0035355124055058695,-0.00029995771910762414,0.0035844496869177336,-0.002764445339309418,0.00016631052091042875,-0.0027310037564731715,0.0038894985205377873
gmat_two_body,numerical_two_body,EarthMJ2000Eq,300.0,2026-09-10T00:05:00Z,-2.7284841053187847e-09,1.6768808563938364e-09,-1.8189894035458565e-09,3.6831070266460472e-09,-1.1102230246251565e-09,2.6645352591003757e-09,-1.9984014443252818e-09,3.510833468576701e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,360.0,2026-09-10T00:06:00Z,-3.637978807091713e-09,1.9326762412674725e-09,-2.7284841053187847e-09,4.941128693667617e-09,5.551115123125783e-11,2.6645352591003757e-09,-6.661338147750939e-10,2.7471009981591406e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,420.0,2026-09-10T00:07:00Z,-2.7284841053187847e-09,1.8189894035458565e-09,-1.8189894035458565e-09,3.749942721349417e-09,0.0,2.6645352591003757e-09,-1.1102230246251565e-09,2.886579864025407e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,480.0,2026-09-10T00:08:00Z,-5.4569682106375694e-09,2.0463630789890885e-09,-1.8189894035458565e-09,6.10531132319809e-09,5.551115123125783e-11,2.6645352591003757e-09,-1.3322676295501878e-09,2.979558133624414e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,540.0,2026-09-10T00:09:00Z,0.0003334062057547271,-0.0034003883229161147,0.0010897838365053758,0.0035862834878141476,0.002799646181550486,0.0010600382793768404,0.002489433992280965,0.003893453672196238
gmat_two_body,numerical_two_body,EarthMJ2000Eq,600.0,2026-09-10T00:10:00Z,-4.547473508864641e-09,2.2737367544323206e-09,-2.7284841053187847e-09,5.770097023036906e-09,6.661338147750939e-10,2.6645352591003757e-09,-1.7763568394002505e-09,3.2709212810858e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,660.0,2026-09-10T00:11:00Z,0.0006658347047050484,-0.003244863819418242,0.001378706656396389,0.0035879393953843356,0.00273323763622102,0.0015287451304857314,0.00231929186966795,0.003897019941794853
gmat_two_body,numerical_two_body,EarthMJ2000Eq,720.0,2026-09-10T00:12:00Z,-5.4569682106375694e-09,1.8189894035458565e-09,-2.7284841053187847e-09,6.366462912410498e-09,-2.220446049250313e-10,2.6645352591003757e-09,-1.7763568394002505e-09,3.2100616153665132e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,780.0,2026-09-10T00:13:00Z,0.000987571183941327,-0.003034436758753145,0.0016448657333967276,0.0035900816936563326,0.0026216486759267355,0.0019737749212822564,0.0021104478165057117,0.003901643141814088
gmat_two_body,numerical_two_body,EarthMJ2000Eq,840.0,2026-09-10T00:14:00Z,0.0011427555364207365,-0.0029096290745656006,0.0017679963093542028,0.0035913287955111825,0.0025493318567271217,0.002185156056100368,0.0019924368821477856,0.0039043315221147213
gmat_two_body,numerical_two_body,EarthMJ2000Eq,900.0,2026-09-10T00:15:00Z,-8.185452315956354e-09,2.7284841053187847e-09,-2.2737367544323206e-09,8.922787342429993e-09,8.881784197001252e-10,-1.7763568394002505e-09,-2.220446049250313e-09,2.979040983896728e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,960.0,2026-09-10T00:16:00Z,0.0014385004760697484,-0.0026232619347865693,0.0019917456484108698,0.003594139330370583,0.002372864571498212,0.002581315605709733,0.0017313723787992785,0.0039104126182566805
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1020.0,2026-09-10T00:17:00Z,0.001577818693476729,-0.002462837983330246,0.002091401256620884,0.003595697703897565,0.002269314069991424,0.002764427797785629,0.001589286036107751,0.003913780461650606
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1080.0,2026-09-10T00:18:00Z,-8.640199666842818e-09,3.637978807091713e-09,-2.7284841053187847e-09,9.763839695362497e-09,3.9968028886505635e-09,-8.881784197001252e-10,-2.6645352591003757e-09,4.884981308350689e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1140.0,2026-09-10T00:19:00Z,0.001836354385886807,-0.002110690729750786,0.0022640970200882293,0.0035990760069209453,0.002033403223578034,0.003096769063404281,0.001284658601719002,0.003921103801824939
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1200.0,2026-09-10T00:20:00Z,-8.185452315956354e-09,4.547473508864641e-09,-2.9558577807620168e-09,9.819279003608782e-09,4.440892098500626e-09,-1.7763568394002505e-09,-8.881784197001252e-10,4.8647535555904945e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1260.0,2026-09-10T00:21:00Z,0.002064412910840474,-0.0017216125343111344,0.002398785454715835,0.00360276588782817,0.001761966572644269,0.003379076130016756,0.0009566782921410777,0.003929111229046434
gmat_two_body,numerical_two_body,EarthMJ2000Eq,1320.0,2026-09-10T00:22:00Z,0.002165736077586189,-0.0015151763363974169,0.002451072532494436,0.003604709232058225,0.0016141665781788106,0.003499794232197928,0.0007855085470964696,0.003933334093030616
