reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,radial_position_difference_m,along_track_position_difference_m,cross_track_position_difference_m,radial_velocity_difference_mm_s,along_track_velocity_difference_mm_s,cross_track_velocity_difference_mm_s
gmat_two_body,numerical_two_body,EarthMJ2000Eq,0.0,2026-09-10T00:00:00Z,5.920550416555738e-10,2.898103425014326e-10,-6.266270067451982e-10,-4.158263351859307e-10,8.154788075127937e-10,-1.573166426907073e-11
gmat_two_body,numerical_two_body,EarthMJ2000Eq,60.0,2026-09-10T00:01:00Z,-1.282596259017039e-09,-9.647829528734466e-11,-1.2862197421537482e-09,-3.4882265924761937e-10,1.809660458989923e-09,-2.5892892374125643e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,120.0,2026-09-10T00:02:00Z,3.7417278806724607e-06,0.0035846619382135787,6.948944552278584e-10,-0.003889960478760498,3.6340025965368484e-09,6.160545104722881e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,180.0,2026-09-10T00:03:00Z,-1.3876528909522397e-09,8.68496717417003e-10,1.4626890967072544e-10,-2.065077066416169e-09,5.9282037978810104e-09,1.1258316330648974e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,240.0,2026-09-10T00:04:00Z,-4.5118366641085805e-07,0.0035844496585213693,1.9943071591675888e-09,-0.0038894985205349705,4.6498969107897246e-09,5.338035815413698e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,300.0,2026-09-10T00:05:00Z,-3.1898363425413566e-09,1.6278650918067082e-09,8.603933521413366e-10,-2.131324366993174e-09,2.780842752801147e-09,-2.2432492267421798e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,360.0,2026-09-10T00:06:00Z,-4.337766762496802e-09,2.1945427534880476e-09,8.845984313102612e-10,-1.9129183320101343e-10,2.7391004213072618e-09,-8.544127007437531e-11
gmat_two_body,numerical_two_body,EarthMJ2000Eq,420.0,2026-09-10T00:07:00Z,-2.9327833193993666e-09,2.163600554980288e-09,8.829977651972251e-10,-3.5332222742365255e-10,2.842011881324378e-09,-3.6121348454396773e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,480.0,2026-09-10T00:08:00Z,-4.713108131461835e-09,2.688267182499789e-09,2.7990458463222405e-09,-2.75096391118862e-10,2.9141775667815723e-09,-5.564690076795082e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,540.0,2026-09-10T00:09:00Z,1.0744100951538972e-05,-0.003586267393720301,1.3235524289935825e-09,0.003893453672195377,2.5398717772268215e-09,-5.023438175882774e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,600.0,2026-09-10T00:10:00Z,-4.1671394559295615e-09,3.671274058348278e-09,1.5654760293895915e-09,2.624681966287374e-10,2.9938015872385444e-09,-1.291196549355056e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,660.0,2026-09-10T00:11:00Z,1.461243543092223e-05,-0.00358790963956455,1.2124450815644263e-09,0.0038970199417943468,1.9794417340782903e-09,-1.6552263283307788e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,720.0,2026-09-10T00:12:00Z,-4.489472141235469e-09,3.9853569047074305e-09,2.1197689143559454e-09,3.512367178370088e-11,3.1371759649360985e-09,-6.792561130804481e-10
gmat_two_body,numerical_two_body,EarthMJ2000Eq,780.0,2026-09-10T00:13:00Z,1.8243621645499713e-05,-0.003590035339293534,4.37465645316589e-09,0.0039016431418116733,2.0316364905523595e-09,-3.835432897293536e-09
gmat_two_body,numerical_two_body,EarthMJ2000Eq,840.0,2026-09-10T00:14:00Z,1.9949957457335185e-05,-0.0035912733837248725,3.815000288171684e-09,0.003904331522114281,1.9306357074448213e-10,-1.842384269613417e-09
