elapsed_seconds,G00_difference_km_s2,G20_difference_km_s2,G40_difference_km_s2,G44_difference_km_s2,G88_difference_km_s2,G2020_difference_km_s2
0.0,5.346776843295223e-18,4.750735894131342e-18,4.2491873609703695e-18,1.2266347333466993e-18,7.152448122690996e-18,1.1309013456949501e-17
75.00000055879354,5.753426884836168e-18,7.204847710556568e-18,5.621146515623222e-18,1.0728672184036493e-17,1.6773977697994674e-17,9.936877048100783e-18
150.0000008032657,2.742838647325548e-18,4.336808689942018e-18,3.245370453949394e-18,6.490740907898788e-18,8.845388854693243e-18,9.341771812940338e-18
225.0000010477379,1.939479807224432e-18,2.1245936804851847e-18,3.1273172206927508e-18,4.422694427346622e-18,9.580323528576904e-18,7.204847710556568e-18
300.0000012922101,4.0682871653286484e-18,2.876713442418084e-18,2.7769124835677133e-18,1.939479807224432e-18,8.409384052680007e-18,8.008431293384742e-18
375.0000009080395,5.687671275190695e-18,6.952433221959954e-18,6.548437517301135e-18,1.3010426069826053e-18,5.818439421673296e-18,1.1309013456949501e-17
450.0000008381903,1.734723475976807e-18,2.491306920542244e-18,3.9747508192403134e-18,9.69739903612216e-19,5.2937496468574456e-18,7.511572993685797e-18
525.0000007683411,2.1245936804851847e-18,1.951563910473908e-18,2.4532694666933987e-18,2.9493487749136975e-18,7.638817943557651e-18,1.2777036254241406e-17
600.0000006984919,9.69739903612216e-19,1.6371093793252837e-18,1.951563910473908e-18,4.470280076681873e-18,4.715967887672443e-18,8.845388854693243e-18
675.0000012572855,1.6371093793252837e-18,2.22195325636108e-18,2.3354429532350846e-18,4.16536872535157e-18,4.670885906470169e-18,5.6054405712200486e-18
750.0000011874363,3.577867169202165e-18,3.4732565087124975e-18,4.429417049589397e-18,2.6402048216712592e-18,7.185702752260091e-18,1.3718719244972236e-17
825.0000014319085,1.2314169531725438e-18,2.7449806536241496e-18,8.741117365843378e-19,4.283627763512594e-18,2.5679803948069837e-18,2.6579542976586237e-18
900.0000013620593,2.909219710836648e-18,1.8526854844795106e-18,2.742838647325548e-18,5.0248998652373895e-18,7.866258489732282e-18,7.112895110951044e-18
975.0000016065314,2.742838647325548e-18,2.7769124835677133e-18,1.939479807224432e-18,2.491306920542244e-18,1.939479807224432e-18,7.524081866620097e-18
1050.000001536682,2.7769124835677133e-18,3.602423855278284e-18,3.0357660829594124e-18,4.336808689942018e-18,2.4532694666933987e-18,3.780742163385255e-18
1125.000001466833,2.876713442418084e-18,2.6020852139652106e-18,3.903127820947816e-18,6.148487482498827e-18,4.982613841084488e-18,7.611068361834778e-18
1200.000001711305,1.2266347333466993e-18,8.673617379884035e-19,1.5023145987371592e-18,6.19420177350072e-18,4.422694427346622e-18,5.818439421673296e-18
1275.000001955777,1.5636586103463754e-18,1.788112030672749e-18,2.3354429532350846e-18,6.548437517301135e-18,4.336808689942018e-18,8.759924156160196e-18
1350.000001885928,3.1273172206927508e-18,2.7769124835677133e-18,3.496446946337351e-18,6.548437517301135e-18,4.358438792651351e-18,1.011508913927959e-17
1425.000001816079,4.358438792651351e-18,4.422694427346622e-18,4.18226684230402e-18,1.0344902401611195e-17,6.373781041455555e-18,1.1309013456949501e-17
1500.00000174623,4.336808689942018e-19,4.336808689942018e-19,1.3010426069826053e-18,5.502793334042459e-18,5.346776843295223e-18,1.2080951063475723e-17
1575.000002305023,2.8189256484623115e-18,3.634908046050479e-18,3.686287386450715e-18,6.942281208919283e-18,9.140795285775094e-18,7.473920761626731e-18
1650.000002863817,3.1273172206927508e-18,2.4628339063450876e-18,3.245370453949394e-18,5.834579367856216e-18,3.903127820947816e-18,1.1957722727761464e-17
1725.000002479646,1.8174540230252396e-18,2.7449806536241496e-18,3.577867169202165e-18,7.512355408457325e-18,1.2810572443037023e-17,7.593286370724682e-18
1800.000002409797,4.62568221139787e-18,2.710505431213761e-18,4.1611334739001456e-18,6.209601713705001e-18,4.849911541456604e-18,6.630718472128839e-18
