model,epoch_utc,frame,elapsed_seconds,timestamp_utc,position_x_km,position_y_km,position_z_km,velocity_x_km_s,velocity_y_km_s,velocity_z_km_s,position_magnitude_km,velocity_magnitude_km_s
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,0.0,2026-01-01T00:00:00Z,4791.244801771759,3981.8438470941833,2653.3345450508014,-5.018943360359614,2.567534615772381,5.209846002826843,6771.358163700002,7.6762309651845495
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,10.0,2026-01-01T00:00:10Z,4740.748799109883,4007.2629748376503,2705.2610251831156,-5.080148663552847,2.516236911671921,5.175338830881858,6771.358278819789,7.676163798010802
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,20.0,2026-01-01T00:00:20Z,4689.644011682494,4032.1675159934584,2756.8391053902083,-5.140699015107838,2.4646184086416394,5.140166778303866,6771.358629281942,7.676095672470783
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,30.0,2026-01-01T00:00:30Z,4637.937027811163,4056.5542959498557,2808.0621598228663,-5.200586668562321,2.412685788712758,5.104334450641997,6771.359222738085,7.676026615137247
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,40.0,2026-01-01T00:00:40Z,4585.634512843285,4080.4202071095797,2858.9236091100374,-5.259803965366548,2.360445772603758,5.067846537868945,6771.3600668325425,7.675956652488266
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,50.0,2026-01-01T00:00:50Z,4532.7432082683845,4103.762209272286,2909.4169211997496,-5.3183433357959204,2.3079051188315023,5.03070781371691,6771.361169197664,7.67588581089674
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,60.0,2026-01-01T00:01:00Z,4479.269930825344,4126.577330008079,2959.535612193356,-5.376197299852908,2.2550706228205346,4.99292313500604,6771.362537449416,7.675814116621926
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,70.0,2026-01-01T00:01:10Z,4425.221571600665,4148.86266502213,3009.2732471730233,-5.433358468158468,2.201949116010439,4.954497440965287,6771.3641791832215,7.675741595802979
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,80.0,2026-01-01T00:01:20Z,4370.605095117875,4170.615378510354,3058.623441022395,-5.4898195428330885,2.14854746496112,4.91543575254561,6771.36610197005,7.675668274454452
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,90.0,2026-01-01T00:01:30Z,4315.427538418163,4191.83270350613,3107.579859240342,-5.545573318367598,2.094872570455879,4.875743171725396,6771.368313352743,7.675594178463701
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,100.0,2026-01-01T00:01:40Z,4259.696010132371,4212.511942218041,3156.1362187477334,-5.600612682483828,2.0409313666021367,4.835424880808001,6771.370820842594,7.675519333590153
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,110.0,2026-01-01T00:01:50Z,4203.417689544417,4232.650466358609,3204.2862886871385,-5.654930616985172,1.9867308199296674,4.7944861417112605,6771.373631916133,7.675443765466335
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,120.0,2026-01-01T00:02:00Z,4146.599825646272,4252.245717463997,3252.0238912153873,-5.7085201985970855,1.9322779284861964,4.7529322952488195,6771.37675401216,7.675367499600591
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,130.0,2026-01-01T00:02:10Z,4089.2497361845767,4271.295207204657,3299.3429022889,-5.7613745997974934,1.8775797209302278,4.710768760403145,6771.380194528974,7.675290561381395
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,140.0,2026-01-01T00:02:20Z,4031.374806699011,4289.796517686892,3346.2372524417046,-5.813487089637073,1.822643255620969,4.668001033590045,6771.383960821797,7.675212976083156
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,150.0,2026-01-01T00:02:30Z,3972.9824895525026,4307.747301745292,3392.7009275560554,-5.864851034549316,1.7674756197052242,4.624634687914532,6771.388060200387,7.675134768873371
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,160.0,2026-01-01T00:02:40Z,3914.080302953393,4325.14528322604,3438.7279696255714,-5.915459899150273,1.7120839282011437,4.580675372417876,6771.392499926836,7.6750559648210555
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,170.0,2026-01-01T00:02:50Z,3854.6758299696585,4341.988257261028,3484.312477510794,-5.96530724702781,1.6564753230787286,4.536128811315677,6771.397287213499,7.674976588906278
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,180.0,2026-01-01T00:03:00Z,3794.776717535289,4358.274090532761,3529.448607687082,-6.014386741520214,1.600656972336996,4.491000803226792,6771.402429221095,7.674896666030682
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,190.0,2026-01-01T00:03:10Z,3734.3906754489362,4374.000721530024,3574.1305749847543,-6.062692146483923,1.5446360690777388,4.4452972203930035,6771.407933056905,7.674816221028848
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,200.0,2026-01-01T00:03:20Z,3673.5254753649383,4389.166160794258,3618.352653321372,-6.110217327050144,1.4884198305758165,4.399024007889231,6771.413805773091,7.674735278680365
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,210.0,2026-01-01T00:03:30Z,3612.1889497768384,4403.768491156635,3662.1091764260873,-6.156956250370095,1.4320154973459474,4.352187182824228,6771.420054365113,7.674653863722443
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,220.0,2026-01-01T00:03:40Z,3550.3889909935056,4417.80586796577,3705.3945385559414,-6.202902986348572,1.375430332205982,4.30479283353159,6771.426685770205,7.674572000862929
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,230.0,2026-01-01T00:03:50Z,3488.1335501079816,4431.276519306055,3748.2031952040284,-6.24805170836552,1.318671619336663,4.2568471187510335,6771.433706865909,7.674489714793567
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,240.0,2026-01-01T00:04:00Z,3425.430635959173,4444.178746206575,3790.529663799422,-6.292396693985301,1.2617466633378949,4.208356266799826,6771.441124468651,7.674407030203365
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,250.0,2026-01-01T00:04:10Z,3362.2883140865115,4456.510922840564,3832.368524398767,-6.335932325653264,1.2046627882815808,4.15932657473435,6771.448945332332,7.674323971791894
numerical_gravity_8x8,2026-01-01T00:00:00Z,EarthMJ2000Eq,260.0,2026-01-01T00:04:20Z,3298.714705677718,4468.271496715374,3873.714420369437,-6.378653091379292,1.1474273367610943,4.109764407501749,6771.45717614692,7.6742405642824005
