reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,position_delta_x_m,position_delta_y_m,position_delta_z_m,position_difference_m,velocity_delta_x_mm_s,velocity_delta_y_mm_s,velocity_delta_z_mm_s,velocity_difference_mm_s
gmat_g88,numerical_gravity_8x8,EarthMJ2000Eq,0.0,2026-01-01T00:00:00Z,0.0,4.547473508864641e-10,4.547473508864641e-10,6.431098710768743e-10,0.0,0.0,0.0,0.0
gmat_g88,numerical_gravity_8x8,EarthMJ2000Eq,10.0,2026-01-01T00:00:10Z,-0.0024224054868682288,0.0011998345144093037,0.0024677947294549085,0.00366028168745283,-0.0029029418868731227,-0.0024537638587673882,-0.0016613181941238508,0.004148253465650628
gmat_g88,numerical_gravity_8x8,EarthMJ2000Eq,20.0,2026-01-01T00:00:20Z,-9.094947017729282e-10,-4.547473508864641e-10,-9.094947017729282e-10,1.3642420526593924e-09,2.6645352591003757e-09,1.4210854715202004e-08,-1.7763568394002505e-09,1.4567209187227739e-08
gmat_g88,numerical_gravity_8x8,EarthMJ2000Eq,30.0,2026-01-01T00:00:30Z,-0.0024798346203169785,0.0011504585017974023,0.002433936515444657,0.0036602160413963893,-0.002839739110527262,-0.002483691030619184,-0.0017242873795453306,0.004148012333479212
gmat_g88,numerical_gravity_8x8,EarthMJ2000Eq,40.0,2026-01-01T00:00:40Z,-2.7284841053187847e-09,4.547473508864641e-10,-4.547473508864641e-10,2.803250937617566e-09,5.329070518200751e-09,5.728750807065808e-08,-2.6645352591003757e-09,5.7596504422409696e-08
gmat_g88,numerical_gravity_8x8,EarthMJ2000Eq,50.0,2026-01-01T00:00:50Z,-0.0025359859137097374,0.0011004958651028574,0.0023988263819774147,0.0036601480454366256,-0.002775085050643611,-0.0025123028102314038,-0.0017863559520492345,0.0041477499968083885
gmat_g88,numerical_gravity_8x8,EarthMJ2000Eq,60.0,2026-01-01T00:01:00Z,-1.8189894035458565e-09,2.7284841053187847e-09,-9.094947017729282e-10,3.4030175691204397e-09,8.881784197001252e-09,1.2967404927621828e-07,-6.217248937900877e-09,1.3012647436463118e-07
gmat_g88,numerical_gravity_8x8,EarthMJ2000Eq,70.0,2026-01-01T00:01:10Z,-1.8189894035458565e-09,4.547473508864641e-09,-1.8189894035458565e-09,5.224649291029007e-09,8.881784197001252e-09,1.318944953254686e-07,-7.105427357601002e-09,1.3238402881622959e-07
gmat_g88,numerical_gravity_8x8,EarthMJ2000Eq,80.0,2026-01-01T00:01:20Z,0.0,6.366462912410498e-09,-9.094947017729282e-10,6.431098710768743e-09,7.105427357601002e-09,1.438849039914203e-07,-4.440892098500626e-09,1.441286724326041e-07
gmat_g88,numerical_gravity_8x8,EarthMJ2000Eq,90.0,2026-01-01T00:01:30Z,0.0,7.275957614183426e-09,-9.094947017729282e-10,7.332580706405269e-09,7.105427357601002e-09,1.6209256159527285e-07,-5.329070518200751e-09,1.6233571577148209e-07
