model,epoch_utc,frame,elapsed_seconds,timestamp_utc,position_x_km,position_y_km,position_z_km,velocity_x_km_s,velocity_y_km_s,velocity_z_km_s,position_magnitude_km,velocity_magnitude_km_s
numerical_gravity_4x4,2026-02-11T03:17:00Z,EarthMJ2000Eq,0.0,2026-02-11T03:17:00Z,-6738.02645227464,-117.78823992965101,20.423332232526725,0.11452958432318834,-7.682495189076066,-0.13201613640404022,6739.086856059802,7.684482911434783
numerical_gravity_4x4,2026-02-11T03:17:00Z,EarthMJ2000Eq,60.0,2026-02-11T03:18:00Z,-6715.350155184837,-578.1011022847588,12.46077580467558,0.6410079214627948,-7.655266398227583,-0.13329815779075327,6740.199096624485,7.683213076706956
numerical_gravity_4x4,2026-02-11T03:17:00Z,EarthMJ2000Eq,120.0,2026-02-11T03:19:00Z,-6661.170602148578,-1035.702259912603,4.440107068435792,1.1642318821190094,-7.59214565477883,-0.1339525864701482,6741.208547187017,7.682060583862996
numerical_gravity_4x4,2026-02-11T03:17:00Z,EarthMJ2000Eq,180.0,2026-02-11T03:20:00Z,-6575.755952389862,-1488.4471335682783,-3.600934319448265,1.681775686164353,-7.493457918096027,-0.13397709822286538,6742.110513892982,7.681030587863704
numerical_gravity_4x4,2026-02-11T03:17:00Z,EarthMJ2000Eq,240.0,2026-02-11T03:21:00Z,-6459.51906798719,-1934.2154849926615,-11.624555378015305,2.1912434217556536,-7.359689210869948,-0.13337223812873147,6742.900804725162,7.680127679139612
numerical_gravity_4x4,2026-02-11T03:17:00Z,EarthMJ2000Eq,300.0,2026-02-11T03:22:00Z,-6313.015411172772,-2370.921005351038,-19.593081548518683,2.6902793649703467,-7.191484004007747,-0.13214140499853103,6743.575749123328,7.679355870930812
numerical_gravity_4x4,2026-02-11T03:17:00Z,EarthMJ2000Eq,360.0,2026-02-11T03:23:00Z,-6136.940328842228,-2796.520728370454,-27.46912717685874,3.1765780815040454,-6.989641991042368,-0.1302908248632423,6744.1322152611765,7.678718589053657
numerical_gravity_4x4,2026-02-11T03:17:00Z,EarthMJ2000Eq,420.0,2026-02-11T03:24:00Z,-5932.125738239351,-3209.0242320339853,-35.21576408523457,3.647894280961598,-6.755114268388082,-0.1278295138462189,6744.5676248446935,7.6782186637697905
numerical_gravity_4x4,2026-02-11T03:17:00Z,EarthMJ2000Eq,480.0,2026-02-11T03:25:00Z,-5699.536229524633,-3606.5025936871034,-42.79668760569281,4.102052395051921,-6.488998938362557,-0.12476923074096555,6744.87996530744,7.677858323436379
numerical_gravity_4x4,2026-02-11T03:17:00Z,EarthMJ2000Eq,540.0,2026-02-11T03:26:00Z,-5440.26460263634,-3987.0970644465788,-50.17637946745893,4.5369558517002915,-6.192536152577636,-0.12112441961177334,6745.067799294009,7.677639189639276
