reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,position_delta_x_m,position_delta_y_m,position_delta_z_m,position_difference_m,velocity_delta_x_mm_s,velocity_delta_y_mm_s,velocity_delta_z_mm_s,velocity_difference_mm_s
gmat_d01_low_350km_i1_feb_6h_g44,numerical_gravity_4x4,EarthMJ2000Eq,0.0,2026-02-11T03:17:00Z,0.0,-1.4210854715202004e-11,-3.552713678800501e-12,1.464821375527116e-11,3.469446951953614e-10,0.0,-2.220446049250313e-10,4.1191555942998253e-10
gmat_d01_low_350km_i1_feb_6h_g44,numerical_gravity_4x4,EarthMJ2000Eq,60.0,2026-02-11T03:18:00Z,-1.0913936421275139e-08,-6.821210263296962e-10,1.4086509736443986e-09,1.1025588186928912e-08,6.661338147750939e-10,-8.881784197001252e-10,6.88338275267597e-08,6.884278035602652e-08
gmat_d01_low_350km_i1_feb_6h_g44,numerical_gravity_4x4,EarthMJ2000Eq,120.0,2026-02-11T03:19:00Z,-1.2732925824820995e-08,-1.1368683772161603e-09,6.9890759846202855e-09,1.456938752612146e-08,-2.6645352591003757e-09,-8.881784197001252e-10,1.3397616349664077e-07,1.340056006080747e-07
gmat_d01_low_350km_i1_feb_6h_g44,numerical_gravity_4x4,EarthMJ2000Eq,180.0,2026-02-11T03:20:00Z,-1.000444171950221e-08,-3.410605131648481e-09,1.638822411109686e-08,1.9501153068433667e-08,-3.1086244689504383e-09,-8.881784197001252e-10,1.9551027463649007e-07,1.9553700390317418e-07
gmat_d01_low_350km_i1_feb_6h_g44,numerical_gravity_4x4,EarthMJ2000Eq,240.0,2026-02-11T03:21:00Z,-1.000444171950221e-08,-4.547473508864641e-09,2.9304558779585932e-08,3.129737264849797e-08,-6.217248937900877e-09,-2.6645352591003757e-09,2.5013324744804777e-07,2.502246898517592e-07
gmat_d01_low_350km_i1_feb_6h_g44,numerical_gravity_4x4,EarthMJ2000Eq,300.0,2026-02-11T03:22:00Z,-1.000444171950221e-08,-5.002220859751105e-09,4.54072335287492e-08,4.676460118917953e-08,-7.105427357601002e-09,-1.7763568394002505e-09,3.00676150644108e-07,3.0076534060245933e-07
gmat_d01_low_350km_i1_feb_6h_g44,numerical_gravity_4x4,EarthMJ2000Eq,360.0,2026-02-11T03:23:00Z,-9.094947017729282e-09,-6.821210263296962e-09,6.428990673157386e-08,6.52873577215825e-08,-7.549516567451064e-09,-5.329070518200751e-09,3.4197644716016384e-07,3.4210127828653097e-07
gmat_d01_low_350km_i1_feb_6h_g44,numerical_gravity_4x4,EarthMJ2000Eq,420.0,2026-02-11T03:24:00Z,-8.185452315956354e-09,-8.185452315956354e-09,8.500933290633839e-08,8.579388055341859e-08,-1.021405182655144e-08,-3.552713678800501e-09,3.6048941609578833e-07,3.60651587749564e-07
gmat_d01_low_350km_i1_feb_6h_g44,numerical_gravity_4x4,EarthMJ2000Eq,480.0,2026-02-11T03:25:00Z,-9.094947017729282e-09,-9.549694368615746e-09,1.0670220262909424e-07,1.0751406777575465e-07,-8.881784197001252e-09,-4.440892098500626e-09,3.7454761514510437e-07,3.746792276388402e-07
gmat_d01_low_350km_i1_feb_6h_g44,numerical_gravity_4x4,EarthMJ2000Eq,540.0,2026-02-11T03:26:00Z,-1.000444171950221e-08,-1.1823431123048067e-08,1.29020349959319e-07,1.2994665475211558e-07,-7.105427357601002e-09,-6.217248937900877e-09,3.797656633608426e-07,3.7988300876742407e-07
