model,epoch_utc,frame,elapsed_seconds,timestamp_utc,position_x_km,position_y_km,position_z_km,velocity_x_km_s,velocity_y_km_s,velocity_z_km_s,position_magnitude_km,velocity_magnitude_km_s
numerical_gravity_20x20,2026-03-23T14:45:00Z,EarthMJ2000Eq,0.0,2026-03-23T14:45:00Z,5356.043338843562,-2889.3917345207337,-3239.700524294992,3.256128467499268,6.834522261799636,-0.6057377838407526,6894.305210113958,7.59473405766563
numerical_gravity_20x20,2026-03-23T14:45:00Z,EarthMJ2000Eq,60.0,2026-03-23T14:46:00Z,5539.542272341247,-2473.2938352383894,-3268.905618997206,2.858182819124362,7.030385293748135,-0.36735720986962234,6891.259313681017,7.598057496869244
numerical_gravity_20x20,2026-03-23T14:45:00Z,EarthMJ2000Eq,120.0,2026-03-23T14:47:00Z,5698.764001140496,-2046.3571024685368,-3283.7447687827785,2.447175561303174,7.195672408249013,-0.12704606173673488,6888.139679044446,7.601480798928487
numerical_gravity_20x20,2026-03-23T14:45:00Z,EarthMJ2000Eq,180.0,2026-03-23T14:48:00Z,5832.977167727512,-1610.4407777317267,-3284.1334215887036,2.0248616339064167,7.3295823491334025,0.11415103623076331,6884.96001939064,7.604989974238405
numerical_gravity_20x20,2026-03-23T14:45:00Z,EarthMJ2000Eq,240.0,2026-03-23T14:49:00Z,5941.557486549404,-1167.4482427554412,-3270.0499908655147,1.5930538387469915,7.431445687901189,0.3551806773325614,6881.7343532167515,7.6085714072302775
numerical_gravity_20x20,2026-03-23T14:45:00Z,EarthMJ2000Eq,300.0,2026-03-23T14:50:00Z,6023.990979231901,-719.3190049629361,-3241.5362404030543,1.1536150070323032,7.50072812954262,0.594985311688742,6878.476891479288,7.612211083442669
numerical_gravity_20x20,2026-03-23T14:45:00Z,EarthMJ2000Eq,360.0,2026-03-23T14:51:00Z,6079.876752854085,-268.02050896414056,-3198.697408929636,0.7084506366820494,7.537033168683704,0.8325072949106361,6875.201919726728,7.615893886244276
numerical_gravity_20x20,2026-03-23T14:45:00Z,EarthMJ2000Eq,420.0,2026-03-23T14:52:00Z,6108.929348124707,184.4602133205453,-3141.7021018602454,0.25950183630049534,7.540104899855244,1.0666926946281803,6871.923707922746,7.619603428567494
numerical_gravity_20x20,2026-03-23T14:45:00Z,EarthMJ2000Eq,480.0,2026-03-23T14:53:00Z,6110.980658710055,636.1250703075028,-3070.781947320326,-0.19126201029344414,7.5098310802311365,1.2964954246089677,6868.656454081141,7.623322398811363
numerical_gravity_20x20,2026-03-23T14:45:00Z,EarthMJ2000Eq,540.0,2026-03-23T14:54:00Z,6085.98139170178,1084.9736167912804,-2986.2309862772768,-0.6418512228284482,7.446245903365002,1.5208819763882064,6865.414244798055,7.627033042522429
numerical_gravity_20x20,2026-03-23T14:45:00Z,EarthMJ2000Eq,600.0,2026-03-23T14:55:00Z,6034.002031686684,1529.0119039635435,-2888.404765013479,-1.0902643513601986,7.3495319766163805,1.7388365477304535,6862.211014491891,7.63071747418791
numerical_gravity_20x20,2026-03-23T14:45:00Z,EarthMJ2000Eq,660.0,2026-03-23T14:56:00Z,5955.233282511703,1966.261422069847,-2777.71911779331,-1.5344970394965218,7.220021456791542,1.9493661838653282,6859.060498815395,7.63435783282075
numerical_gravity_20x20,2026-03-23T14:45:00Z,EarthMJ2000Eq,720.0,2026-03-23T14:57:00Z,5849.985967407156,2394.768090026197,-2654.648646766519,-1.972551234357134,7.058196491844129,2.1515057132331776,6855.976185901441,7.637936430981841
numerical_gravity_20x20,2026-03-23T14:45:00Z,EarthMJ2000Eq,780.0,2026-03-23T14:58:00Z,5718.690364198625,2812.611249173623,-2519.724912464715,-2.4024447952522423,6.864688878722437,2.3443224646231418,6852.971264718066,7.641435873841174
numerical_gravity_20x20,2026-03-23T14:45:00Z,EarthMJ2000Eq,840.0,2026-03-23T14:59:00Z,5561.894957881295,3217.9126074895253,-2373.534346990278,-2.8222212324450062,6.640278740611266,2.526920798053553,6850.05856677795,7.644838988331472
numerical_gravity_20x20,2026-03-23T14:45:00Z,EarthMJ2000Eq,900.0,2026-03-23T15:00:00Z,5380.26461601564,3608.8450780459966,-2216.7158997231645,-3.2299591599631396,6.385892393189398,2.6984465091747007,6847.250507741937,7.648128620473189
numerical_gravity_20x20,2026-03-23T14:45:00Z,EarthMJ2000Eq,960.0,2026-03-23T15:01:00Z,5174.57820594809,3983.6414767017745,-2049.958418004573,-3.6237815185141953,6.102599844899572,2.8580913022991243,6844.55904641924,7.651287685950074
