reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,position_delta_x_m,position_delta_y_m,position_delta_z_m,position_difference_m,velocity_delta_x_mm_s,velocity_delta_y_mm_s,velocity_delta_z_mm_s,velocity_difference_mm_s
gmat_d02_mid_500km_i28p5_mar_12h_g44,numerical_gravity_4x4,EarthMJ2000Eq,0.0,2026-03-23T14:45:00Z,0.0,4.547473508864641e-10,0.0,4.547473508864641e-10,0.0,0.0,4.440892098500626e-10,4.440892098500626e-10
gmat_d02_mid_500km_i28p5_mar_12h_g44,numerical_gravity_4x4,EarthMJ2000Eq,60.0,2026-03-23T14:46:00Z,-4.547473508864641e-09,1.3642420526593924e-09,1.3642420526593924e-09,4.9398206516344615e-09,-1.6298074001497298e-07,3.375077994860476e-08,1.2378986724570495e-08,1.6689840045756716e-07
gmat_d02_mid_500km_i28p5_mar_12h_g44,numerical_gravity_4x4,EarthMJ2000Eq,120.0,2026-03-23T14:47:00Z,-1.9099388737231493e-08,4.092726157978177e-09,1.8189894035458565e-09,1.9617486586978876e-08,-3.1530333899354446e-07,5.062616992290714e-08,2.350897254643769e-08,3.202059906555938e-07
gmat_d02_mid_500km_i28p5_mar_12h_g44,numerical_gravity_4x4,EarthMJ2000Eq,180.0,2026-03-23T14:48:00Z,-4.18367562815547e-08,7.503331289626658e-09,4.092726157978177e-09,4.270087310592485e-08,-4.6407322429331543e-07,4.973799150320701e-08,3.7969627442180354e-08,4.6827290965084123e-07
gmat_d02_mid_500km_i28p5_mar_12h_g44,numerical_gravity_4x4,EarthMJ2000Eq,240.0,2026-03-23T14:49:00Z,-7.185008144006133e-08,1.0231815394945443e-08,5.9117155615240335e-09,7.28153323833659e-08,-5.988542994828094e-07,3.2862601528904634e-08,5.256906021600116e-08,6.020547555499313e-07
gmat_d02_mid_500km_i28p5_mar_12h_g44,numerical_gravity_4x4,EarthMJ2000Eq,300.0,2026-03-23T14:50:00Z,-1.1004885891452432e-07,1.1709744285326451e-08,1.0459189070388675e-08,1.1116323176134612e-07,-7.249756350802272e-07,1.7763568394002505e-09,6.7390537594747e-08,7.281032285747047e-07
gmat_d02_mid_500km_i28p5_mar_12h_g44,numerical_gravity_4x4,EarthMJ2000Eq,360.0,2026-03-23T14:51:00Z,-1.5825207810848951e-07,1.1254996934439987e-08,1.4097167877480388e-08,1.5927688257815565e-07,-8.347766922156552e-07,-3.6415315207705135e-08,8.471001677889944e-08,8.39853551514113e-07
gmat_d02_mid_500km_i28p5_mar_12h_g44,numerical_gravity_4x4,EarthMJ2000Eq,420.0,2026-03-23T14:52:00Z,-2.064552973024547e-07,8.753886504564434e-09,2.0463630789890885e-08,2.0765158438664686e-07,-8.993916722488393e-07,-6.483702463810914e-08,1.0325074129013956e-07,9.07617725395141e-07
gmat_d02_mid_500km_i28p5_mar_12h_g44,numerical_gravity_4x4,EarthMJ2000Eq,480.0,2026-03-23T14:53:00Z,-2.610249794088304e-07,4.092726157978177e-09,2.7284841053187847e-08,2.624790521814689e-07,-9.604261830276073e-07,-9.85878045867139e-08,1.2367884494324244e-07,9.733624530177347e-07
gmat_d02_mid_500km_i28p5_mar_12h_g44,numerical_gravity_4x4,EarthMJ2000Eq,540.0,2026-03-23T14:54:00Z,-3.219611244276166e-07,-1.8189894035458565e-09,3.501554601825774e-08,3.2386472921283375e-07,-1.0127454430630678e-06,-1.2967404927621828e-07,1.474376176702208e-07,1.0316038690335408e-06
gmat_d02_mid_500km_i28p5_mar_12h_g44,numerical_gravity_4x4,EarthMJ2000Eq,600.0,2026-03-23T14:55:00Z,8.116148819681257e-05,-0.0006242112249310594,-0.0001418507054040674,0.0006452506978840756,0.0006229401439128424,0.0001509867786353425,-0.0003004596571543061,0.0007079035497849364
gmat_d02_mid_500km_i28p5_mar_12h_g44,numerical_gravity_4x4,EarthMJ2000Eq,660.0,2026-03-23T14:56:00Z,9.357245289720595e-05,-0.00042942042455251794,-0.00011731981430784799,0.0004548864075714865,0.00043869263777196466,0.00014765433320462762,-0.00020508861275914114,0.0005062749960573763
gmat_d02_mid_500km_i28p5_mar_12h_g44,numerical_gravity_4x4,EarthMJ2000Eq,720.0,2026-03-23T14:57:00Z,0.00012396685633575544,-0.000436114987678593,-0.00013422322808764875,0.00047284240387885913,0.0004485376514651307,0.00018636825416251668,-0.00020399903988277401,0.0005268156785959707
gmat_d02_mid_500km_i28p5_mar_12h_g44,numerical_gravity_4x4,EarthMJ2000Eq,780.0,2026-03-23T14:58:00Z,0.00012563941709231585,-0.00037998188417986967,-0.00012616783351404592,0.00041963057282067614,0.0003927977942908001,0.00018487966713109927,-0.0001751931932858497,0.0004681487514582484
gmat_d02_mid_500km_i28p5_mar_12h_g44,numerical_gravity_4x4,EarthMJ2000Eq,840.0,2026-03-23T14:59:00Z,0.0002784145181067288,-0.0005871497705811635,-0.0002386909727647435,0.0006922664786521838,0.0006140656871878036,0.0003907265622160594,-0.00025737234565781364,0.0007720002842693873
