reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,position_delta_x_m,position_delta_y_m,position_delta_z_m,position_difference_m,velocity_delta_x_mm_s,velocity_delta_y_mm_s,velocity_delta_z_mm_s,velocity_difference_mm_s
gmat_d03_critical_700km_i63p4_may_24h_g2020,numerical_gravity_20x20,EarthMJ2000Eq,0.0,2026-05-09T21:08:00Z,-9.094947017729282e-10,0.0,0.0,9.094947017729282e-10,-4.440892098500626e-10,0.0,0.0,4.440892098500626e-10
gmat_d03_critical_700km_i63p4_may_24h_g2020,numerical_gravity_20x20,EarthMJ2000Eq,60.0,2026-05-09T21:09:00Z,-3.637978807091713e-09,0.0,-1.8189894035458565e-09,4.067383956680332e-09,1.3322676295501878e-08,-3.730349362740526e-08,3.552713678800501e-09,3.977016614207349e-08
gmat_d03_critical_700km_i63p4_may_24h_g2020,numerical_gravity_20x20,EarthMJ2000Eq,120.0,2026-05-09T21:10:00Z,0.0003435898179304786,0.0006866901003377279,-0.0006357249731081538,0.000996866840817118,-0.0007530074341843829,-4.289635313625695e-05,-0.000905621355684616,0.0011785628251906556
gmat_d03_critical_700km_i63p4_may_24h_g2020,numerical_gravity_20x20,EarthMJ2000Eq,180.0,2026-05-09T21:11:00Z,-1.398620952386409e-05,-1.879038791230414e-05,1.3449607649818063e-05,2.7010825249783407e-05,3.4847680296934413e-06,-0.00017219647929778148,0.0002965174772384671,0.0003429087129231874
gmat_d03_critical_700km_i63p4_may_24h_g2020,numerical_gravity_20x20,EarthMJ2000Eq,240.0,2026-05-09T21:12:00Z,-1.6746525943744928e-05,-7.921562428236939e-05,9.753648555488326e-05,0.00012676327258329985,6.474931701916375e-05,0.0003758495736860823,-0.0005537472702599189,0.0006723774352361697
gmat_d03_critical_700km_i63p4_may_24h_g2020,numerical_gravity_20x20,EarthMJ2000Eq,300.0,2026-05-09T21:13:00Z,0.0003218337951693684,0.00118258594739018,-0.0014197062228049617,0.0018755405284208019,-0.0013163241607827558,-0.001399705240601179,0.0006395044493956448,0.0020250555542067625
gmat_d03_critical_700km_i63p4_may_24h_g2020,numerical_gravity_20x20,EarthMJ2000Eq,360.0,2026-05-09T21:14:00Z,0.00017825641407398507,0.00021977439246256836,-0.00018192667994298972,0.0003364126180984983,-0.0025764870237310333,0.002702025270195918,-0.007998021800403876,0.008826526987664366
gmat_d03_critical_700km_i63p4_may_24h_g2020,numerical_gravity_20x20,EarthMJ2000Eq,420.0,2026-05-09T21:15:00Z,0.0009646892067394219,0.003776663561438909,-0.004737881681649014,0.006135253519717441,-0.012497495260888059,-0.005557919457999105,-0.006969318455674056,0.015350871513830201
gmat_d03_critical_700km_i63p4_may_24h_g2020,numerical_gravity_20x20,EarthMJ2000Eq,480.0,2026-05-09T21:16:00Z,-0.0007380303941317834,-0.0008282240742119029,0.0003019858922925778,0.0011497127723523921,-0.004271038411829409,-0.005639580358263174,0.004470011027990495,0.008368251569054715
gmat_d03_critical_700km_i63p4_may_24h_g2020,numerical_gravity_20x20,EarthMJ2000Eq,540.0,2026-05-09T21:17:00Z,-6.529171514557675e-05,0.0001920398062793538,-0.00037407130548672285,0.00042552513069265836,2.7798874313589295e-05,-0.00011714451630950862,0.00029755486963267685,0.0003209898994619781
