model,epoch_utc,frame,elapsed_seconds,timestamp_utc,position_x_km,position_y_km,position_z_km,velocity_x_km_s,velocity_y_km_s,velocity_z_km_s,position_magnitude_km,velocity_magnitude_km_s
numerical_gravity_4x4,2026-05-09T21:08:00Z,EarthMJ2000Eq,0.0,2026-05-09T21:08:00Z,4966.0556934455935,881.0302354819272,4873.667772268073,3.2725666371846716,5.36942285375131,-4.220227225029691,7013.598290512594,7.573025287695985
numerical_gravity_4x4,2026-05-09T21:08:00Z,EarthMJ2000Eq,60.0,2026-05-09T21:09:00Z,5151.973860321107,1201.1454858328188,4610.493998568505,2.9226346621150623,5.297410877375336,-4.549123100791836,7017.281528227632,7.569602126802232
numerical_gravity_4x4,2026-05-09T21:08:00Z,EarthMJ2000Eq,120.0,2026-05-09T21:10:00Z,5316.538700516061,1516.2824888525172,4328.159374106052,2.561046589014821,5.203549509961802,-4.858703358875269,7021.229230537049,7.56590281878336
numerical_gravity_4x4,2026-05-09T21:08:00Z,EarthMJ2000Eq,180.0,2026-05-09T21:11:00Z,5459.097632033849,1825.143516185165,4027.8612956593233,2.189368822134394,5.088295707978294,-5.147701873641108,7025.42258001757,7.561939144892179
numerical_gravity_4x4,2026-05-09T21:08:00Z,EarthMJ2000Eq,240.0,2026-05-09T21:12:00Z,5579.093226168231,2126.461067714887,3710.8702180096816,1.8092053883626984,4.952199594750487,-5.41495038101089,7029.841795779945,7.557724035206465
numerical_gravity_4x4,2026-05-09T21:08:00Z,EarthMJ2000Eq,300.0,2026-05-09T21:13:00Z,5676.065221433308,2419.0033614853915,3378.5236305885364,1.422189803432256,4.795901041388702,-5.659383429177809,7034.466261436436,7.553271571592822
numerical_gravity_4x4,2026-05-09T21:08:00Z,EarthMJ2000Eq,360.0,2026-05-09T21:14:00Z,5749.652046559602,2701.5796038799203,3032.2197562267356,1.0299768514244434,4.620125766160273,-5.880042686054496,7039.274654583292,7.548596982183592
numerical_gravity_4x4,2026-05-09T21:08:00Z,EarthMJ2000Eq,420.0,2026-05-09T21:15:00Z,5799.591849200492,2973.0450121121594,2673.4110114581754,0.6342343393366667,4.425680984630712,-6.076080575979032,7044.2450764821915,7.543716626484943
numerical_gravity_4x4,2026-05-09T21:08:00Z,EarthMJ2000Eq,480.0,2026-05-09T21:16:00Z,5825.723030729597,3232.3055631702186,2303.597269279786,0.2366348893410739,4.213450647915004,-6.246763224933498,7049.355180689058,7.538647970402278
numerical_gravity_4x4,2026-05-09T21:08:00Z,EarthMJ2000Eq,540.0,2026-05-09T21:17:00Z,5827.984291269523,3478.322445737383,1924.318966297417,-0.16115216873586527,3.9843903110055465,-6.391472700865345,7054.582299460172,7.533409550650362
numerical_gravity_4x4,2026-05-09T21:08:00Z,EarthMJ2000Eq,600.0,2026-05-09T21:18:00Z,5806.414192815582,3710.116194257038,1537.1500967598074,-0.5574687433091012,3.739521677234107,-6.509708543494,7059.903566861749,7.528020928206111
