reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,position_delta_x_m,position_delta_y_m,position_delta_z_m,position_difference_m,velocity_delta_x_mm_s,velocity_delta_y_mm_s,velocity_delta_z_mm_s,velocity_difference_mm_s
gmat_d04_sso_900km_i97p6_jun_36h_g20,numerical_gravity_2x0,EarthMJ2000Eq,0.0,2026-06-17T06:30:00Z,0.0,4.547473508864641e-10,0.0,4.547473508864641e-10,-8.881784197001252e-10,-4.440892098500626e-10,4.440892098500626e-10,1.0877919644084147e-09
gmat_d04_sso_900km_i97p6_jun_36h_g20,numerical_gravity_2x0,EarthMJ2000Eq,60.0,2026-06-17T06:31:00Z,1.1368683772161603e-09,1.8189894035458565e-09,9.094947017729282e-10,2.329886857742076e-09,1.056932319443149e-07,8.08242361927114e-08,-8.881784197001252e-10,1.3305790204221307e-07
gmat_d04_sso_900km_i97p6_jun_36h_g20,numerical_gravity_2x0,EarthMJ2000Eq,120.0,2026-06-17T06:32:00Z,1.000444171950221e-08,9.094947017729282e-09,-9.094947017729282e-10,1.3551165853415423e-08,2.1405099914773018e-07,1.580957587066223e-07,-1.0658141036401503e-08,2.663187847815395e-07
gmat_d04_sso_900km_i97p6_jun_36h_g20,numerical_gravity_2x0,EarthMJ2000Eq,180.0,2026-06-17T06:33:00Z,2.523847797419876e-08,1.9554136088117957e-08,-1.8189894035458565e-09,3.197895762930626e-08,3.2507330161024584e-07,2.3181456754173269e-07,-2.7977620220553945e-08,4.002416674679836e-07
gmat_d04_sso_900km_i97p6_jun_36h_g20,numerical_gravity_2x0,EarthMJ2000Eq,240.0,2026-06-17T06:34:00Z,4.6497916628140956e-08,3.524291969370097e-08,-3.637978807091713e-09,5.8458143394184625e-08,4.32542890393961e-07,3.019806626980426e-07,-5.551115123125783e-08,5.304405344474823e-07
gmat_d04_sso_900km_i97p6_jun_36h_g20,numerical_gravity_2x0,EarthMJ2000Eq,300.0,2026-06-17T06:35:00Z,7.452172212651931e-08,5.4797055781818926e-08,-9.094947017729282e-09,9.294580384456974e-08,5.39124300757976e-07,3.668176873361517e-07,-9.281464485866309e-08,6.586537677039881e-07
gmat_d04_sso_900km_i97p6_jun_36h_g20,numerical_gravity_2x0,EarthMJ2000Eq,360.0,2026-06-17T06:36:00Z,1.0908252079389058e-07,7.79891706770286e-08,-1.6370904631912708e-08,1.3509002037200027e-07,6.359357485052897e-07,4.2454928461665986e-07,-1.361133428190442e-07,7.766487065519875e-07
gmat_d04_sso_900km_i97p6_jun_36h_g20,numerical_gravity_2x0,EarthMJ2000Eq,420.0,2026-06-17T06:37:00Z,1.474802502343664e-07,1.0379608283983544e-07,-2.637534635141492e-08,1.8226274966992681e-07,6.821210263296962e-07,4.574118861455645e-07,-1.6525669721545455e-07,8.377496667399405e-07
gmat_d04_sso_900km_i97p6_jun_36h_g20,numerical_gravity_2x0,EarthMJ2000Eq,480.0,2026-06-17T06:38:00Z,1.8906121113104746e-07,1.318767317570746e-07,-3.728928277269006e-08,2.335082536934563e-07,7.212008767965017e-07,4.858335955759685e-07,-1.9902482439881908e-07,8.920627040793138e-07
gmat_d04_sso_900km_i97p6_jun_36h_g20,numerical_gravity_2x0,EarthMJ2000Eq,540.0,2026-06-17T06:39:00Z,2.3214852262753993e-07,1.6109424905152991e-07,-5.002220859751105e-08,2.86960824832587e-07,7.442935157087049e-07,5.053735208093713e-07,-2.2498669594028797e-07,9.273587474173152e-07
gmat_d04_sso_900km_i97p6_jun_36h_g20,numerical_gravity_2x0,EarthMJ2000Eq,600.0,2026-06-17T06:40:00Z,0.0004910834832116961,-0.0003938240809020499,-6.318259693216532e-05,0.0006326550677397354,-0.00011314504888559895,-1.8056667272503546e-05,-0.0006363023441480209,0.0006465357828369446
gmat_d04_sso_900km_i97p6_jun_36h_g20,numerical_gravity_2x0,EarthMJ2000Eq,660.0,2026-06-17T06:41:00Z,0.00024195674086513463,-0.0001967795384416604,-4.907451511826366e-05,0.0003157111959267259,-6.468781066359952e-05,-1.3251622021925868e-06,-0.00031457747518004453,0.0003211623527033693
gmat_d04_sso_900km_i97p6_jun_36h_g20,numerical_gravity_2x0,EarthMJ2000Eq,720.0,2026-06-17T06:42:00Z,0.0004951184564561117,-0.0004179233314971498,-0.00018813807400874794,0.0006746837272566164,-0.00020594104199744834,5.217515308686416e-05,-0.0006517559825169883,0.0006855069803622113
gmat_d04_sso_900km_i97p6_jun_36h_g20,numerical_gravity_2x0,EarthMJ2000Eq,780.0,2026-06-17T06:43:00Z,-0.0005707720447389875,0.0004944656666339142,0.0002841661626007408,0.0008068627085833603,0.0002965956369394007,-0.00010249934234707325,0.0007551501646219094,0.0008177572122345166
gmat_d04_sso_900km_i97p6_jun_36h_g20,numerical_gravity_2x0,EarthMJ2000Eq,840.0,2026-06-17T06:44:00Z,-0.0018372184058534913,0.001582019308443705,0.0008660726962261833,0.00257453655601237,0.0009104486053956862,-0.00029902214038202146,0.002428976575430397,0.0026111794475859322
gmat_d04_sso_900km_i97p6_jun_36h_g20,numerical_gravity_2x0,EarthMJ2000Eq,900.0,2026-06-17T06:45:00Z,0.0007358567017945461,-0.0006478444447566289,-0.00043781710701296106,0.0010737184590809508,-0.0004363585048849927,0.00017637269422721147,-0.0009838383441262977,0.0010906209054605577
gmat_d04_sso_900km_i97p6_jun_36h_g20,numerical_gravity_2x0,EarthMJ2000Eq,960.0,2026-06-17T06:46:00Z,-0.0005647502803185489,0.0005169674750504782,0.0004433395588421263,0.0008847305882664381,0.00042461678617655707,-0.00020090773489300773,0.0007623981446158723,0.0008954966577025688
gmat_d04_sso_900km_i97p6_jun_36h_g20,numerical_gravity_2x0,EarthMJ2000Eq,1020.0,2026-06-17T06:47:00Z,-0.001604754743311787,0.0014644726888946025,0.0012429845810402185,0.002502983961475501,0.0011903251717626517,-0.0005613651765656869,0.002167894308513496,0.0025360935725792177
gmat_d04_sso_900km_i97p6_jun_36h_g20,numerical_gravity_2x0,EarthMJ2000Eq,1080.0,2026-06-17T06:48:00Z,0.0004866401468461845,-0.0004497076133702649,-0.00041917883208952844,0.0007840704453794932,-0.00039411940377931387,0.00019771650983102518,-0.0006634728322296723,0.0007966292247978269
