model,epoch_utc,frame,elapsed_seconds,timestamp_utc,position_x_km,position_y_km,position_z_km,velocity_x_km_s,velocity_y_km_s,velocity_z_km_s,position_magnitude_km,velocity_magnitude_km_s
numerical_gravity_8x8,2026-06-17T06:30:00Z,EarthMJ2000Eq,0.0,2026-06-17T06:30:00Z,2160.599293531969,-2762.2769943406565,-6344.269080876216,-5.4470527327315255,3.6669553509070028,-3.4770706092895787,7249.007771497865,7.430138965099434
numerical_gravity_8x8,2026-06-17T06:30:00Z,EarthMJ2000Eq,60.0,2026-06-17T06:31:00Z,1829.9279089914767,-2537.2159217903277,-6540.8324282095045,-5.571861560351916,3.8327100695271983,-3.0730466553974245,7250.419962995888,7.428251710263443
numerical_gravity_8x8,2026-06-17T06:30:00Z,EarthMJ2000Eq,120.0,2026-06-17T06:32:00Z,1492.395841100898,-2302.6420785192704,-6712.811030343945,-5.675676399267598,3.9839521071421777,-2.6578414576354414,7251.981647619507,7.4262573477581215
numerical_gravity_8x8,2026-06-17T06:30:00Z,EarthMJ2000Eq,180.0,2026-06-17T06:33:00Z,1149.273741788794,-2059.442845217743,-6859.581581378724,-5.758143973876717,4.12013732749381,-2.2330461688253758,7253.688333384197,7.42416653998321
numerical_gravity_8x8,2026-06-17T06:30:00Z,EarthMJ2000Eq,240.0,2026-06-17T06:34:00Z,801.8509687290037,-1808.536461557225,-6980.617174116917,-5.818994102931189,4.240781470748498,-1.8002818340800473,7255.534800440944,7.42198993092219
numerical_gravity_8x8,2026-06-17T06:30:00Z,EarthMJ2000Eq,300.0,2026-06-17T06:35:00Z,451.43059080739425,-1550.8683937140156,-7075.488897356264,-5.858039939643969,4.34546143843294,-1.361192855951985,7257.515104328035,7.419738070745241
numerical_gravity_8x8,2026-06-17T06:30:00Z,EarthMJ2000Eq,360.0,2026-06-17T06:36:00Z,99.32438904658977,-1287.40763277987,-7143.867042561595,-5.8751778854974415,4.433816313535133,-0.9174405130635577,7259.622584473458,7.417421343257965
numerical_gravity_8x8,2026-06-17T06:30:00Z,EarthMJ2000Eq,420.0,2026-06-17T06:37:00Z,-253.1521279007387,-1019.1429397073725,-7185.521923904777,-5.870387193598678,4.505548124097224,-0.47069655787768855,7261.849877980973,7.415049895376382
numerical_gravity_8x8,2026-06-17T06:30:00Z,EarthMJ2000Eq,480.0,2026-06-17T06:38:00Z,-604.6846755840766,-747.0790518875933,-7200.324317146379,-5.843729279304333,4.560422360406831,-0.02263691740157896,7264.18893881106,7.412633568788275
numerical_gravity_8x8,2026-06-17T06:30:00Z,EarthMJ2000Eq,540.0,2026-06-17T06:39:00Z,-953.9650959329032,-472.2328657866636,-7188.245524173687,-5.795346757903518,4.598268258075859,0.425064482553617,7266.631062575724,7.410181835279037
