reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,position_delta_x_m,position_delta_y_m,position_delta_z_m,position_difference_m,velocity_delta_x_mm_s,velocity_delta_y_mm_s,velocity_delta_z_mm_s,velocity_difference_mm_s
gmat_d06_long_550km_i45_sep_72h_g88,numerical_gravity_8x8,EarthMJ2000Eq,0.0,2026-09-10T00:00:00Z,9.094947017729282e-10,0.0,0.0,9.094947017729282e-10,0.0,8.881784197001252e-10,-2.220446049250313e-10,9.155133597044475e-10
gmat_d06_long_550km_i45_sep_72h_g88,numerical_gravity_8x8,EarthMJ2000Eq,60.0,2026-09-10T00:01:00Z,-3.637978807091713e-09,2.2737367544323206e-10,-5.4569682106375694e-09,6.562399762361479e-09,-1.3988810110276972e-07,3.552713678800501e-09,-1.2850831510036187e-07,1.8998865664706447e-07
gmat_d06_long_550km_i45_sep_72h_g88,numerical_gravity_8x8,EarthMJ2000Eq,120.0,2026-09-10T00:02:00Z,0.0008355536920134909,0.0034857287118938984,2.9132934287190437e-05,0.0035845924946943486,-0.002665636378296199,0.0006573275257437672,-0.0027525131340855324,0.003887676083563272
gmat_d06_long_550km_i45_sep_72h_g88,numerical_gravity_8x8,EarthMJ2000Eq,180.0,2026-09-10T00:03:00Z,-3.3651303965598345e-08,-1.5916157281026244e-09,-3.728928277269006e-08,5.025369746508886e-08,-3.921307722976053e-07,-5.773159728050814e-08,-3.6021186033963204e-07,5.355857207176211e-07
gmat_d06_long_550km_i45_sep_72h_g88,numerical_gravity_8x8,EarthMJ2000Eq,240.0,2026-09-10T00:04:00Z,0.0005096026143291965,0.003535187090619729,-0.00030045430321479216,0.0035843430888428947,-0.0027594893037274915,0.0001658859716258121,-0.0027331970020583185,0.0038875011543444277
gmat_d06_long_550km_i45_sep_72h_g88,numerical_gravity_8x8,EarthMJ2000Eq,300.0,2026-09-10T00:05:00Z,-9.185896487906575e-08,-1.4239276424632408e-08,-8.640199666842818e-08,1.2690993440247931e-07,-5.99631455600047e-07,-1.7852386235972517e-07,-5.547784454051907e-07,8.361864477872537e-07
gmat_d06_long_550km_i45_sep_72h_g88,numerical_gravity_8x8,EarthMJ2000Eq,360.0,2026-09-10T00:06:00Z,-1.291482476517558e-07,-2.6489033189136535e-08,-1.2096279533579946e-07,1.7892159345999837e-07,-6.826206266907775e-07,-2.4868995751603507e-07,-6.361577931102147e-07,9.65667827302896e-07
gmat_d06_long_550km_i45_sep_72h_g88,numerical_gravity_8x8,EarthMJ2000Eq,420.0,2026-09-10T00:07:00Z,-1.7189449863508344e-07,-4.160938260611147e-08,-1.609805622138083e-07,2.3915225441660023e-07,-7.359269443840688e-07,-2.993161274389422e-07,-6.87894186057747e-07,1.0508934402819191e-06
gmat_d06_long_550km_i45_sep_72h_g88,numerical_gravity_8x8,EarthMJ2000Eq,480.0,2026-09-10T00:08:00Z,-2.191882231272757e-07,-6.070877134334296e-08,-2.0372681319713593e-07,3.053418518499739e-07,-7.824851877558103e-07,-3.5083047578154947e-07,-7.349676423018536e-07,1.1293991885179924e-06
gmat_d06_long_550km_i45_sep_72h_g88,numerical_gravity_8x8,EarthMJ2000Eq,540.0,2026-09-10T00:09:00Z,0.00033040123526006937,-0.0034004283406829927,0.0010905459930654615,0.003586275008887718,0.002794873554812227,0.0010577076992035472,0.002490790240727847,0.003890257033622365
