case_id,duration_hours,model_id,degree,order,status,sample_count,initial_position_difference_m,initial_velocity_difference_mm_s,maximum_position_difference_m,maximum_velocity_difference_mm_s,final_position_difference_m,final_velocity_difference_mm_s,python_runtime_seconds,python_function_evaluations
D01_LOW_350KM_I1_FEB_6H,6.0,G20,2,0,passed,361,1.464821375527116e-11,4.1191555942998253e-10,0.0031081859790330277,0.0035709110459564626,0.0006875046629956966,0.0007874296244248322,4.533013699983712,5453
D01_LOW_350KM_I1_FEB_6H,6.0,G44,4,4,passed,361,1.464821375527116e-11,4.1191555942998253e-10,0.0030308980943857134,0.003463904617266164,0.0023129527618276175,0.0026489357958432206,4.975768599950243,5453
D01_LOW_350KM_I1_FEB_6H,6.0,G88,8,8,passed,361,1.464821375527116e-11,4.1191555942998253e-10,0.0030532492538044463,0.003516119453548982,0.0025852965246286348,0.00296092194232345,6.921679300023243,5453
D01_LOW_350KM_I1_FEB_6H,6.0,G2020,20,20,passed,361,1.464821375527116e-11,4.1191555942998253e-10,0.003195166479086872,0.008118651513328308,0.0021185832999002707,0.0024264316702112187,27.50045799999498,5453
D02_MID_500KM_I28P5_MAR_12H,12.0,G20,2,0,passed,721,4.547473508864641e-10,4.440892098500626e-10,0.0034050752144964397,0.0037675514096840554,0.0021203316039726163,0.0023442545709803785,16.776605000020936,10853
D02_MID_500KM_I28P5_MAR_12H,12.0,G44,4,4,passed,721,4.547473508864641e-10,4.440892098500626e-10,0.0037493090502077418,0.004184991542767054,0.00044618401601048793,0.0004934454641734765,19.497297600028105,10853
D02_MID_500KM_I28P5_MAR_12H,12.0,G88,8,8,passed,721,4.547473508864641e-10,4.440892098500626e-10,0.003517235197266785,0.003932487348923517,0.0024497642805240624,0.0027090651432339695,25.894599200051744,10853
D02_MID_500KM_I28P5_MAR_12H,12.0,G2020,20,20,passed,721,4.547473508864641e-10,4.440892098500626e-10,0.008206467702805684,0.015062629407465881,0.0032979010575816753,0.003646320664386739,56.16279329999816,10853
D03_CRITICAL_700KM_I63P4_MAY_24H,24.0,G20,2,0,passed,1441,9.094947017729282e-10,4.440892098500626e-10,0.00504381867945136,0.005350633386881376,1.5317613191869876e-05,1.198533589673673e-05,31.49035710003227,21653
D03_CRITICAL_700KM_I63P4_MAY_24H,24.0,G44,4,4,passed,1441,9.094947017729282e-10,4.440892098500626e-10,0.004988875599685763,0.005260767648149275,0.00170012641806672,0.001791725578326386,35.95822029997362,21653
D03_CRITICAL_700KM_I63P4_MAY_24H,24.0,G88,8,8,passed,1441,9.094947017729282e-10,4.440892098500626e-10,0.0050326771223037315,0.0054075624050378334,0.0017983265806589999,0.0018954444716403427,47.181043300020974,21653
D03_CRITICAL_700KM_I63P4_MAY_24H,24.0,G2020,20,20,passed,1441,9.094947017729282e-10,4.440892098500626e-10,0.006135253519717441,0.015350871513830201,0.004736935143800548,0.004992164751625781,109.93769659998361,21653
D04_SSO_900KM_I97P6_JUN_36H,36.0,G20,2,0,passed,2161,4.547473508864641e-10,1.0877919644084147e-09,0.003463552533799426,0.003517697091281155,0.002404939434480128,0.0024544987037138466,50.17239029996563,32453
D04_SSO_900KM_I97P6_JUN_36H,36.0,G44,4,4,passed,2161,4.547473508864641e-10,1.0877919644084147e-09,0.0033472387846972297,0.003398982203130803,0.0032661301729266555,0.0033344136331000295,57.45853399997577,32453
D04_SSO_900KM_I97P6_JUN_36H,36.0,G88,8,8,passed,2161,4.547473508864641e-10,1.0877919644084147e-09,0.003436646838317624,0.003491446759300108,0.0005140471245999116,0.00052130503037796,69.0055202000076,32453
D04_SSO_900KM_I97P6_JUN_36H,36.0,G2020,20,20,passed,2161,4.547473508864641e-10,1.0877919644084147e-09,0.003718730521469719,0.003936146876594379,0.0014300938324348798,0.0014591864280841312,171.5568572000484,32453
D05_RETRO_1200KM_I120_AUG_48H,48.0,G20,2,0,passed,2881,4.547473508864641e-10,4.847302891456678e-10,0.00429459127501183,0.004068423053529579,0.0028079305763118703,0.002711391559925222,67.68148389999988,43253
D05_RETRO_1200KM_I120_AUG_48H,48.0,G44,4,4,passed,2881,4.547473508864641e-10,4.847302891456678e-10,0.0041605366264179265,0.0040595134340609355,0.0033133172720364408,0.0032012812037098093,76.28619620000245,43253
D05_RETRO_1200KM_I120_AUG_48H,48.0,G88,8,8,passed,2881,4.547473508864641e-10,4.847302891456678e-10,0.004166494472129651,0.0039174563878396915,0.0005906624819354369,0.0005696482538398641,89.55201709998073,43253
D05_RETRO_1200KM_I120_AUG_48H,48.0,G2020,20,20,passed,2881,4.547473508864641e-10,4.847302891456678e-10,0.004296790072085499,0.004348425544705474,0.0013700445112669938,0.001322041517946737,215.96612299996195,43253
D06_LONG_550KM_I45_SEP_72H,72.0,G20,2,0,passed,4321,9.094947017729282e-10,9.155133597044475e-10,0.00501310454794493,0.005483825980172758,0.0020168315872920975,0.002193366283629015,96.9401835000026,64853
D06_LONG_550KM_I45_SEP_72H,72.0,G44,4,4,passed,4321,9.094947017729282e-10,9.155133597044475e-10,0.005050549145468206,0.005575465595355414,0.0014915026788230592,0.001622138199890055,105.68600859999424,64853
D06_LONG_550KM_I45_SEP_72H,72.0,G88,8,8,passed,4321,9.094947017729282e-10,9.155133597044475e-10,0.004995946040416377,0.005427051037158042,0.002279376060118884,0.0024774429781761194,136.16260660003172,64853
D06_LONG_550KM_I45_SEP_72H,72.0,G2020,20,20,passed,4321,9.094947017729282e-10,9.155133597044475e-10,0.004786502523501719,0.006367224878497965,0.0016937054075094346,0.0018429151568366117,312.3017354999902,64853
